阿非利加洲	Африка
春秋	Чуньцю (хроника)
地級市	Городской округ (КНР)
泰北	Северный Таиланд
黃巾之亂	Восстание Жёлтых повязок
水墨畫	Гохуа
威爾斯親王島	Остров Принца Уэльского (Австралия)
銀魂	Gintama
沖繩縣	Окинава (префектура)
香港城市大學	Городской университет Гонконга
崇明縣	Чунмин
百度大典	Энциклопедия Байду
平衡球	Ballance
盤谷銀行	Bangkok Bank
基 (拓撲)	База топологии
貝孔斯菲爾德 (維多利亞州)	Биконсфилд (Виктория)
本草綱目	Бэньцао ганму
帝堯	Яо (император)
二虎歌	Братец Якоб
南越	Намвьет
赤壁之戰	Битва при Чиби
長生殿	Дворец вечной жизни
超複數	Гиперкомплексное число
奧海鎮	Охай
重文	Вариантные китайские иероглифы
天下通言	Международный вспомогательный язык
博者之謬	Ошибка игрока
韶山一型電力機車	SS1 (электровоз)
古雅典	Древние Афины
史彌遠	Ши Миюань
漢傳佛教	Буддизм в Китае
叔梁紇	Шулян Хэ
渭水	Вэйхэ
阿巴諾湖	Альбано
康熙字典	Словарь Канси
證明論	Теория доказательств
石	Коку
坂出市	Сакаиде
仡佬族	Гэлао (народ)
整除	Признаки делимости
光圈	Число диафрагмы
禮記	Ли цзи
內點	Внутренность
州際三十五號公路大橋	Мост I-35W через Миссисипи
萬葉假名	Манъёгана
干寶	Гань Бао
姣童	Бисёнэн
元朗區	Юньлон
錦衣親軍都指揮使司	Цзиньи-вэй
北魏	Северная Вэй
尚書	Шу цзин
雲隙光	Сумеречные лучи
喃字	Тьы-ном
常用漢字	Дзёё кандзи
天命	Небесный мандат
周界	Граница (топология)
漢水	Ханьшуй
高昌	Гаочан
窮奇	Кама-итати
中華民國總統	Президент Китайской Республики
東亞文向	Горизонтальное и вертикальное письмо в языках Восточной Азии
陸奧國	Муцу (провинция)
東方計劃	Touhou Project
晉國	Цзинь (царство)
魏	Вэй (царство, Чжаньго)
單連通	Односвязное пространство
吳	У (царство, Чуньцю)
藁人之謬	Чучело (логическая уловка)
京津城際鐵路	Междугородная железная дорога Пекин — Тяньцзинь
海瑞	Хай Жуй
地球之年歲	Возраст Земли
弗林德斯島 (塔斯曼尼亞)	Флиндерс (остров)
坂上田村麻呂	Саканоуэ-но Тамурамаро
前涼	Ранняя Лян
天下	Поднебесная
馬拉浦南	Малаппурам
數學科目分類	Математическая предметная классификация
階乘質數	Факториальное простое число
伊尹	И-инь
景教	Церковь Востока
兼六園	Кэнроку-эн
代數 (代數)	Алгебра над полем
儋州市	Даньчжоу
汶川縣	Вэньчуань
維克多港	Виктор-Харбор
大都	Ханбалык
倉頡	Цан Цзе
凌遲	Линчи
美洲殖民	Колониальная история США
蒙古文字	Старомонгольское письмо
燕	Янь (царство)
日本新字體	Синдзитай
朱鳥	Красная птица
周武王	У-ван
單于	Шаньюй
宋	Сун (царство)
燭線	Японские свечи
陳	Чэнь (царство)
後漢	Поздняя Хань (947—950)
加藤清正	Като Киёмаса
泰南	Южный Таиланд
南梁	Лян (династия)
成漢	Чэн
陸游	Лу Ю
閣帕岸島	Пханган
積拓撲	Произведение топологических пространств
縣級市	Городской уезд (КНР)
夢蓮湖	Морейн (озеро)
白虎	Белый тигр (китайское созвездие)
祁連山	Циляньшань
隸書	Лишу
南華經	Чжуан-цзы (книга)
貞觀 (釋義)	Дзёган
中國共產黨中央政治局	Политбюро ЦК КПК
厓山海戰	Битва при Ямынь
韓國	Корея (значения)
源義仲	Минамото-но Ёсинака
魏文侯	Вэнь-хоу (царство Вэй)
藏學	Тибетология
天子	Сын Неба
則天文字	Иероглифы императрицы У
焚書坑儒	Сожжение книг и погребение книжников
衛	Вэй (Чуньцю)
蘇轍	Су Чжэ
西施	Си Ши
瑟	Сэ (музыкальный инструмент)
辛棄疾	Синь Цицзи
東巴文	Дунба
譚嗣同	Тань Сытун
蘇我馬子	Сога-но Умако
霍光	Хо Гуан
黎太祖	Ле Лой
孟子 (書)	Мэнцзы
零號元素	Нейтроний
范增	Фань Цзэн
段部	Дуань
他彼河	Тапи (река)
零零七島	Тапу
長平之戰	Битва при Чанпине
楷書	Кайшу
吐谷渾	Тогон (государство)
關門大橋	Каммон (мост)
五畿七道	Гокиситидо
六朝	Шесть династий
維基大典:大使館	Википедия:Посольство
華嚴宗	Хуаянь
太鼓達人	Taiko no Tatsujin
周后稷	Хоу-цзи
四大文明古國	Колыбель цивилизации
平將門	Тайра-но Масакадо
曾子	Цзэн-цзы
歐陽詢	Оуян Сюнь
爾雅	Эръя
國分寺	Кокубун-дзи
儀禮	И ли
分數	Рациональное число
紅統群島	Ангтхонг (национальный парк)
千字文	Тысячесловие
營山縣	Иншань (Наньчун)
宰相	Чэнсян
王勃	Ван Бо
有司足下之函	Письмо начальнику
劍	Цзянь
蘇我蝦夷	Сога-но Эмиси
祖暅之	Цзу Гэн
PSYCHO-PASS	Psycho-Pass
胡季犛	Хо Куи Ли
龜甲萬	Kikkoman
明昭宗	Юнли
古丁尼柏國家公園	Куттинирпаак
漢服	Ханьфу
秦莊襄王	Чжуансян-ван (Цинь)
泰王國股票交易所	Фондовая биржа Таиланда
齊東昏侯	Сяо Баоцзюань
章邯	Чжан Хань
項梁	Сян Лян
琉球列王表	Сё (династия)
未央區	Вэйян
富勞里友半島	Флоро
周禮	Чжоу ли
行書	Синшу
嶺南	Линнань
拾穗	Сборщицы колосьев
秦孝文王	Сяовэнь-ван (Цинь)
尚泰王	Сё Тай
西夏文	Тангутское письмо
范蠡	Фань Ли
後樂園	Кораку-эн
動物莊園	Скотный двор
藤原忠平	Фудзивара-но Тадахира
Category:德國史	Категория:Германия
Category:俄羅斯聯邦書	Категория:Россия
華爾	Уорд, Фредерик Таунсенд
Category:大韓民國書	Категория:Южная Корея
Category:羅馬帝國書	Категория:Римская империя
Category:鳥	Категория:Птицы
Category:植物	Категория:Растения
Category:物理	Категория:Физика
Category:自然科學	Категория:Естественные науки
Category:化學	Категория:Химия
Category:史部	Категория:История
Category:群	Категория:Общество
Category:宗教	Категория:Религия
Category:運動	Категория:Спорт
Category:經部	Категория:Наука
Category:聯合國	Категория:ООН
Category:地球	Категория:Земля
玉龍雪山	Юйлунсюэшань
維曼默宮	Виманмек
道路連通	Связное пространство
泰國軍人銀行	TMB Bank
韓	Хань (царство)
摩靈頓島	Морнингтон
桿秤	Безмен
精	Цзин (китайская медицина)
古羅馬	Древний Рим
政令指定都市	Города, определённые указами правительства
甲骨蟾	Toad
物部氏	Мононобэ (род)
宋卡湖	Тхалелуанг
羲和	Сихэ (богиня)
克拉拉·奧斯瓦爾德	Клара Освальд
古今圖書集成	Гуцзинь тушу цзичэн
聖火降魔錄	Fire Emblem
夏侯氏	Сяхоу
太平清領道	Тайпинцзин
多頭	Покупка ценных бумаг
不寐	Бессонница
閩越	Миньюэ
余氏	Юй (фамилия)
生肖	Китайский зодиак
Category:釋義	Категория:Многозначные термины
Category:哲學	Категория:Философия
Category:心理	Категория:Психология
Category:佛教	Категория:Буддизм
Category:基督教	Категория:Христианство
Category:回教	Категория:Ислам
Category:猶太教	Категория:Иудаизм
反氦	Антигелий (вещество)
洋油貓弔詭	Парадокс кошки с маслом
華東師範大學	Восточно-китайский педагогический университет
汝有二牯	У вас есть две коровы
量子群	Квантовая группа
吳 (釋義)	У
唐寅	Тан Инь
大悲咒	Нилакантха-дхарани
陸機	Лу Цзи
阿拉伯文維基大典(埃及地區)	Египетско-арабская Википедия
溫度換算	Единицы измерения температуры
兒島明子	Кодзима, Акико
丁亥中國雪災	Снегопад в Китае (2008)
鄰域	Окрестность
桓溫	Хуань Вэнь
羅馬共和官制	Конституция Римской республики
香囊	Саше (сухой ароматизатор)
夏 (釋義)	Ся
占婆列王表	Список правителей Тямпы
脫脫	Тогто
Category:殘章	Категория:Незавершённые статьи
Category:維基分類	Категория:Википедия:Категоризация
Category:維基事	Категория:Википедия:Служебные
Category:行星	Категория:Планеты
Category:地質	Категория:Геология
傅雷	Фу Лэй
明治	Период Мэйдзи
維基大典:陳年今誌	Проект:События дня
羅伯特議事規則	Правила регламента Роберта
Template:太陽系	Шаблон:Солнечная система
太古城	Тхайкусин
井上多樂	Торо Иноуэ
董賢	Дун Сянь
門:子	Портал:Философия
大阪	Осака (значения)
門:集	Портал:Искусство
Category:小行星帶天體	Категория:Астероиды Главного пояса
Category:美國列傳	Категория:Персоналии:США
Template:Tl	Шаблон:Tl
Template:Userbox	Шаблон:Userbox
Category:網頁瀏覽器	Категория:Браузеры
Template:世事	Шаблон:Актуальные события
Category:律法	Категория:Право
Category:計學	Категория:Экономика
維基大典:有秩選舉	Википедия:Заявки на статус администратора
Category:醫學	Категория:Медицина
天津武備學堂	Бэйянское военное училище
Category:政治	Категория:Политика
Category:教育	Категория:Образование
Category:藝術	Категория:Искусство
會計	Бухгалтерский учёт
密思兒	Египет
Category:統計	Категория:Статистика
Template:Bot	Шаблон:Bot
加拿大	Канада
Category:卓著	Категория:Википедия:Избранные статьи
維	Размерность пространства
Category:遊戲	Категория:Игры
門:經	Портал:Наука
Category:幫助文檔	Категория:Википедия:Справка
維基大典:世事	Портал:Текущие события
Template:Documentation	Шаблон:Doc
Category:有秩	Категория:Википедия:Администраторы
維基大典:簿之權限	Википедия:Права участников
Category:維基提案	Категория:Википедия:Разрабатываемые проекты правил
維基大典:聯繫	Википедия:Контакты
維基大典:市集	Википедия:Портал сообщества
Category:維基社群	Категория:Википедия:Сообщество
Category:維基人	Категория:Википедия:Участники по языкам
Category:維基人 (地方)	Категория:Википедия:Участники по месту
維基大典:忽略規則	Википедия:Игнорируйте все правила
維基大典:五柱	Википедия:Пять столпов
成在基	Сон Джэги
企業	Предпринимательство
Template:Softredirect	Шаблон:Soft redirect
Template:刪	Шаблон:К быстрому удалению
Category:技術	Категория:Технология
Category:語言	Категория:Языки
Category:語法	Категория:Грамматика
Category:維基大典	Категория:Википедия
Category:諸語維基大典	Категория:Разделы Википедии
Category:未索之頁	Категория:Неиндексируемые страницы
Category:帶壞檔之頁	Категория:Страницы со ссылками на отсутствующие файлы
門:卷首	Портал:Обзор
Template:Navbox	Шаблон:Navbox
Template:捷徑	Шаблон:Shortcut
Category:時區	Категория:Часовые пояса
日曜無神	Kamisama no Inai Nichiyoubi
Category:維基大典維護	Категория:Википедия:Статьи для улучшения
門:美國史	Портал:США
Template:Navbar	Шаблон:Tnavbar
Template:Unicode	Шаблон:Unicode
Category:格式模板	Категория:Шаблоны:Форматирование
Template:Clear	Шаблон:Clear
Template:Nowrap	Шаблон:Nobr
阮氏	Жуань (фамилия)
維基大典:當有之文	Википедия:Список статей, которые должны быть во всех языковых версиях
Category:數	Категория:Числа
Category:書籍	Категория:Книги
Template:Wikisource	Шаблон:Викитека
Template:Babel	Шаблон:Babel
Template:共享	Шаблон:Commons
Template:Reflist	Шаблон:Примечания
維基大典:掃興警示	Википедия:Спойлеры
Template:芻文	Шаблон:Заготовка
Template:See also	Шаблон:См. также
Template:User de	Шаблон:User de
Template:User de-1	Шаблон:User de-1
Template:User es-2	Шаблон:User es
Template:User en-3	Шаблон:User en-3
Template:User en-1	Шаблон:User en-1
Template:User en-2	Шаблон:User en-2
Template:User en-4	Шаблон:User en-4
Template:User en	Шаблон:User en
Template:User de-2	Шаблон:User de-2
Template:User es-1	Шаблон:User es-1
Template:User fr-1	Шаблон:User fr-1
Template:User he-2	Шаблон:User he-2
Template:User id-3	Шаблон:User id-3
Template:User sk	Шаблон:User sk
Template:User fr-2	Шаблон:User fr-2
Template:User ja	Шаблон:User ja
Template:User ja-1	Шаблон:User ja-1
Template:User fr	Шаблон:User fr
Category:智利	Категория:Чили
Category:廿一世紀	Категория:XXI век
Category:User uk	Категория:User uk
Category:User uk-N	Категория:User uk-N
Template:Esoteric	Шаблон:Эзотерика
Template:Mod	Шаблон:Mod
Template:User uk	Шаблон:User uk
Category:百科全書	Категория:Энциклопедии
Template:歡迎	Шаблон:Приветствие
Category:User ms	Категория:User ms
Template:Ref	Шаблон:Ref
Category:連結模板	Категория:Шаблоны:Ссылки
Template:Userbox-2	Участник:Box/Таблица3
Category:User fr-1	Категория:User fr-1
Template:Wikiquote	Шаблон:Викицитатник
Template:Image label	Шаблон:Метка изображения
Template:Ja	Шаблон:Ref-ja
Template:維基諸策	Шаблон:Фонд Викимедиа
Template:大修	Шаблон:Редактирую
Template:Es	Шаблон:Ref-es
Template:Ambox	Шаблон:Ambox
Template:Hide in print	Шаблон:Hide in print
Category:美國史	Категория:История США
Template:國	Шаблон:Государство
Template:Infobox software	Шаблон:Карточка программы
Template:Wide image	Шаблон:Панорама
Template:Military Conflict	Шаблон:Вооружённый конфликт
Template:Audio	Шаблон:Audio
Template:電玩訊欄	Шаблон:Компьютерная игра
Template:Dablink	Шаблон:Другое значение
Template:卓著	Шаблон:Избранная статья
Category:User en-4	Категория:User en-4
Category:User en	Категория:User en
Category:User zh	Категория:User zh
Category:User zh-N	Категория:User zh-N
Category:User en-2	Категория:User en-2
Category:曲	Категория:Музыкальные произведения
Template:Infobox	Шаблон:Карточка
Template:User zh	Шаблон:User zh
Template:Template other	Шаблон:Template other
Template:Legend	Шаблон:Легенда
Template:引網	Шаблон:Cite web
Template:Ombox	Шаблон:Ombox
Category:食	Категория:Еда и напитки
Template:Pp-template	MediaWiki:Protectedpagetext
Category:史書	Категория:Исторические сочинения
Template:維基爾雅	Шаблон:Викисловарь
Template:Multi-listen start	Шаблон:Multi-listen start
Template:MongolUnicode	Шаблон:MongolUnicode
Template:Languageicon	Шаблон:Ref-lang
Category:農業	Категория:Сельское хозяйство
Category:User ms-N	Категория:User ms-N
Template:User ru	Шаблон:User ru
Category:二十世紀	Категория:XX век
Template:IPA	Шаблон:IPA1
Template:釋義二	Шаблон:Другие значения
Category:東羅馬史	Категория:Византия
Template:Navbox subgroup	Шаблон:Navbox subgroups
Template:Dyk	Шаблон:Знаете ли вы
Template:Archive box	Шаблон:Архив
Template:Namespace detect	Шаблон:Namespace detect
Template:Fmbox	Шаблон:Fmbox
Template:Navbox with collapsible groups	Шаблон:Навигационная таблица с блоками
Template:Copyvio	Шаблон:Нарушение авторских прав
Template:元素週期表	Шаблон:Периодическая система элементов
Template:天下觀	Шаблон:Глобализировать
Template:Image label end	Шаблон:Image label end
Template:澳大利亞地方	Шаблон:Административное деление Австралии
Template:Purge	Шаблон:Очистить кэш
Template:土星之衛星	Шаблон:Спутники Сатурна
Template:User IE	Участник:Box/Пользователь Internet Explorer
Template:中華人民共和國地方	Шаблон:Провинции КНР
Template:齋	Шаблон:Userpage
Template:Userboxbreak	Участник:Box/Разрыв колонки
Template:User	Шаблон:User
非標準實數	Гиперреальное число
Category:中學	Категория:Лицеи
Category:公司	Категория:Компании
Template:User fr-3	Шаблон:User fr-3
Template:Move	Шаблон:К переименованию
Template:Th	Шаблон:Ref-th
Template:Redirect	Шаблон:Перенаправление
Category:日本地方志	Категория:Административное деление Японии
Category:電腦	Категория:Компьютеры
Category:器	Категория:Оборудование
Template:非也	Шаблон:Против
Template:SUL Box	Участник:Box/Пользователь SUL
Category:複分析	Категория:Комплексный анализ
Category:User ja-N	Категория:User ja-N
Category:茶	Категория:Чай
牛僧孺	Ню Сэнжу
Template:Browsebar	Шаблон:Индекс
Template:物質狀態	Шаблон:Термодинамические состояния вещества
Template:釋義	Шаблон:Неоднозначность
Category:攝影	Категория:Фотография
Category:天皇本紀	Категория:Императоры Японии
Category:德意志第三帝國書	Категория:Третий рейх
Category:朝鮮史	Категория:История Кореи
Category:礦冶	Категория:Горное дело
Template:User nan	Шаблон:User nan
Template:User ksh	Шаблон:User ksh
Template:User yue-1	Шаблон:User zh-yue-1
Template:Lang-en	Шаблон:Lang-en
Category:廣州	Категория:Гуанчжоу
Category:建築	Категория:Архитектура
Category:生物	Категория:Организмы
Template:De	Шаблон:Ref-de
Template:Infobox person	Шаблон:Персона
Category:鐵路	Категория:Железнодорожный транспорт
Template:洲	Шаблон:Континенты
Template:InterWiki	Шаблон:Языковой раздел
Template:MainPageInterwikis	Шаблон:Интервики на заглавной
大韓民國大統領	Президент Южной Кореи
Category:金蘭之模	Категория:Шаблоны:Ссылки на проекты Викимедиа
Template:User bg	Шаблон:User bg
Template:User la-1	Шаблон:User la-1
Template:APEC	Шаблон:АТЭС
Template:歐洲	Шаблон:Страны Европы
Category:User yue	Категория:User zh-yue
Category:User zh-wuu	Категория:User wuu
Category:User sk	Категория:User sk
Category:User fr	Категория:User fr
Category:User id	Категория:User id
Category:User ja	Категория:User ja
Category:User la	Категория:User la
Category:User th	Категория:User th
Category:User fr-3	Категория:User fr-3
Category:User fr-2	Категория:User fr-2
Category:User ja-2	Категория:User ja-2
Category:User wuu-N	Категория:User wuu-N
Category:User ko-N	Категория:User ko-N
Category:User fr-N	Категория:User fr-N
Category:User ru-N	Категория:User ru-N
Category:娛樂	Категория:Развлечения
Category:商學	Категория:Бизнес
Template:User yue	Шаблон:User zh-yue
Category:文字	Категория:Письменность
Category:圖像模板	Категория:Шаблоны:Файлы:Административные
Category:User bg	Категория:User bg
Category:輕小說	Категория:Лайт-новел
Category:道教	Категория:Даосизм
Category:User bg-N	Категория:User bg-N
Category:User sk-N	Категория:User sk-N
Category:User de	Категория:User de
Category:User de-2	Категория:User de-2
Category:User de-N	Категория:User de-N
Category:User en-3	Категория:User en-3
Category:User en-N	Категория:User en-N
Category:User es	Категория:User es
Category:User es-1	Категория:User es-1
Category:User id-3	Категория:User id-3
Category:匈奴書	Категория:Хунну
Template:Three Kingdoms Wars	Шаблон:Эпоха Троецарствия в Китае
Template:User ryu-1	Шаблон:User ryu-1
Category:User ryu	Категория:User ryu
Category:韓語	Категория:Корейский язык
Category:幾何	Категория:Геометрия
Category:User ja-1	Категория:User ja-1
Category:User ko	Категория:User ko
Category:User ko-1	Категория:User ko-1
Category:User ko-2	Категория:User ko-2
Category:User ksh	Категория:User ksh
Category:User ksh-N	Категория:User ksh-N
Category:User la-3	Категория:User la-3
Category:斯巴達書	Категория:Спарта
Template:辨	Шаблон:Не путать
Category:待譯之文	Категория:Википедия:Запросы на перевод
Category:User ru-1	Категория:User ru-1
維基大典:巴别	Википедия:Вавилон
Template:木星之衛星	Шаблон:Спутники Юпитера
Category:大洋洲史	Категория:История Океании
長安	Чанъань
Template:Math.abs	Шаблон:Abs
Category:以嗜好類之維基人	Категория:Википедия:Участники по интересам
Category:花	Категория:Цветок
Category:慶尚北道	Категория:Кёнсан-Пукто
Category:廣東省	Категория:Гуандун
Category:四川省	Категория:Сычуань
Category:遼寧省	Категория:Ляонин
Category:陝西省	Категория:Шэньси
Category:安徽省	Категория:Аньхой
Category:江西省	Категория:Цзянси
Category:江蘇省	Категория:Цзянсу
Category:吉林省	Категория:Гирин
Category:福建省	Категория:Фуцзянь
Category:海南省	Категория:Хайнань
Category:河北省	Категория:Хэбэй
Category:黑龍江省	Категория:Хэйлунцзян
Category:湖北省	Категория:Хубэй
Category:地理	Категория:Физическая география
Category:水	Категория:Вода
Category:美洲史	Категория:История Америки
Template:提案	Шаблон:Планируемое правило
Category:User nan	Категория:User nan
Category:User nan-N	Категория:User nan-N
Category:地理學	Категория:Разделы географии
Category:社會科學	Категория:Общественные науки
Template:Zh	Шаблон:Ref-zh
Category:江戶書	Категория:Период Эдо
Category:室町書	Категория:Период Муромати
Category:鎌倉書	Категория:Период Камакура
Category:平安書	Категория:Период Хэйан
Category:奈良書	Категория:Период Нара
Category:飛鳥書	Категория:Период Асука
Category:古墳書	Категория:Период Кофун
Category:繩文書	Категория:Период Дзёмон
Category:戰國書	Категория:Период Сэнгоку
Template:Navigationsleiste	Шаблон:Навигационная полоса
Template:User ja-2	Шаблон:User ja-2
Template:User ko-2	Шаблон:User ko-2
Template:User ko-1	Шаблон:User ko-1
Template:User ru-2	Шаблон:User ru-2
Template:天王星之衛星	Шаблон:Спутники Урана
Category:User ru	Категория:User ru
Category:User ru-2	Категория:User ru-2
Category:User ryu-1	Категория:User ryu-1
Category:User yue-1	Категория:User zh-yue-1
Category:User yue-N	Категория:User zh-yue-N
Template:En	Шаблон:Ref-en
Category:山東省	Категория:Шаньдун
Category:雲南省	Категория:Юньнань
Category:浙江省	Категория:Чжэцзян
Category:青海省	Категория:Цинхай
Category:河南省	Категория:Хэнань
Category:湖南省	Категория:Хунань
Template:Lang	Шаблон:Lang
Category:日本文學	Категория:Литература Японии
Category:群學	Категория:Социология
Template:2images	Шаблон:Сдвоенное изображение
Category:三世紀	Категория:III век
Category:十七世紀	Категория:XVII век
Category:七世紀	Категория:VII век
Category:人	Категория:Человек
Category:東羅馬本紀	Категория:Византийские императоры
Category:門	Категория:Порталы
Template:Ko	Шаблон:Ref-ko
Template:粒子	Шаблон:Частицы
Template:Main	Шаблон:Main
Template:User gan	Шаблон:User gan
Category:風	Категория:Ветры
Template:PD-self	Шаблон:PD-self
Template:Chart	Шаблон:Chart
Category:User zh-0	Категория:User zh-0
Category:鎌倉武家	Категория:Сёгуны периода Камакура
Category:希臘史	Категория:История Греции
Category:澳大利亞史	Категория:История Австралии
Category:北韓紀事	Категория:История КНДР
Category:加拿大史	Категория:История Канады
Category:東南亞史	Категория:История Юго-Восточной Азии
Template:User ko	Шаблон:User ko
Template:User ko-0	Шаблон:User ko-0
Template:User ru-1	Шаблон:User ru-1
Template:User zh-1	Шаблон:User zh-1
Template:User zh-2	Шаблон:User zh-2
Template:User zh-3	Шаблон:User zh-3
Template:User zh-4	Шаблон:User zh-4
Category:中華民國行政區	Категория:Административное деление Китайской Республики
Category:俄羅斯史	Категория:История России
Template:Multi-listen end	Шаблон:Multi-listen end
Category:中華自治區	Категория:Автономные районы КНР
Category:羅馬皇帝本紀	Категория:Римские императоры
維基大典:維基聊齋	Википедия:Необычные статьи
Category:戲劇	Категория:Театр
Category:蒙古可汗本紀	Категория:Правители Монгольской империи
Template:中立	Шаблон:Воздерживаюсь
Category:中東史	Категория:История Ближнего Востока
Category:User zh-1	Категория:User zh-1
Category:User zh-4	Категория:User zh-4
Category:User zh-3	Категория:User zh-3
Category:User zh-2	Категория:User zh-2
Category:刑法	Категория:Уголовное право
Category:酸	Категория:Кислоты
Category:民國總統世家	Категория:Правители Китайской Республики
Category:算法	Категория:Алгоритмы
Category:一世紀	Категория:I век
Category:十四世紀	Категория:XIV век
Category:二世紀	Категория:II век
Category:四世紀	Категория:IV век
Category:十八世紀	Категория:XVIII век
Category:八世紀	Категория:VIII век
Category:漢后紀	Категория:Императрицы династии Хань
Category:唐本紀	Категория:Императоры династии Тан
Category:明本紀	Категория:Императоры династии Мин
Category:整數	Категория:Целые числа
Category:香港列傳	Категория:Персоналии:Гонконг
粵語	Юэ (язык)
Category:藤原氏	Категория:Фудзивара (род)
Category:印歐語系	Категория:Индоевропейские языки
Category:量子場論	Категория:Квантовая теория поля
Category:泰國銀行	Категория:Банки Таиланда
Category:化學元素	Категория:Химические элементы
Template:中國世界遺產	Шаблон:Всемирное наследие в Китае
Category:姓氏	Категория:Фамилии
Category:朝鮮民主主義人民共和國書	Категория:Корейская Народно-Демократическая Республика
Category:英國史	Категория:История Великобритании
Category:中華史	Категория:История Китая
Category:民國列傳	Категория:Персоналии:Китайская Республика
Category:新聞學	Категория:Журналистика
Category:前二世紀	Категория:II век до н. э.
Category:前三世紀	Категория:III век до н. э.
Category:越南地理志	Категория:География Вьетнама
Category:蘇聯書	Категория:СССР
Category:古羅馬史	Категория:Древний Рим
Category:高麗書	Категория:Корё
Category:朝鮮書	Категория:Династия Чосон
Category:滿洲國志	Категория:Маньчжоу-го
Category:前一世紀	Категория:I век до н. э.
Category:新羅書	Категория:Силла
Category:鎌倉列傳	Категория:Персоналии периода Камакура
Category:高麗列傳	Категория:Персоналии:Корё
Category:明列傳	Категория:Персоналии эпохи Мин
Category:周列傳	Категория:Персоналии эпохи Чжоу
Category:清列傳	Категория:Персоналии:Империя Цин
Category:秦列傳	Категория:Персоналии Цинь
Category:漢列傳	Категория:Персоналии эпохи Хань
Category:元列傳	Категория:Персоналии эпохи Юань
Category:唐列傳	Категория:Персоналии:Тан
Category:反物質	Категория:Антивещество
Category:美國總統世家	Категория:Президенты США
Category:歐洲史	Категория:История Европы
Category:魚	Категория:Рыбы
Category:北京市	Категория:Пекин
Category:果	Категория:Фрукты
Category:天候學	Категория:Климатология
Category:亞洲地理志	Категория:География Азии
Category:人類學	Категория:Антропология
Category:五代書	Категория:Пять династий и десять царств
Category:作業系統	Категория:Операционные системы
Category:金書	Категория:Государство Цзинь (чжурчжэней)
Category:清書	Категория:Династия Цин
Category:宋書	Категория:Династия Сун
Category:明書	Категория:Династия Мин
Category:元書	Категория:Династия Юань
Category:隋書	Категория:Династия Суй
Category:遼書	Категория:Династия Ляо
Category:南北朝書	Категория:Южные и Северные династии
Category:周書	Категория:Эпоха Чжоу
Category:天演	Категория:Эволюция
燕帖木兒	Эль-Тимур
Category:動物	Категория:Животные
Category:俄羅斯加盟共和國	Категория:Республики России
Category:三國書	Категория:Эпоха Троецарствия
Category:涼宮春日	Категория:Харухи Судзумия
Category:兵器	Категория:Оружие
Category:紀年	Категория:Хронология
Category:中華史誌	Категория:Китайские исторические сочинения
Category:弦論	Категория:Теория струн
Category:數學分析	Категория:Математический анализ
Category:樂器	Категория:Музыкальные инструменты
Category:漢字	Категория:Китайская письменность
Category:氣象	Категория:Метеорология
Category:香港	Категория:Гонконг
Category:PS2遊戲	Категория:Игры для PlayStation 2
Category:高雄市	Категория:Гаосюн
Category:鹽	Категория:Соли
Category:廣西壯族自治區	Категория:Гуанси-Чжуанский автономный район
Category:衣	Категория:Одежда
Category:上海市	Категория:Шанхай
Category:龜	Категория:Черепахи
Category:中華節日	Категория:Праздники Китая
Category:節日	Категория:Фестивали
Category:臺北市	Категория:Тайбэй
Category:書體	Категория:Шрифты
Category:古希臘史	Категория:Древняя Греция
Category:周本紀	Категория:Правители Чжоу
Category:交通	Категория:Транспорт
Category:刑	Категория:Наказания
Category:玩	Категория:Игрушки
Category:數趣	Категория:Математические головоломки и досуг
Category:IE用者	Категория:Википедия:Участники — пользователи браузера Internet Explorer
Category:漢本紀	Категория:Императоры династии Хань
Category:群論	Категория:Теория групп
Category:數論	Категория:Теория чисел
Category:拓撲學	Категория:Топология
Category:疇人	Категория:Математики
Category:韓國維基人	Категория:Википедия:Участники из Южной Кореи
楊蔭榆	Ян Иньюй
Category:宋列傳	Категория:Персоналии эпохи Сун
Category:雕塑	Категория:Скульптура
Category:大韓民國大統領世家	Категория:Президенты Южной Кореи
Category:漢語	Категория:Китайский язык
Category:澳門	Категория:Макао
Category:日本文	Категория:Японская письменность
Category:雅樂	Категория:Гагаку
Category:日本史誌	Категория:Японские исторические сочинения
Category:塔	Категория:Башни
便利店	Магазин у дома
Category:中華人民共和國書	Категория:Китайская Народная Республика
Category:衛星	Категория:Спутники планет Солнечной системы
Category:數理物理	Категория:Математическая физика
Category:數學史	Категория:История математики
Category:目錄學	Категория:Библиография
Category:日本世家	Категория:Самурайские роды
Template:依余之見	Шаблон:Комментарий
臺北	Тайбэй (значения)
門:數學	Портал:Математика
Category:共形場論	Категория:Конформная теория поля
Category:隋列傳	Категория:Персоналии:Суй
Category:五代列傳	Категория:Персоналии эпохи Пяти династий и десяти царств
Category:三國人	Категория:Персоналии эпохи Троецарствия
Category:北韓本紀	Категория:Правители КНДР
Category:武漢市	Категория:Ухань
Category:美國維基人	Категория:Википедия:Участники из США
Template:Sister	Шаблон:Sister
Category:代數	Категория:Алгебра
Category:雅典列傳	Категория:Персоналии:Древние Афины
Category:雅典書	Категория:Древние Афины
Category:User ko-0	Категория:User ko-0
Category:足利將軍世家	Категория:Сёгуны Асикага
Category:鹼	Категория:Основания
Category:橋	Категория:Мосты
Category:曹魏本紀	Категория:Правители Цао Вэй
