Afríka	Африка
Flokkur:1175	Категория:1175 год
Flokkur:Fólk fætt árið 1175	Категория:Родившиеся в 1175 году
Flokkur:1176	Категория:1176 год
Flokkur:Ítalskir dýrlingar	Категория:Святые Италии
Flokkur:Fólk dáið árið 1176	Категория:Умершие в 1176 году
Flokkur:1177	Категория:1177 год
Flokkur:Fólk fætt árið 1178	Категория:Родившиеся в 1178 году
Flokkur:1180	Категория:1180 год
Flokkur:Fólk fætt árið 1180	Категория:Родившиеся в 1180 году
Flokkur:1181	Категория:1181 год
Flokkur:Fólk fætt árið 1181	Категория:Родившиеся в 1181 году
Flokkur:Fólk dáið árið 1181	Категория:Умершие в 1181 году
Flokkur:Fólk fætt árið 1182	Категория:Родившиеся в 1182 году
Flokkur:1183	Категория:1183 год
Flokkur:1184	Категория:1184 год
Flokkur:Fólk dáið árið 1184	Категория:Умершие в 1184 году
Flokkur:Rúm	Категория:Кровати
Flokkur:Fólk fætt árið 1185	Категория:Родившиеся в 1185 году
Flokkur:Fólk dáið árið 1185	Категория:Умершие в 1185 году
Flokkur:1186	Категория:1186 год
Flokkur:Fólk dáið árið 1186	Категория:Умершие в 1186 году
Flokkur:Fólk fætt árið 1187	Категория:Родившиеся в 1187 году
Flokkur:1188	Категория:1188 год
Flokkur:Fólk dáið árið 1188	Категория:Умершие в 1188 году
Flokkur:Fólk fætt árið 1189	Категория:Родившиеся в 1189 году
Flokkur:Fólk dáið árið 1189	Категория:Умершие в 1189 году
Flokkur:Fólk fætt árið 1190	Категория:Родившиеся в 1190 году
Flokkur:1191	Категория:1191 год
Flokkur:1192	Категория:1192 год
Flokkur:Útgáfa	Категория:Издательское дело
Flokkur:1193	Категория:1193 год
Flokkur:Fólk dáið árið 1193	Категория:Умершие в 1193 году
Flokkur:1194	Категория:1194 год
Flokkur:1195	Категория:1195 год
Flokkur:Fólk fætt árið 1196	Категория:Родившиеся в 1196 году
Flokkur:1197	Категория:1197 год
Flokkur:Fólk dáið árið 1197	Категория:Умершие в 1197 году
Flokkur:1198	Категория:1198 год
Flokkur:Fólk dáið árið 1198	Категория:Умершие в 1198 году
Flokkur:Fólk fætt árið 1199	Категория:Родившиеся в 1199 году
Flokkur:1200	Категория:1200 год
Flokkur:Fólk dáið árið 1200	Категория:Умершие в 1200 году
Flokkur:1201	Категория:1201 год
Flokkur:Fólk fætt árið 1201	Категория:Родившиеся в 1201 году
Flokkur:Fólk dáið árið 1201	Категория:Умершие в 1201 году
Flokkur:1203	Категория:1203 год
Flokkur:Fólk fætt árið 1203	Категория:Родившиеся в 1203 году
Flokkur:Fólk dáið árið 1203	Категория:Умершие в 1203 году
Flokkur:Fólk fætt árið 1204	Категория:Родившиеся в 1204 году
Hjálp:Snið/Stubbasnið	Википедия:Шаблоны/Незавершённые статьи
Flokkur:Fólk dáið árið 1204	Категория:Умершие в 1204 году
Flokkur:1205	Категория:1205 год
Flokkur:Fólk fætt árið 1205	Категория:Родившиеся в 1205 году
Flokkur:1206	Категория:1206 год
Flokkur:Fólk dáið árið 1206	Категория:Умершие в 1206 году
Flokkur:1207	Категория:1207 год
Flokkur:Fólk fætt árið 1207	Категория:Родившиеся в 1207 году
Flokkur:1208	Категория:1208 год
Flokkur:Fólk fætt árið 1208	Категория:Родившиеся в 1208 году
Flokkur:Fólk dáið árið 1208	Категория:Умершие в 1208 году
Flokkur:Fólk dáið árið 1209	Категория:Умершие в 1209 году
Flokkur:Fólk fætt árið 1210	Категория:Родившиеся в 1210 году
Flokkur:1211	Категория:1211 год
Flokkur:1212	Категория:1212 год
Flokkur:Fólk dáið árið 1212	Категория:Умершие в 1212 году
Flokkur:1213	Категория:1213 год
Flokkur:Fólk fætt árið 1213	Категория:Родившиеся в 1213 году
Flokkur:Fólk dáið árið 1213	Категория:Умершие в 1213 году
Snið:Kanada	Шаблон:Административное деление Канады
Flokkur:Fólk fætt árið 1214	Категория:Родившиеся в 1214 году
Flokkur:Fólk dáið árið 1214	Категория:Умершие в 1214 году
Flokkur:1215	Категория:1215 год
Flokkur:Fólk fætt árið 1216	Категория:Родившиеся в 1216 году
Flokkur:1217	Категория:1217 год
Flokkur:1218	Категория:1218 год
Flokkur:Fólk dáið árið 1218	Категория:Умершие в 1218 году
Flokkur:Fólk fætt árið 1219	Категория:Родившиеся в 1219 году
Flokkur:Fólk fætt árið 1220	Категория:Родившиеся в 1220 году
Flokkur:Fólk dáið árið 1220	Категория:Умершие в 1220 году
Metal Gear Solid	Metal Gear Solid
Flokkur:Fólk fætt árið 1221	Категория:Родившиеся в 1221 году
Flokkur:1222	Категория:1222 год
Flokkur:Fólk dáið árið 1222	Категория:Умершие в 1222 году
Flokkur:1224	Категория:1224 год
Flokkur:1225	Категория:1225 год
Flokkur:Fólk fætt árið 1225	Категория:Родившиеся в 1225 году
Snið:Sniðreflisti	Шаблон:Ссылки в шаблоне
Flokkur:1226	Категория:1226 год
Flokkur:Fólk dáið árið 1226	Категория:Умершие в 1226 году
Flokkur:1227	Категория:1227 год
Flokkur:Fólk dáið árið 1227	Категория:Умершие в 1227 году
Flokkur:1228	Категория:1228 год
Flokkur:1229	Категория:1229 год
Flokkur:Fólk dáið árið 1229	Категория:Умершие в 1229 году
Flokkur:Fólk fætt árið 1230	Категория:Родившиеся в 1230 году
Flokkur:Fólk fætt árið 1951	Категория:Родившиеся в 1951 году
Flokkur:1231	Категория:1231 год
Flokkur:Fólk dáið árið 1231	Категория:Умершие в 1231 году
Flokkur:1232	Категория:1232 год
Flokkur:1233	Категория:1233 год
Flokkur:1234	Категория:1234 год
Snið:SSR	Шаблон:Республики СССР
Flokkur:Landslagsþættir	Категория:Формы рельефа
Flokkur:1235	Категория:1235 год
Flokkur:Fólk fætt árið 1235	Категория:Родившиеся в 1235 году
Flokkur:Fólk dáið árið 1235	Категория:Умершие в 1235 году
Flokkur:1236	Категория:1236 год
Flokkur:1237	Категория:1237 год
Flokkur:Fólk fætt árið 1237	Категория:Родившиеся в 1237 году
Flokkur:Fólk dáið árið 1237	Категория:Умершие в 1237 году
Flokkur:1238	Категория:1238 год
Flokkur:Kvikmyndir frumsýndar 1959	Категория:Фильмы 1959 года
Flokkur:Fólk fætt árið 1238	Категория:Родившиеся в 1238 году
Flokkur:Kvikmyndir frumsýndar 1940	Категория:Фильмы 1940 года
Flokkur:Fólk dáið árið 1238	Категория:Умершие в 1238 году
Flokkur:Kvikmyndir frumsýndar 1941	Категория:Фильмы 1941 года
Flokkur:Fólk fætt árið 1239	Категория:Родившиеся в 1239 году
Flokkur:1240	Категория:1240 год
Flokkur:Fólk fætt árið 1240	Категория:Родившиеся в 1240 году
Flokkur:1241	Категория:1241 год
Flokkur:Fólk fætt árið 1241	Категория:Родившиеся в 1241 году
Flokkur:1242	Категория:1242 год
Flokkur:Fólk fætt árið 1242	Категория:Родившиеся в 1242 году
Flokkur:Fólk dáið árið 1242	Категория:Умершие в 1242 году
Flokkur:Fólk fætt árið 1243	Категория:Родившиеся в 1243 году
Flokkur:1244	Категория:1244 год
Flokkur:Fólk dáið árið 1244	Категория:Умершие в 1244 году
Flokkur:1245	Категория:1245 год
Flokkur:Fólk dáið árið 1245	Категория:Умершие в 1245 году
Flokkur:1247	Категория:1247 год
Flokkur:Fólk fætt árið 1247	Категория:Родившиеся в 1247 году
Flokkur:1248	Категория:1248 год
Flokkur:Kvikmyndir frumsýndar 2012	Категория:Фильмы 2012 года
Flokkur:1249	Категория:1249 год
Flokkur:Fólk fætt árið 1249	Категория:Родившиеся в 1249 году
Flokkur:1250	Категория:1250 год
Flokkur:Fólk fætt árið 1250	Категория:Родившиеся в 1250 году
Flokkur:Fólk dáið árið 1250	Категория:Умершие в 1250 году
Flokkur:1251	Категория:1251 год
Flokkur:1252	Категория:1252 год
Flokkur:1253	Категория:1253 год
Flokkur:Fólk dáið árið 1253	Категория:Умершие в 1253 году
Flokkur:1254	Категория:1254 год
Flokkur:Fólk fætt árið 1254	Категория:Родившиеся в 1254 году
Flokkur:1255	Категория:1255 год
Flokkur:Fólk dáið árið 1255	Категория:Умершие в 1255 году
Flokkur:1256	Категория:1256 год
Flokkur:Fólk dáið árið 1256	Категория:Умершие в 1256 году
Flokkur:1257	Категория:1257 год
Flokkur:Fólk fætt árið 1257	Категория:Родившиеся в 1257 году
Flokkur:Fólk dáið árið 1257	Категория:Умершие в 1257 году
Flokkur:Fólk dáið árið 1881	Категория:Умершие в 1881 году
Flokkur:1258	Категория:1258 год
Flokkur:Fólk dáið árið 1258	Категория:Умершие в 1258 году
Flokkur:Fólk dáið árið 1882	Категория:Умершие в 1882 году
Flokkur:Fólk dáið árið 1259	Категория:Умершие в 1259 году
Flokkur:1260	Категория:1260 год
Flokkur:Fólk fætt árið 1260	Категория:Родившиеся в 1260 году
Flokkur:Hestamennska	Категория:Верховая езда
Flokkur:Fólk dáið árið 1260	Категория:Умершие в 1260 году
Flokkur:Fólk fætt árið 1261	Категория:Родившиеся в 1261 году
Flokkur:Fólk dáið árið 1883	Категория:Умершие в 1883 году
Flokkur:Fólk dáið árið 1261	Категория:Умершие в 1261 году
Flokkur:1262	Категория:1262 год
Flokkur:Fólk fætt árið 1263	Категория:Родившиеся в 1263 году
Flokkur:Fólk dáið árið 1263	Категория:Умершие в 1263 году
Flokkur:1265	Категория:1265 год
Flokkur:Fólk fætt árið 1265	Категория:Родившиеся в 1265 году
Flokkur:1266	Категория:1266 год
Flokkur:Fólk fætt árið 1266	Категория:Родившиеся в 1266 году
Flokkur:Fólk dáið árið 1266	Категория:Умершие в 1266 году
Flokkur:1267	Категория:1267 год
Flokkur:Fólk fætt árið 1268	Категория:Родившиеся в 1268 году
Flokkur:Fólk dáið árið 1268	Категория:Умершие в 1268 году
Flokkur:1269	Категория:1269 год
Flokkur:1270	Категория:1270 год
Flokkur:Fólk dáið árið 1270	Категория:Умершие в 1270 году
Flokkur:1271	Категория:1271 год
Flokkur:Fólk dáið árið 1271	Категория:Умершие в 1271 году
Flokkur:Fólk dáið árið 1272	Категория:Умершие в 1272 году
Flokkur:1273	Категория:1273 год
Flokkur:Fólk dáið árið 1273	Категория:Умершие в 1273 году
Flokkur:Fólk fætt árið 1274	Категория:Родившиеся в 1274 году
Flokkur:1275	Категория:1275 год
Flokkur:1276	Категория:1276 год
Flokkur:Fólk fætt árið 1276	Категория:Родившиеся в 1276 году
Flokkur:1277	Категория:1277 год
Flokkur:Fólk fætt árið 1277	Категория:Родившиеся в 1277 году
Flokkur:1279	Категория:1279 год
Flokkur:1280	Категория:1280 год
Flokkur:Fólk dáið árið 1280	Категория:Умершие в 1280 году
Flokkur:1281	Категория:1281 год
Flokkur:1282	Категория:1282 год
Flokkur:Fólk fætt árið 1282	Категория:Родившиеся в 1282 году
Flokkur:1283	Категория:1283 год
Flokkur:Fólk fætt árið 1283	Категория:Родившиеся в 1283 году
Flokkur:Fólk dáið árið 1283	Категория:Умершие в 1283 году
Flokkur:Fólk fætt árið 1284	Категория:Родившиеся в 1284 году
Flokkur:Fólk dáið árið 1284	Категория:Умершие в 1284 году
Flokkur:1285	Категория:1285 год
Flokkur:Fólk dáið árið 1285	Категория:Умершие в 1285 году
Flokkur:Fólk dáið árið 1286	Категория:Умершие в 1286 году
Flokkur:1287	Категория:1287 год
Flokkur:Eyjar í Indlandshafi	Категория:Острова Индийского океана
Flokkur:Fólk dáið árið 1287	Категория:Умершие в 1287 году
Flokkur:1288	Категория:1288 год
Flokkur:1289	Категория:1289 год
Flokkur:Fólk fætt árið 1289	Категория:Родившиеся в 1289 году
Flokkur:1290	Категория:1290 год
Flokkur:Fólk dáið árið 1290	Категория:Умершие в 1290 году
Flokkur:Fólk fætt árið 1291	Категория:Родившиеся в 1291 году
Flokkur:1292	Категория:1292 год
Flokkur:1293	Категория:1293 год
Flokkur:Fólk fætt árið 1293	Категория:Родившиеся в 1293 году
Flokkur:1294	Категория:1294 год
Flokkur:Fólk fætt árið 1294	Категория:Родившиеся в 1294 году
Flokkur:1295	Категория:1295 год
Flokkur:1296	Категория:1296 год
Flokkur:Fólk fætt árið 1296	Категория:Родившиеся в 1296 году
Flokkur:Fólk dáið árið 1296	Категория:Умершие в 1296 году
Flokkur:1297	Категория:1297 год
Flokkur:Fólk fætt árið 1297	Категория:Родившиеся в 1297 году
Flokkur:1298	Категория:1298 год
Flokkur:1941-1950	Категория:1940-е
Flokkur:Fólk dáið árið 1298	Категория:Умершие в 1298 году
Flokkur:Fólk dáið árið 1299	Категория:Умершие в 1299 году
Flokkur:1901-1910	Категория:1900-е
Flokkur:1911-1920	Категория:1910-е
Flokkur:1301	Категория:1301 год
Flokkur:1921-1930	Категория:1920-е
Flokkur:1931-1940	Категория:1930-е
Flokkur:1951-1960	Категория:1950-е
Flokkur:1961-1970	Категория:1960-е
Flokkur:1303	Категория:1303 год
Flokkur:Fólk dáið árið 1303	Категория:Умершие в 1303 году
Flokkur:1981-1990	Категория:1980-е
Flokkur:Fólk fætt árið 1304	Категория:Родившиеся в 1304 году
Flokkur:1991-2000	Категория:1990-е
Flokkur:1305	Категория:1305 год
Flokkur:2001-2010	Категория:2000-е
Flokkur:2011-2020	Категория:2010-е
Flokkur:Fólk dáið árið 1305	Категория:Умершие в 1305 году
Flokkur:2021-2030	Категория:2020-е
Flokkur:1306	Категория:1306 год
Flokkur:2041-2050	Категория:2040-е
Flokkur:1307	Категория:1307 год
Flokkur:Fólk fætt árið 1307	Категория:Родившиеся в 1307 году
Flokkur:1308	Категория:1308 год
Flokkur:1309	Категория:1309 год
Flokkur:Fólk dáið árið 1309	Категория:Умершие в 1309 году
Flokkur:Fólk dáið árið 1310	Категория:Умершие в 1310 году
Flokkur:1311	Категория:1311 год
Flokkur:Fólk dáið árið 1311	Категория:Умершие в 1311 году
Flokkur:Fólk fætt árið 1312	Категория:Родившиеся в 1312 году
Flokkur:1313	Категория:1313 год
Flokkur:Fólk dáið árið 1313	Категория:Умершие в 1313 году
Flokkur:1314	Категория:1314 год
Flokkur:Fólk dáið árið 1314	Категория:Умершие в 1314 году
Flokkur:1315	Категория:1315 год
Flokkur:Fólk fætt árið 1315	Категория:Родившиеся в 1315 году
Flokkur:Fólk dáið árið 1315	Категория:Умершие в 1315 году
Flokkur:Fólk fætt árið 1316	Категория:Родившиеся в 1316 году
Flokkur:Fólk dáið árið 1316	Категория:Умершие в 1316 году
Flokkur:1317	Категория:1317 год
Flokkur:Fólk dáið árið 1318	Категория:Умершие в 1318 году
Flokkur:1319	Категория:1319 год
Flokkur:Fólk dáið árið 1319	Категория:Умершие в 1319 году
Flokkur:Fólk dáið árið 1320	Категория:Умершие в 1320 году
Flokkur:1322	Категория:1322 год
Flokkur:Fólk dáið árið 1322	Категория:Умершие в 1322 году
Flokkur:Fólk dáið árið 1323	Категория:Умершие в 1323 году
Flokkur:Fólk fætt árið 1324	Категория:Родившиеся в 1324 году
Flokkur:Fólk dáið árið 1325	Категория:Умершие в 1325 году
Snið:Verðlaunasæti	Шаблон:MedalistTable
Flokkur:Fólk fætt árið 1326	Категория:Родившиеся в 1326 году
Flokkur:1327	Категория:1327 год
Flokkur:1328	Категория:1328 год
Flokkur:1329	Категория:1329 год
Flokkur:Fólk dáið árið 1329	Категория:Умершие в 1329 году
Flokkur:1330	Категория:1330 год
Flokkur:Fólk dáið árið 1330	Категория:Умершие в 1330 году
Flokkur:1331	Категория:1331 год
Flokkur:Fólk dáið árið 1331	Категория:Умершие в 1331 году
Flokkur:1332	Категория:1332 год
Flokkur:Fólk dáið árið 1332	Категория:Умершие в 1332 году
Flokkur:1333	Категория:1333 год
Flokkur:1335	Категория:1335 год
Flokkur:1336	Категория:1336 год
Flokkur:Fólk fætt árið 1337	Категория:Родившиеся в 1337 году
Flokkur:1338	Категория:1338 год
Flokkur:Fólk fætt árið 1338	Категория:Родившиеся в 1338 году
Flokkur:Fólk dáið árið 1338	Категория:Умершие в 1338 году
Flokkur:Fólk fætt árið 1339	Категория:Родившиеся в 1339 году
Flokkur:Fólk dáið árið 1339	Категория:Умершие в 1339 году
Flokkur:Fólk fætt árið 1340	Категория:Родившиеся в 1340 году
Flokkur:1341	Категория:1341 год
Flokkur:Fólk dáið árið 1341	Категория:Умершие в 1341 году
Flokkur:1342	Категория:1342 год
Flokkur:Fólk dáið árið 1342	Категория:Умершие в 1342 году
Flokkur:1343	Категория:1343 год
Flokkur:Fólk dáið árið 1343	Категория:Умершие в 1343 году
Flokkur:1346	Категория:1346 год
Flokkur:1348	Категория:1348 год
Flokkur:Fólk dáið árið 1348	Категория:Умершие в 1348 году
Flokkur:Fólk dáið árið 1349	Категория:Умершие в 1349 году
Flokkur:1350	Категория:1350 год
Flokkur:Fólk dáið árið 1350	Категория:Умершие в 1350 году
Flokkur:1351	Категория:1351 год
Flokkur:1353	Категория:1353 год
Flokkur:Fólk fætt árið 1353	Категория:Родившиеся в 1353 году
Flokkur:1354	Категория:1354 год
Flokkur:Fólk dáið árið 1354	Категория:Умершие в 1354 году
Flokkur:1355	Категория:1355 год
Flokkur:1356	Категория:1356 год
Flokkur:Fólk dáið árið 1356	Категория:Умершие в 1356 году
Flokkur:1358	Категория:1358 год
Flokkur:Fólk dáið árið 1358	Категория:Умершие в 1358 году
Flokkur:1359	Категория:1359 год
Flokkur:Fólk dáið árið 1359	Категория:Умершие в 1359 году
Flokkur:1360	Категория:1360 год
Flokkur:Fólk fætt árið 1360	Категория:Родившиеся в 1360 году
Flokkur:1361	Категория:1361 год
Flokkur:Fólk dáið árið 1361	Категория:Умершие в 1361 году
Flokkur:Fólk dáið árið 1362	Категория:Умершие в 1362 году
Flokkur:1364	Категория:1364 год
Flokkur:Fólk dáið árið 1364	Категория:Умершие в 1364 году
Flokkur:1365	Категория:1365 год
Flokkur:1366	Категория:1366 год
Flokkur:Fólk fætt árið 1366	Категория:Родившиеся в 1366 году
Flokkur:1367	Категория:1367 год
Snið:Barcelonaliðið	Шаблон:Состав ФК Барселона
Flokkur:Fólk fætt árið 1368	Категория:Родившиеся в 1368 году
Flokkur:1369	Категория:1369 год
Flokkur:Fólk dáið árið 1369	Категория:Умершие в 1369 году
Flokkur:1370	Категория:1370 год
Flokkur:Fólk dáið árið 1370	Категория:Умершие в 1370 году
Flokkur:1371	Категория:1371 год
Flokkur:Fólk fætt árið 1371	Категория:Родившиеся в 1371 году
Flokkur:Fólk dáið árið 1371	Категория:Умершие в 1371 году
Flokkur:1373	Категория:1373 год
Flokkur:Fólk dáið árið 1373	Категория:Умершие в 1373 году
Flokkur:Fólk dáið árið 1374	Категория:Умершие в 1374 году
Flokkur:1375	Категория:1375 год
Flokkur:1376	Категория:1376 год
Flokkur:1378	Категория:1378 год
Flokkur:Dýralíffærafræði	Категория:Анатомия животных
Flokkur:Fólk dáið árið 1378	Категория:Умершие в 1378 году
Flokkur:1379	Категория:1379 год
Flokkur:Málmblöndur	Категория:Сплавы
Flokkur:Fólk dáið árið 1379	Категория:Умершие в 1379 году
Flokkur:Bahá'í trúin	Категория:Вера Бахаи
Flokkur:Fólk dáið árið 1380	Категория:Умершие в 1380 году
Flokkur:1381	Категория:1381 год
Flokkur:Taugasjúkdómar	Категория:Заболевания нервной системы
Flokkur:Fólk dáið árið 1381	Категория:Умершие в 1381 году
Flokkur:Víetnamstríðið	Категория:Война во Вьетнаме
Flokkur:Fólk fætt árið 1382	Категория:Родившиеся в 1382 году
Flokkur:1383	Категория:1383 год
Flokkur:1384	Категория:1384 год
Flokkur:1385	Категория:1385 год
Flokkur:Fólk dáið árið 1385	Категория:Умершие в 1385 году
Flokkur:1386	Категория:1386 год
Flokkur:Fólk fætt árið 1386	Категория:Родившиеся в 1386 году
Flokkur:Fólk fætt árið 1387	Категория:Родившиеся в 1387 году
Flokkur:Fólk dáið árið 1387	Категория:Умершие в 1387 году
Flokkur:Fólk dáið árið 1388	Категория:Умершие в 1388 году
Flokkur:1389	Категория:1389 год
Flokkur:Fólk dáið árið 1389	Категория:Умершие в 1389 году
Flokkur:1390	Категория:1390 год
Flokkur:1503	Категория:1503 год
Flokkur:Hliðarmálmar	Категория:Переходные металлы
Wikipedia:AutoWikiBrowser/Typos	Википедия:AutoWikiBrowser/Typos
Flokkur:1393	Категория:1393 год
Flokkur:Fólk fætt árið 1394	Категория:Родившиеся в 1394 году
Flokkur:Fólk dáið árið 1394	Категория:Умершие в 1394 году
Flokkur:1396	Категория:1396 год
Flokkur:1529	Категория:1529 год
Flokkur:1397	Категория:1397 год
Flokkur:Stærðfræðileg vensl	Категория:Математические отношения
Flokkur:Fólk fætt árið 1397	Категория:Родившиеся в 1397 году
Flokkur:Fólk fætt árið 1398	Категория:Родившиеся в 1398 году
Flokkur:Fólk dáið árið 1398	Категория:Умершие в 1398 году
Flokkur:1399	Категория:1399 год
Flokkur:1528	Категория:1528 год
Flokkur:1401	Категория:1401 год
Flokkur:1523	Категория:1523 год
Flokkur:Fólk fætt árið 1401	Категория:Родившиеся в 1401 году
Flokkur:Fólk dáið árið 1402	Категория:Умершие в 1402 году
Flokkur:Fólk dáið árið 1403	Категория:Умершие в 1403 году
Flokkur:1404	Категория:1404 год
Flokkur:1405	Категория:1405 год
Flokkur:Fólk fætt árið 1405	Категория:Родившиеся в 1405 году
Flokkur:1406	Категория:1406 год
Flokkur:Fólk dáið árið 1406	Категория:Умершие в 1406 году
Flokkur:1408	Категория:1408 год
Flokkur:Japönsk menning	Категория:Культура Японии
Flokkur:Fólk fætt árið 1408	Категория:Родившиеся в 1408 году
Flokkur:1516	Категория:1516 год
Flokkur:Fólk dáið árið 1409	Категория:Умершие в 1409 году
Flokkur:Fólk dáið árið 1410	Категория:Умершие в 1410 году
Flokkur:Fólk dáið árið 1411	Категория:Умершие в 1411 году
Flokkur:Fólk fætt árið 1412	Категория:Родившиеся в 1412 году
Flokkur:Mars (reikistjarna)	Категория:Марс
Flokkur:1413	Категория:1413 год
Flokkur:1414	Категория:1414 год
Flokkur:1530	Категория:1530 год
Flokkur:Fólk dáið árið 1415	Категория:Умершие в 1415 году
Flokkur:1522	Категория:1522 год
Flokkur:Fólk fætt árið 1416	Категория:Родившиеся в 1416 году
Flokkur:1525	Категория:1525 год
Flokkur:1417	Категория:1417 год
Flokkur:1531	Категория:1531 год
Flokkur:1418	Категория:1418 год
Flokkur:1419	Категория:1419 год
Flokkur:Innkirtlafræði	Категория:Эндокринология
Flokkur:Al-Kaída	Категория:Аль-Каида
Flokkur:1422	Категория:1422 год
Flokkur:1527	Категория:1527 год
Flokkur:Fólk dáið árið 1422	Категория:Умершие в 1422 году
Flokkur:1513	Категория:1513 год
Flokkur:1449	Категория:1449 год
Flokkur:1424	Категория:1424 год
Flokkur:1508	Категория:1508 год
Flokkur:1504	Категория:1504 год
Flokkur:1509	Категория:1509 год
Flokkur:1426	Категория:1426 год
Flokkur:1506	Категория:1506 год
Flokkur:1519	Категория:1519 год
Flokkur:1428	Категория:1428 год
Gátt:Japan	Портал:Япония
Flokkur:1429	Категория:1429 год
Flokkur:1430	Категория:1430 год
Flokkur:Fólk fætt árið 1430	Категория:Родившиеся в 1430 году
Flokkur:1431	Категория:1431 год
Flokkur:Breskir landkönnuðir	Категория:Путешественники Великобритании
Flokkur:Fólk dáið árið 1431	Категория:Умершие в 1431 году
Flokkur:Fólk fætt árið 1432	Категория:Родившиеся в 1432 году
Flokkur:1510	Категория:1510 год
Flokkur:Fólk fætt árið 1433	Категория:Родившиеся в 1433 году
Flokkur:1434	Категория:1434 год
Flokkur:1512	Категория:1512 год
Flokkur:1435	Категория:1435 год
Flokkur:1524	Категория:1524 год
Flokkur:1436	Категория:1436 год
Flokkur:1437	Категория:1437 год
Flokkur:Fólk dáið árið 1437	Категория:Умершие в 1437 году
Flokkur:1439	Категория:1439 год
Flokkur:1440	Категория:1440 год
Flokkur:Fólk dáið árið 1440	Категория:Умершие в 1440 году
Flokkur:Fólk fætt árið 1442	Категория:Родившиеся в 1442 году
Flokkur:1443	Категория:1443 год
Flokkur:Fólk dáið árið 1443	Категория:Умершие в 1443 году
Flokkur:Fólk dáið árið 1444	Категория:Умершие в 1444 году
Flokkur:1445	Категория:1445 год
Flokkur:1447	Категория:1447 год
Flokkur:Fólk dáið árið 1447	Категория:Умершие в 1447 году
Flokkur:1450	Категория:1450 год
Flokkur:Fólk fætt árið 1451	Категория:Родившиеся в 1451 году
Flokkur:Fólk fætt árið 1452	Категория:Родившиеся в 1452 году
Flokkur:Fólk fætt árið 1455	Категория:Родившиеся в 1455 году
Flokkur:1457	Категория:1457 год
Flokkur:1458	Категория:1458 год
Flokkur:Fólk dáið árið 1458	Категория:Умершие в 1458 году
Flokkur:Fólk fætt árið 1459	Категория:Родившиеся в 1459 году
Flokkur:1460	Категория:1460 год
Flokkur:Fólk dáið árið 1460	Категория:Умершие в 1460 году
Flokkur:1462	Категория:1462 год
Flokkur:1463	Категория:1463 год
Flokkur:Fólk fætt árið 1463	Категория:Родившиеся в 1463 году
Flokkur:1464	Категория:1464 год
Flokkur:Fólk fætt árið 1464	Категория:Родившиеся в 1464 году
Flokkur:1466	Категория:1466 год
Flokkur:Fólk dáið árið 1466	Категория:Умершие в 1466 году
Flokkur:1467	Категория:1467 год
Flokkur:Fólk dáið árið 1467	Категория:Умершие в 1467 году
Flokkur:Sítrusávextir	Категория:Цитрусовые
Flokkur:1468	Категория:1468 год
Flokkur:Fólk dáið árið 1468	Категория:Умершие в 1468 году
Flokkur:Fólk fætt árið 1469	Категория:Родившиеся в 1469 году
Flokkur:1470	Категория:1470 год
Flokkur:Fólk dáið árið 1470	Категория:Умершие в 1470 году
Flokkur:1471	Категория:1471 год
Flokkur:Fólk fætt árið 1471	Категория:Родившиеся в 1471 году
Flokkur:Fólk dáið árið 1471	Категория:Умершие в 1471 году
Flokkur:1473	Категория:1473 год
Flokkur:Fólk fætt árið 1473	Категория:Родившиеся в 1473 году
Flokkur:1474	Категория:1474 год
Flokkur:1475	Категория:1475 год
Flokkur:1476	Категория:1476 год
Flokkur:Fólk dáið árið 1476	Категория:Умершие в 1476 году
Flokkur:Fólk fætt árið 1477	Категория:Родившиеся в 1477 году
Flokkur:1478	Категория:1478 год
Flokkur:Fólk fætt árið 1478	Категория:Родившиеся в 1478 году
Flokkur:1479	Категория:1479 год
Flokkur:Fólk dáið árið 1479	Категория:Умершие в 1479 году
Flokkur:Fólk fætt árið 1480	Категория:Родившиеся в 1480 году
Flokkur:Fólk fætt árið 1481	Категория:Родившиеся в 1481 году
Flokkur:Notandi pt-0	Категория:User pt-0
Flokkur:1482	Категория:1482 год
Flokkur:Notandi pt-2	Категория:User pt-2
Flokkur:Rússnesk íþróttamannvirki	Категория:Спортивные сооружения России
Flokkur:Notandi pt-4	Категория:User pt-4
Flokkur:1483	Категория:1483 год
Flokkur:Fólk dáið árið 1483	Категория:Умершие в 1483 году
Flokkur:Notandi pt-M	Категория:User pt-N
Flokkur:Fólk fætt árið 1484	Категория:Родившиеся в 1484 году
Flokkur:Fólk fætt árið 1485	Категория:Родившиеся в 1485 году
Flokkur:Fólk fætt árið 1486	Категория:Родившиеся в 1486 году
Flokkur:Fólk dáið árið 1486	Категория:Умершие в 1486 году
Flokkur:Fólk dáið árið 1487	Категория:Умершие в 1487 году
Flokkur:Fólk dáið árið 1488	Категория:Умершие в 1488 году
Flokkur:1490	Категория:1490 год
Flokkur:Notandi ro-2	Категория:User ro-2
Flokkur:1491	Категория:1491 год
Flokkur:Notandi ro-3	Категория:User ro-3
Flokkur:Fólk dáið árið 1491	Категория:Умершие в 1491 году
Flokkur:Notandi ro-4	Категория:User ro-4
Flokkur:Notandi ro-M	Категория:User ro-N
Flokkur:1493	Категория:1493 год
Flokkur:1494	Категория:1494 год
Flokkur:Fólk fætt árið 1494	Категория:Родившиеся в 1494 году
