आफ्रिकाखण्डः	Африка
क्यावेण्डिष् हेन्रि	Кавендиш, Генри
औपसर्गिकव्याधिः	Инфекционные заболевания
जार्ज २	Георг II (король Великобритании)
काली	Кали
सानिया मिर्ज़ा	Мирза, Саня
भारतीयपर्वाणि	Фестиваль
आयुर्वेदः	Аюрведа
अमर्त्य सेन	Сен, Амартия
जीरकम्	Зира (растение)
यमुनानदी	Джамна
रिचर्ड ३	Ричард III
पादः	Нога человека
भारतस्य इतिहासः	История Индии
मेथिका	Пажитник сенной
लेव लाण्डौ	Ландау, Лев Давидович
पृष्ठभागः	Спина
विलियम हेन्री ब्राग	Брэгг, Уильям Генри
जार्ज पेजेट थामसन	Томсон, Джордж Паджет
आकस्मिक चिकित्सा	Первая помощь
कन्याराशिः	Дева (знак зодиака)
जां बाप्टिस्टे पेरिन	Перрен, Жан Батист
पोलोक्रीडा	Поло
धर्मः	Дхарма
तुलाराशिः	Весы (знак зодиака)
वृश्चिकराशिः	Скорпион (знак зодиака)
भौतिकी तुला	Весы
जेम्स ५	Яков V
जेम्स ४	Яков IV
प्रिन्‍सटन	Принстон (Нью-Джерси)
नेवेहिः	Нявежис
जकारियस् जान्सन्	Янсен, Захарий
पाणिपत्	Панипат
ग्रहणम्	Затмение
जाकिर हुसैन	Хусейн, Закир
राजशिम्बी	Зернобобовые культуры
नूतन	Нутан
अजय देवगन	Девган, Аджай
कन्दशाकम्	Кольраби
बहुनेत्रफलम्	Ананас
सिद्धपेयम्	Безалкогольные напитки
शिरोमणि अकालीदलम्	Акали Дал
सुब्रह्मण्यन् चन्द्रशेखरः	Субраманьян Чандрасекар
रजनीशः	Ошо (Бхагван Шри Раджниш)
मध्यप्रदेशस्य मण्डलानि	Список округов Мадхья-Прадеш
लज्जालुसस्यम्	Мимоза стыдливая
कबड्डिक्रीडा	Кабадди
गुरु दत्त	Гуру Датт
नागरङ्गफलम्	Цитрон
डेविड दे हेया	Де Хеа, Давид
जार्ज् कार्लिन्	Карлин, Джордж
चोळवंशः	Чола (государство)
वायुपुराणम्	Ваю-пурана
एडवार्ड् वी एप्पलटन्	Эплтон, Эдуард Виктор
काफीबीजम्	Кофейное зерно
भ्रष्टतण्डुलः	Воздушный рис
कोला	Кола (город)
नार्मन् बोर्लाग्	Борлоуг, Норман Эрнест
इगोर वाइ टाम	Тамм, Игорь Евгеньевич
राबर्ट् ब्रौन्	Броун, Роберт
जोसेफ् लिस्टर्	Листер, Джозеф
मासातोशी कोशिबा	Косиба, Масатоси
हिदेकी युकावा	Юкава, Хидэки
लुइ नील	Неель, Луи
डेनिस गाबोर	Габор, Денеш
यूजीन विग्नर	Вигнер, Юджин
हान्स बेथे	Бете, Ханс Альбрехт
एरण्डसस्यम्	Клещевина
आजाद हिन्द फौज्	Индийская национальная армия
काकमाची	Белладонна
तक्षशिलाविश्वविद्यालयः	Таксила
मन्ना दे	Дей, Манна
जे. बि. एस्. हाल्डेन्	Холдейн, Джон Бёрдон Сандерсон
वास्तुकम्	Амарант
लता मङ्गेशकरः	Мангешкар, Лата
सर्वपल्ली राधाकृष्णन्	Радхакришнан, Сарвепалли
काफीसस्यम्	Кофе (род)
लकुचम्	Тутовые
मोहम्मद रफी	Мохаммед Рафи
पूगवृक्षः	Бетелевая пальма
साम्युयेल् हानिमन्	Ганеман, Христиан Фридрих Самуэль
वामनी	Аир обыкновенный
ग्वालियर	Гвалиор
जूही चावला	Чавла, Джухи
इण्डिय़न् मुजहिद्दिन् सङ्घटनम्	Индийские моджахеды
दीपिका पडुकोणे	Падуконе, Дипика
नागवल्लीपत्रम्	Бетель
जपापुष्पम्	Гибискус китайский
सिंहराशिः	Лев (знак зодиака)
ह्यूगो द व्रीस्	Де Фриз, Хуго
रामः	Рама
हेनरी ६	Генрих VI (король Англии)
एडवर्ड ४	Эдуард IV
थियोफ्रास्टस्	Теофраст
पुतिहासस्यम्	Мята полевая
पारसीकयवानी	Белена чёрная
अरग्वदवृक्षः	Кассия трубчатая
प्रियङ्गुः	Могар
कर्कटराशिः	Рак (знак зодиака)
आम्रम्	Манго (растение)
वितुन्नः	Целозия серебристая
एडवार्ड गिबन	Гиббон, Эдуард
हेनरी ४	Генрих IV (король Англии)
कुम्भराशिः	Водолей (знак зодиака)
महानिम्बिसस्यम्	Мелия ацедарах
स्पन्दमापिनी	Стетоскоп
जेन	Джейн Грей
प्रयागः	Аллахабад
ओन्कोलोजी	Онкология
सी टी आर विल्सन	Вильсон, Чарлз Томсон Риз
सोनिया गान्धी	Ганди, Соня
विलियम शाक्ली	Шокли, Уильям Брэдфорд
निमेन्या विडिच	Видич, Неманья
द डार्क् नैट्	Тёмный рыцарь
श्यामाकः	Ежовник
वृषभराशिः	Телец (знак зодиака)
मकरराशिः	Козерог (знак зодиака)
आल्बर्ट् स्याबिन्	Сэйбин, Альберт
साङ्ख्यदर्शनम्	Санкхья
हरितगृहम्	Теплица
मरीचिका (शाकम्)	Красный перец
चित्रदुर्गमण्डलम्	Читрадурга (округ)
मधुरकूष्माण्डम्	Тыква (плод)
पालङ्कः	Свёкла (корнеплод)
उन्नतकूर्दनम्	Прыжок в высоту
स्टार् वार्स्:दि फ़ांटम् मेनस्	Звёздные войны. Эпизод I: Скрытая угроза
परावर्तनम् (भौतविज्ञानम्)	Отражение (физика)
इसिडोर ऐजक रबि	Раби, Исидор Айзек
बैटमेन बिगिंस्	Бэтмен: Начало
चम्पकम्	Магнолия чампака
मध्यमा	Средний палец
विजयनगरसाम्राज्यम्	Виджаянагарская империя
तिरुवनन्तपुरम्	Тируванантапурам
गुल्फः	Лодыжка
कार्ल् डी एन्डरसन्	Андерсон, Карл Дейвид
धूमनीहारः	Смог
दार्जिलिङ्ग	Дарджилинг (город)
श्रीनगरम्	Сринагар
डिमीटार बरबाटोव	Бербатов, Димитр
आण्ड्रियेस् वेसेलियस्	Везалий, Андреас
ओलम्पिक् ज्वाला	Олимпийский огонь
अगर्तला	Агартала
निम्बः	Ним (дерево)
एडवर्ड ५	Эдуард V
पार्वती	Парвати
प्रलम्बकूर्दनम्	Прыжок в длину
जानुवातः सन्धिवातश्च	Артрит
रोबर्ट वूड्रो विल्सन	Вильсон, Роберт Вудро
मृदुकन्दुक-क्रीडा	Софтбол
बाणभट्टः	Бана
शतद्रुनदी	Сатледж
भुवनेश्वरम्	Бхубанешвар
रक्तदुर्गम् (आग्रा)	Красный форт (Агра)
भारतस्य राष्ट्रियचिह्नम्	Эмблема Индии
जार्ज् क्युव्ये	Кювье, Жорж Леопольд
पर्सी ब्रिजमन	Бриджмен, Перси Уильямс
स्टीवन चू	Чу, Стивен
डैरेन फ्लेचर	Флетчер, Даррен
मरे गेलमन	Гелл-Ман, Марри
प्योट्र कापिट्सा	Капица, Пётр Леонидович
एमिलियो गीनो सेग्रे	Сегре, Эмилио Джино
कनीनिका	Зрачок
मनोरञ्जनं	Развлечение
प्रेमचन्दः	Шривастав, Дханпатрай
हिब्रूविश्वविद्यालयः (येरुशलम्)	Еврейский университет в Иерусалиме
अंटोनियो वालेंसिया	Валенсия, Антонио
पार्ष्णिः	Пятка
रेमन्ड डेविस जुनियर	Дэвис, Раймонд
थामस् हण्ट् मार्गन्	Морган, Томас Хант
गाब्रियोलो फालोपियस्	Фаллопий, Габриэль
सेसिल पावेल	Пауэлл, Сесил Фрэнк
लुइ अल्वारेज़	Альварес, Луис
अन्ताराष्ट्रियः व्यापारः	Международная торговля
खजुराहो	Кхаджурахо
खण्डकाव्यानि	Ода
फतेह्-पुर्-सिक्री	Фатехпур-Сикри
जिद्दु कृष्णमूर्ति	Кришнамурти, Джидду
स्टीवन वैनबर्ग	Вайнберг, Стивен
जोर्ज एफ स्मूट	Смут, Джордж
लीयो एसाकी	Эсаки, Лео
पुनर्गमनवाद	Рекурсия
सुवर्णमन्दिरम्	Хармандир-Сахиб
आदिशङ्कराचार्यः	Шанкара
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Звёздные войны. Эпизод II: Атака клонов
साञ्चीस्तूपः	Санчи
ब्रायन जोसेफसन	Джозефсон, Брайан Дэвид
चेन निंग यांग	Янг Чжэньнин
महाथिर मोहमद	Махатхир Мохамад
तन्त्रशास्त्रम्	Тантра
कर्पूरम्	Камфора
झांसी लक्ष्मीबाई	Лакшми-бай
अगस्टा, जार्जिया	Огаста (Джорджия)
मेघदूतम्	Мегхадута
प्लास्टिक शल्यचिकित्सा	Пластическая хирургия
अलङ्काराः	Фигуры речи
आडुबान् जान् जेम्स्	Одюбон, Джон Джеймс
रेखिचिकित्सा	Рэйки
श्रीरामकृष्णपरमहंसः	Рамакришна
जलमालिन्यम्	Загрязнение пресных вод
हंस:	Гуси
मोक्षः	Мокша (философия)
जीवविकासवादः	Дарвинизм
ॐ	Ом (мантра)
थामस् हेन्रि हक्स्लि	Гексли, Томас Генри
अजन्तागुहाः	Аджанта
पेट्रिक एम एस ब्लाकेट	Блэкетт, Патрик Мейнард Стюарт
सिन-इतिरो तोमोनागा	Томонага, Синъитиро
चार्ल्स् एच् टाउन्स्	Таунс, Чарлз Хард
गेरार्डस 'टी हूफ्ट	’т Хоофт, Герард
मारीस् एच् विल्किन्स्	Уилкинс, Морис
तर्जनी	Указательный палец
हास्टिंग्स बान्डा	Банда, Хастингс
दण्डकूर्दनम्	Прыжок с шестом
ब्राह्मीलिपिः	Брахми
मणिबन्धः	Лучезапястный сустав
अर्जुनः	Арджуна
मिग्नेल् सर्वेटस्	Сервет, Мигель
वैश्यः	Вайшьи
अयोध्या	Айодхья
गङ्गटोक्	Гангток
धर्मशाला, हिमाचलप्रदेशः	Дармсала
जुलियन श्विंगर	Швингер, Джулиан
विलिस इ लाम्ब	Лэмб, Уиллис Юджин
राष्ट्रियध्वजः	Государственный флаг
दाहोदमण्डलम्	Даход (округ)
कार्लो रुबिया	Руббиа, Карло
त्रिः कूर्दनम्	Тройной прыжок
राबर्ट १	Роберт I (король Шотландии)
कुतुब् मिनार्	Кутб-Минар
डैनी वेल्बेक	Уэлбек, Дэнни
चन्द्रगुप्तमौर्यः	Чандрагупта Маурья
पुराणानि	Пураны
हनुमान्	Хануман
पत्नी	Жена
शिक्षकदिनम् (भारतम्)	День учителя
राष्ट्रियपुस्तकालयः (इजरायल्)	Национальная библиотека Израиля
नेविल एफ मोट्ट	Мотт, Невилл Франсис
एल्लोरागुहाः	Эллора
पाणिनिः	Панини
मेल्विन श्वार्ट्ज	Шварц, Мелвин
निकोलास ब्लोम्बर्गन	Бломберген, Николас
इस्कान् संस्था	Международное общество сознания Кришны
हिब्रूभाषा-अकादमी	Академия языка иврит
आर्थर एल शालो	Шавлов, Артур Леонард
मेमेन्टो	Помни
जेम्स रेनवाटर	Рейнуотер, Лео Джеймс
विलियम डी फिलिप्स	Филлипс, Уильям
मार्टिन राइल	Райл, Мартин
फिलिप दबल्यु एन्डरसन	Андерсон, Филип Уоррен
फ्रान्सिस् गाल्टन्	Гальтон, Фрэнсис
लुक्रेजिया बोर्गिया	Борджиа, Лукреция
सीता	Сита
गोदावरीनदी	Годавари
प्राकृतम्	Пракрит
श्री अरविन्दः	Шри Ауробиндо
अनामिका	Безымянный палец
ऐजोल	Аиджал
छन्दः	Метр (стихосложение)
लीयोन एम लीडरमन	Ледерман, Леон Макс
चार्ल्स बार्क्ले	Баркли, Чарльз
भारतस्य प्रधानमन्त्री	Премьер-министр Индии
ए जे लेगेट	Леггетт, Энтони Джеймс
काजीराङ्गाराष्ट्रियोद्यानम्	Казиранга (национальный парк)
वर्नियरमापकम्	Нониус
उष्णरक्तप्राणिनः	Гомойотермия
जेम्स क्रोनिन	Кронин, Джеймс Уотсон
कृष्णा	Кришна (река)
केनेथ् जी विल्सन्	Вильсон, Кеннет
हीनयानम्	Хинаяна
सत्याग्रहः	Сатьяграха
ऋतम्	Рита (индуизм)
मण्डी	Манди
मौलाना अबुल कलाम आजाद	Азад, Абул Калам
भरतमुनिः	Бхарата Муни
राजेन्द्र प्रसाद	Прасад, Раджендра
देहरादून	Дехрадун
गुवाहाटी	Гувахати
विश्वपरिसरदिनम्	Всемирный день окружающей среды
बार्बर मेक्लिन्टाक्	Мак-Клинток, Барбара
उपमालङ्कारः	Сравнение (риторика)
विशाखपट्टणमण्डलम्	Вишакхапатнам
विजयवाडा	Виджаявада
जोधपुरम्	Джодхпур
अजमेर	Аджмер
जोनास् एड्वर्ड् साक्	Солк, Джонас
उज्जैन	Удджайн
लुधियाना	Лудхиана
मेरठ	Мератх
मथुरा	Матхура
उदयपुरम्	Удайпур
औरङ्गाबाद् (महाराष्ट्रम्)	Аурангабад (Махараштра)
बीकानेर	Биканер
जबलपुरम्	Джабалпур
कास्सोवारिस्	Казуары
रिचार्ड इ टेलर	Тейлор, Ричард Эдвард
विज्ञानेतिहासः	История науки
अलिगढ, उत्तरप्रदेशः	Алигарх
अमृतसरमण्डलम्	Амритсар (округ)
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	Кориолис, Гаспар-Гюстав
सामाजिकमाध्यमानि	Социальные медиа
ब्रह्मगुप्तः	Брахмагупта
प्लासीयुद्धम्	Битва при Плесси
गुरुग्रन्थसाहिब	Гуру Грантх Сахиб
पोर्ट्ब्लेरः	Порт-Блэр
रिचर्ड क्रामवेल	Кромвель, Ричард
जेर्टि थेरेसा कोरि	Кори, Герти Тереза
सिरोहीमण्डलम्	Сирохи (округ)
सन्धिः	Сандхи
गाझियाबाद्, उत्तरप्रदेशः	Газиабад
संस्कृतम्.ओआरजी	Зелень
उडुपचालनक्रीडा	Рафтинг
कटकम्	Каттак
ठाणे	Тхане
शिलाङ्ग	Шиллонг
ट्रिचिमलैदुर्गम्	Тируччираппалли
जगन्नाथपुरी	Пури
इन्द्रियनिग्रहः	Целомудрие
महाबलिपुरम्	Махабалипурам
इम्फाल	Импхал
मु अम्मर् गडाफ़ि	Каддафи, Саиф аль-Ислам
पटियाला	Патиала
फेडेरिको माकेडा	Македа, Федерико
भारतचीनयुद्धम्	Китайско-индийская пограничная война (1962)
दूर्वा	Свинорой пальчатый
जलियान्वालाबाग हत्याकाण्डः	Бойня на Джаллианвала-багх
सूत्रम्	Сутра
चन्दनम्	Сантал белый
गङ्गानद्याः डोल्फिन	Гангский дельфин
चेरापूञ्जी	Черапунджи
मियाण्डर्	Большой Мендерес
राजेन्द्रचोळः	Раджендра I
काञ्चिपुरम्	Канчипурам
हरिप्रसाद चौरासिया	Харипрасад Чаурасия
बरेली	Барели
वारङ्गल् दुर्गम्	Варангал
तबला (वाद्यम्)	Табла
भारतीयसर्वोच्चन्यायालयः	Верховный суд Индии
प्रकृतिचिकित्सा	Натуропатия
पणजी	Панаджи
वितस्ता	Джелам (река)
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	Эддингтон, Артур Стэнли
नारिकेलतैलम्	Кокосовое масло
कावेरीनदी	Кавери
नालन्दाविश्वविद्यालयः	Наланда
चम्पा	Тямпа
चन्द्रभागा	Чинаб
हर्षवर्धनः	Харша
रागः	Рага
मोरारजी देसाई	Десаи, Морарджи
नारङ्गफलरसः	Апельсиновый сок
दलितजनः	Неприкасаемые (касты)
आर् लेनेक् मानारल्	Лаэннек, Рене
नाविकनीलः	Ультрамарин
वसन्तपञ्चमी	Васант-панчами
डैरेन गिब्सन	Гибсон, Даррон
ध्रुवीय उपग्रह प्रक्षेपण यानम्	PSLV
कन्याकुमारी	Каньякумари
जेम्स ३	Яков III (король Шотландии)
श्वेतपत्रम्	Белая книга
स्वामी दयानन्दसरस्वती	Даянанда Сарасвати
एलिजाबेथ	Элизабет
कनिष्ठिका	Мизинец
हिप्पोक्रेटस	Гиппократ (значения)
मधुरै	Мадурай
कलियुगम्	Кали-юга
भारतस्य राष्ट्रियपञ्चाङ्गम्	Единый национальный календарь Индии
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	Индийская организация космических исследований
कस्तूरिमृगः	Кабарговые
लोकसभा	Лок сабха
अण्णा हजारे	Хазаре, Анна
पतञ्जलिः	Патанджали
भीमराव रामजी अम्बेडकर	Амбедкар, Бхимрао Рамджи
बोअ क्वोन्	БоА
माधुरी दीक्षित	Дикшит, Мадхури
जम्बूफलम्	Джамболан
कोशातकी	Люффа
अटल बिहारी वाजपेयी	Ваджпаи, Атал Бихари
अक्षय कुमार	Акшай Кумар
पञ्चतन्त्रम्	Панчатантра
नर्मदानदी	Нармада (река)
मगधदेश:	Магадха
कोहिमा	Кохима
बिल्वः	Баиль
शिग्रुः	Моринга масличная
श्रीविजयराजवंशः	Шривиджая
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	Коммунистическая партия Индии (марксистская)
एलिजबेत् ब्ल्याक्वेल्	Блэкуэлл, Элизабет
आल्लाह्	Аллах
भक्तिवेदान्तस्वामी प्रभुपादः	Бхактиведанта Свами Прабхупада
शुष्कफलानि	Сухофрукты
जेम्स १ (स्काटलैंड)	Яков I (король Шотландии)
के आर् नारायणन्	Нараянан, Кочерил Раман
रुत् प्रवर् जब्वाला	Правер Джабвала, Рут
केवलादेव्-राष्ट्रियोद्यानम्	Кеоладео (национальный парк)
छत्रपतिशिवाजीटर्मिनस्	Вокзал Чхатрапати Шиваджи
गोकुरासस्यम्	Якорцы стелющиеся
अथर्ववेदः	Атхарваведа
पाण्डवाः	Пандавы
सामवेदः	Самаведа
कटिः	Талия (часть тела)
सुरेन्द्रनगरमण्डलम्	Сурендранагар (округ)
सोलापुरम्	Солапур
कल्पना चावला	Чавла, Калпана
दाण्डीयात्रा	Соляной поход
डेविड २	Давид II (король Шотландии)
छत्रपति शिवाजी	Шиваджи
ॐ मणि पद्मे हूँ	Ом мани падме хум
मिन्दौगः	Миндовг
सहारनपुरम्	Сахаранпур
जैसलमेर	Джайсалмер
भावनगरम्	Бхавнагар
झान्सी	Джханси (город)
गोरखपुरम्	Горакхпур
लाल बहादूर शास्त्री	Шастри, Лал Бахадур
राज्यसभा	Раджья сабха
कृष्णनिम्बपत्रम्	Муррайя Кёнига
महर्षि महेश योगी	Махариши Махеш Йоги
ऐन्डर्स लिनडेगार्ड	Линдегор, Андерс
भारतद्वारम्	Ворота Индии
इन्द्र कुमार गुजराल	Гуджрал, Индер Кумар
विचिटा	Уичита (значения)
सरोजिनी नायुडु	Найду, Сароджини
गया	Гая
लम्बाणिजनाङ्गः	Банджары (Индия)
सौत्रान्तिकाः	Саутрантика
यष्टी	Лакрица
अमरेलीमण्डलम्	Амрели (округ)
गोराणी	Гуар
कस्तूरबा	Ганди, Кастурба
आरण्यकम्	Араньяки
अस्थि	Кость
पीठम्	Постамент
जार्ज ५	Георг V
बेळगावी	Белгаум
इन्दोनेशिया राष्ट्रपति सूची	Список президентов Индонезии
कवरत्ती	Каваратти
विन्ध्यः	Виндхья
दिसपुर	Диспур
बाष्पस्थाली	Скороварка
जेम्स २ (स्काटलैंड)	Яков II (король Шотландии)
हरिद्वारम्	Хардвар
पी वी नरसिंह राव्	Нарасимха Рао, Памулапарти Венката
ग्रन्थसम्पादनप्रविधिः	Текстология
सीताफलम्	Аннона
आम्ब्रोस् पारे	Паре, Амбруаз
कारैकल्	Карикал
यानम्, पाण्डीचेरी	Янам
माहे	Маэ (Индия)
नोयडा	Ноида
प्राचीनविमानशास्त्रम्	Вайманика-шастра
श्वेताम्बरः सम्प्रदायः	Шветамбары
जार्ज ६	Георг VI
शिवमोग्गामण्डलम्	Шимога
स्वामी रामदेवः	Свами Рамдев
चम्पावतमण्डलम्	Чампават (округ)
रमणमहर्षिः	Рамана Махарши
कोटो (वाद्यम्)	Кото
राबर्ट ३	Роберт III (король Шотландии)
लियाण्डर् पेस्	Паес, Леандер
जार्ज् वाशिङ्ग्टन् कार्वर्	Карвер, Джордж Вашингтон
डयोस्कोरिडीस्	Диоскорид
आर् वेङ्कटरामन्	Рамасвами Венкатараман
मडिकेरी	Мадикери
भरतः	Бхарата
इडुक्की मण्डलम्	Идукки
वलसाड	Валсад
अरविन्दाश्रमः	Ашрам Шри Ауробиндо
पुरुलियामण्डलम्	Пурулия (округ)
मरीचिका (भौतविज्ञानम्)	Мираж
धात्री	Филлантус эмблика
जाह्न बालियोल	Иоанн I (король Шотландии)
आम्रातकम्	Момбин
बलासस्यम्	Сида
बेन अमोस	Эймос, Бен
हीरोफिलस्	Герофил
परमहंसयोगानन्‍दः	Парамаханса Йогананда
कबीरदासः	Кабир
अश्वघोषः	Ашвагхоша
महेशभूपतिः	Бхупати, Махеш
बालगङगाधरतिलकः	Тилак, Бал Гангадхар
वि वि गिरि	Гири, Варахагири Венката
राबर्ट २	Роберт II (король Шотландии)
खान् अब्दुल् गफार् खान्	Абдул Гаффар-хан
गुरु गोविन्द सिंह	Сингх, Гобинд
तुलसीदासः	Тулсидас
गोपालकृष्ण गोखले	Гокхале, Гопал Кришна
भारतस्य राष्ट्रपतिः	Президент Индии
अनिलकपूरः	Капур, Анил
जगदीश चन्द्र बसु	Боше, Джагдиш Чандра
बिन्दुसारः	Биндусара
गुलजारीलाल नन्दा	Нанда, Гулзарилал
फखरुद्दीन अली अहमद	Ахмед, Фахруддин Али
इरावती	Рави (река)
सिलवासा	Силвасса
जिरोलावो फ्राकास्टोरो	Фракасторо, Джироламо
चौधरी चरणसिंह	Сингх, Чоудхари Чаран
जमशेदजी टाटा	Тата, Джамшеджи
देवानन्दः	Ананд, Дев
बीजपूरफलम्	Псидиум
अभिज्ञानशाकुन्तलम्	Абхиджняна-Шакунтала
अभिमन्युः	Абхиманью
अभिनवगुप्तः	Абхинавагупта
अश्वत्थवृक्षः	Дерево Бодхи
कोल्लम्	Коллам
मनुस्मृतिः	Ману-смрити
भारतरत्नम्	Бхарат Ратна
घृतम्	Гхи
भारतीयसंस्कृतिः	Культура Индии
सारनाथम्	Сарнатх
राकेश शर्मा	Шарма, Ракеш
होमी जहाँगीर भाभा	Баба, Хоми Джехангир
मावेन् अन्तरिक्षयानम्	Mars Atmosphere and Volatile Evolution
उत्पतनी	Батут
मत्स्यावतारः	Матсья
मेरी कोम्	Мэри Ком
वेदव्यासः	Вьяса
कोटा	Кота (Раджастхан)
मोरादाबाद्	Морадабад
भारतीयवायुसेना	Военно-воздушные силы Индии
भीमबेट्का-शिलाश्रयाः	Скальные жилища Бхимбетка
शङ्कर दयाल शर्मा	Шарма, Шанкар Даял
लूथर् बर्ब्याङ्क्	Бёрбанк, Лютер
भरतनाट्यम्	Бхаратанатьям
आर के नारायणन्	Нарайан Разипурам Кришнасвами
चन्द्रशेखरसिंह	Сингх, Чандра Шекхар
काजी नजरुल इसलाम	Кази Назрул Ислам
ज्ञानी जैल सिंह	Сингх, Заил
मसानबु फ़ुकोका	Масанобу Фукуока
जयदेव आचार्यः	Джаядева
भर्तृहरिः	Бхартрихари
मध्वाचार्यः	Мадхва
नीलं सञ्जीव रेड्डि	Редди, Нилам Санджива
गीर अभयारण्यम्	Гирский лес
एरण्डतैलम्	Касторовое масло
उत्तर २४ परगणामण्डलम्	Северные 24 парганы
नोबल पुरस्कार-विजेतानां सूची	Нобелевские премии по году вручения
जेम्स १	Яков I
औरङ्गाबाद	Аурангабад
भारतीयनौसेना	Военно-морские силы Индии
हिन्दुस्थानवैमानिकसंस्था (HAL)	Hindustan Aeronautics
आदिवासिनः	Адиваси
जरनैल सिंह भिण्डरांवाले	Джарнаил Сингх Биндранвал
माषः	Урд
गुरु अर्जुन दास	Гуру Арджан Дэв
अमरसिंहः	Амара Синха
गुरु अङ्गद देव	Ангад
महम्मद हामिद आन्सारि	Ансари, Мохаммад Хамид
रायपुर	Райпур
भारतीयदर्शनशास्त्रम्	Индийская философия
एरासिस्ट्राटस्	Эрасистрат
दिलीप कुमार	Дилип Кумар
भगत सिंह	Сингх, Бхагат
एच्. डी. देवे गौडा	Деве Говда, Хараданахалли Доддеговда
बङ्किमचन्द्र चट्टोपाध्याय	Бонкимчондро Чоттопаддхай
मेघनाद साहा	Саха, Мегнад
चक्रवर्ती राजगोपालाचारी	Чакраварти Раджгопалачария
उशीरसस्यम्	Ветивер
करौली	Караули
धर्मेन्द्र	Дхармендра
अजीम प्रेमजी	Премжи, Азим
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	Энергосбережение
कार्तिकेयः	Сканда
ध्यानचन्द	Дхиан Чанд
राजसर्षपः	Горчица чёрная
दुर्गा	Дурга
गीतगोविन्दम्	Гитаговинда
अग्निः	Агни
जेम्स २	Яков II (значения)
जाह्न	Джон (значения)
आगमः	Агамы
मार्गशीर्षमासः	Маргаширша
अहमदाबादमण्डलम्	Ахмадабад (округ)
अहमदनगरमण्डलम्	Ахмеднагар (округ)
मातारामराजवंशः	Матарам
कारगिलयुद्धम्	Каргильская война
अजमेरमण्डलम्	Аджмер (округ)
यवाग्रजः	Ажгон
अक्बरपुरम्, अम्बेडकरनगरम्	Акбарпур (Амбедкарнагар)
च्	Ча (орисская буква)
ग्	Гакар
सुशील कोइराला	Коирала, Сушил
खाद्यतैलम्	Растительное масло
रामनगरमण्डलम्	Раманагара (округ)
कारवेल्लम्	Момордика харанция
बळ्ळारीमण्डलम्	Беллари
पाटलः	Розовый цвет
उत्तरपूर्वदेहलीमण्डलम्	Северо-Восточный Дели
कृष्णजन्माष्टमी	Кришна-джанмаштами
काल्मेट् लियान् चारल्स् आल्बर्ट्	Кальмет, Альбер
अलवरमण्डलम्	Алвар (округ)
अमरनाथः	Амарнатх
अम्बाला	Амбала
अम्बेडकरनगरमण्डलम्	Амбедкарнагар
आमेर	Амбер (Индия)
बीदरनगरम्	Бидар
सोलन्	Солан
सायना नेहवाल	Нехвал, Саина
एनी बेसन्ट्	Безант, Анни
जयललिता	Джаялалита, Джаярам
आण्डाळ्	Андаль
विजयलक्ष्मी पण्डित	Пандит, Виджая Лакшми
अञ्जु बाबी जार्ज्	Бобби Джордж, Энжи
एम् एस् सुब्बुलक्ष्मी	Мадурай Санмукхавадиву Суббулакшми
माता अमृतानन्‍दमयी	Мата Амританандамайи
सुल्ताना ऱसीया	Разия-султан
मीराबाई	Мирабай
महादेवी वर्मा	Махадеви Варма
होय्सळवंशः	Хойсала
आसनम्	Асана
भारतीयलिपयः	Индийское письмо
गुरु हरकिशन	Гуру Хар Кришан
विजय् अमृतराज्	Амритрадж, Виджай
लाल कृष्ण आडवाणी	Адвани, Лал Кришна
अलि अक्बर् खान्	Хан, Али Акбар
साधुः तुकारामः	Тукарам
धीरूभाई अम्बाणी	Амбани, Дхирубхай
श्री श्री रविशङ्करः	Шри Шри Рави Шанкар
तानसेनः	Тансен Миян
भैरोंसिंह शेखावत	Шекхават, Бхайрон Сингх
सर् जेम्स् सिम्सन्	Симпсон, Джеймс Янг
विनायक दामोदर सावरकर	Саваркар, Винаяк Дамодар
एडवर्ड बालियोल	Эдуард (король Шотландии)
लवनीयम्	Кремовое яблоко
कार्तिकमासः	Картика
विवाहसंस्कारः	Виваха
कूर्मावतारः	Курма
भारतस्य संविधानम्	Конституция Индии
चार्वाकदर्शनम्	Локаята
गोमतीनदी	Гомати
कशेरुः	Позвоночник
लुईस नानी	Нани
मानवरहितविमानम्	Беспилотный летательный аппарат
मुहम्मद इकबाल	Икбал, Мухаммад
मुद्गः	Маш
औरङ्गजेबः	Аурангзеб
आणन्दमण्डलम्	Ананд (округ)
नद्यावली विस्तारः च	Список рек по длине
हुमायून्	Хумаюн
श्रीगङ्गानगरम्	Шри-Ганганагар
शक्तिदेवी	Деви
२०१४ एशिया क्रीडाः	Летние Азиатские игры 2014
छ्	Чхакар
है हे नदी	Хайхэ
हृषीकेशः	Ришикеш
अ	Ненапряжённый гласный среднего ряда нижнего подъёма
सन्तूर् (वाद्यम्)	Сантур
मानसवन्यजन्तुधाम	Манас (национальный парк, Индия)
ज्	Звонкий альвеолярный спирант
