ਅਫ਼ਰੀਕਾ	Африка
ਲਿਬਰੇਸ਼ਨ ਟਾਈਗਰਜ਼ ਆਫ਼ ਤਾਮਿਲ ਈਲਮ	Тигры освобождения Тамил-Илама
ਬੰਗਾਲ	Бенгалия
ਬਾਤਮਾਨ ਸੂਬਾ	Батман (ил)
ਬਾਰਾਨ	Дождь (фильм)
ਨੈਲੀ ਫਰਟਾਡੋ	Фуртадо, Нелли
ਅੱਨਾ ਅਖਮਾਤੋਵਾ	Ахматова, Анна Андреевна
ਮੀਰੋਸਲਾਵ ਕਲੋਜ਼	Клозе, Мирослав
ਨਿਓਲਾ	Мангустовые
ਪਟਨਾ	Патна
ਭਾਰਤੀ ਰੁਪਈਆ	Индийская рупия
ਵਾਨ	Ван (ил)
ਆਰਥਰ ਮਿਲਰ	Миллер, Артур
ਪਣ ਬਿਜਲੀ	Гидроэлектростанция
ਸਪੇਨੀ ਸਾਮਰਾਜ	Испанская империя
ਸਪੂਤਨਿਕ-1	Спутник-1
ਏਕੀਕ੍ਰਿਤ ਸਰਕਟ	Интегральная схема
ਨਿਊਕਲੀ ਭੱਠੀ	Ядерный реактор
ਪਰਲ ਐੱਸ. ਬੱਕ	Бак, Перл
ਤਰਾਸਦੀ	Трагедия (жанр)
ਐਪਰਲ ਫੂਲ ਡੇ	День смеха
ਬੰਗਾਲ ਟਾਈਗਰ	Бенгальский тигр
ਨਹਿਲਵਾਦ	Нигилизм
ਫ਼ਾਸ	Фес
ਭੋਪਾਲ	Бхопал
ਵਖਿਆਨ-ਕਲਾ	Риторика
ਮੋਂਤੇਰੇਈ	Монтеррей
ਜਲ ਚੱਕਰ	Круговорот воды в природе
ਹੋਮੀਓਪੈਥੀ	Гомеопатия
ਇੰਜੀਨੀਅਰ	Инженер
ਉੱਤਰ ਪੱਛਮੀ ਸਮੁੰਦਰੀ ਰਾਹ	Северо-Западный проход
ਪਾਲੀਮਰ	Полимеры
ਮਾਰਫ਼ੀਨ	Морфин
ਗੋਹ	Вараны
ਏ. ਟੀ. ਐੱਮ.	Банкомат
ਕਾਰਲ ਪੌਪਰ	Поппер, Карл Раймунд
ਇਸ਼ਾਰੀਆ	Десятичная система счисления
ਫ੍ਰੈਕਟਲ	Фрактал
ਅਲਕੀਨ	Алкены
ਮੇਜਦੂਨਾਰੋਦਨੀ ਯਾਜ਼ਿਕ	Первая книга (эсперанто)
ਵਾਲਟ ਵਿਟਮੈਨ	Уитмен, Уолт
ਐਲਡਸ ਹਕਸਲੇ	Хаксли, Олдос
ਸ਼ਾਮ (ਇਲਾਕਾ)	Левант
ਅਕਾਬਾ ਦੀ ਖਾੜੀ	Акаба (залив)
ਦਾ ਵਿੰਚੀ ਕੋਡ	Код да Винчи
ਮੂਰਾਸਾਕੀ ਸ਼ੀਕੀਬੂ	Мурасаки Сикибу
ਮਜੀਦ ਮਜੀਦੀ	Маджиди, Маджид
ਜੀਜ਼ਾ	Гиза
ਇਖ਼ਨਾਤੁਨ	Эхнатон
ਏ. ਐਫ. ਸੀ. ਅਜਾਕਸ	Аякс (футбольный клуб, Амстердам)
ਯੂਕਰੇਨੀ ਹਰੀਵਨਾ	Украинская гривна
ਜਿਬਰੀਲ	Архангел Гавриил
ਚੰਬੇਲੀ	Жасмин
ਜੌਨ ਕੀਟਸ	Китс, Джон
ਜਾਹਨ ਗਾਲਜ਼ਵਰਦੀ	Голсуорси, Джон
ਕਾ (ਸਿਰਿਲਿਕ)	К
ਫ਼ਰਾਮ ਪਣਜੋੜ	Пролив Фрама
ਸੈਮੂਅਲ ਟੇਲਰ ਕਾਲਰਿਜ	Кольридж, Сэмюэл Тейлор
ਪੇ (ਸਿਰਿਲਿਕ)	П
ਰਗੜ	Трение
ਈ (ਸਿਰਿਲਿਕ)	И
ਲਹੂ ਦਾ ਦਬਾਅ	Кровяное давление
ਖੜੀਆ ਮਿੱਟੀ	Гипс
ਇਰਾਨ-ਇਰਾਕ ਯੁੱਧ	Ирано-иракская война
ਰਿਡਾਕਸ	Окислительно-восстановительные реакции
ਸਟੇਡੀਓ ਸਨ ਪਾਓਲੋ	Сан-Паоло (стадион)
ਠੋਡੀ	Подбородок
ਕਾਂਜੀ (ਲਿੱਪੀ)	Кандзи
ਜੋਜ਼ਿਫ ਕੋਨਰਾਡ	Конрад, Джозеф
ਕੋਰਲ ਸਾਗਰ	Коралловое море
ਸੇਂਟ ਸਾਈਮਨ	Сен-Симон, Анри
ਕਾਤਾਕਾਨਾ	Катакана
ਸਿਆਸਤਦਾਨ	Политик
ਹਿੰਦਸਾ	Цифры
ਆਂਤੋਨੀਓ ਗਰਾਮਸ਼ੀ	Грамши, Антонио
ਖੁੰਭ	Гриб
ਜਨ ਗਣ ਮਨ	Гимн Индии
ਤਾਈਪੇ ੧੦੧	Тайбэй 101
ਰਸਾਇਣਕ ਫ਼ਾਰਮੂਲਾ	Химическая формула
ਪ੍ਰੋਮੀਥੀਅਸ	Прометей
ਅਫ਼ਰੀਕੀ ਨੈਸ਼ਨਲ ਕਾਂਗਰਸ	Африканский национальный конгресс
ਸ਼ਰੀਨਿਵਾਸ ਰਾਮਾਨੁਜਨ ਆਇੰਗਰ	Сриниваса Рамануджан Айенгор
ਈਸਟ ਇੰਡੀਆ ਕੰਪਨੀ	Британская Ост-Индская компания
ਜਾਇਫਲ	Мускатный орех
ਜਲਮੰਡਲ	Гидросфера
ਰੋਮੀਓ ਜੂਲੀਅਟ	Ромео и Джульетта
ਕੈਂਡੇਲਾ	Кандела
ਜੁਰਮ	Преступление
ਹਤਾਏ	Хатай (ил)
ਮੋਸਲ	Мосул
ਸ਼ੋਰੇ ਦਾ ਤਿਜ਼ਾਬ	Азотная кислота
ਗੁਰੂ ਨਾਨਕ ਦੇਵ	Нанак
ਪਾਮੇਲਾ ਐਂਡਰਸਨ	Андерсон, Памела
ਲੂਈ ਡ ਬਰੌਈ	Де Бройль, Луи
ਰੋਬਿਨ ਵਿਲੀਅਮਸ	Уильямс, Робин
ਬਾਰਤੀਨ ਸੂਬਾ	Бартын (ил)
ਓਰੀਗਾਮੀ	Оригами
ਅੰਗੂਠਾ	Большой палец
ਸ਼ਾਕਾਹਾਰ	Вегетарианство
ਐਲੀਨੌਰ ਰੂਜ਼ਵੈਲਟ	Рузвельт, Элеонора
ਸਪਾਰਟਾਕਸ	Спартак
ਅਵੈਸਤਾ	Авеста
ਮੇਗਾਡੇਥ	Megadeth
ਕੁੱਲੂ	Куллу
ਓਲਡ ਟਰੈਫ਼ਡ	Олд Траффорд
ਦ ਮੈਟਰਿਕਸ (ਫਿਲਮ)	Матрица (фильм)
ਬੁੱਧੀ	Интеллект
ਇਜ਼ਾਬੇਲ ਅਲੈਂਦੇ	Альенде, Исабель (писательница)
ਸਿੱਖ ਸਲਤਨਤ	Сикхское государство
ਸ਼ਾਹ ਜਹਾਂ	Шах-Джахан
ਸ਼ੇਰ ਸ਼ਾਹ ਸੂਰੀ	Шер-шах
ਸ਼ਿਮਲਾ	Шимла
ਅਲਕਸਬਾ ਆਲਮੇਰੀਆ	Алькасаба в Альмерии
ਅੱਲ੍ਹਾ ਦੇ ਨਾਮ	99 имён Аллаха
﻿ਸਾਸਾਨੀ ਸਲਤਨਤ	Государство Сасанидов
ਜਨਮ ਅਤੇ ਮੌਤ ਰਜਿਸਟਰੇਸ਼ਨ	Свидетельство о рождении
ਕੇਨਜ਼ੀ ਅਰਥਸ਼ਾਸਤਰ	Кейнсианство
ਹਾਂਸ ਕੈਲਜ਼ਨ	Кельзен, Ганс
ਫ਼ਰਿਟਜੋਫ਼ ਕਾਪਰਾ	Капра, Фритьоф
ਹੱਥਲਿਖਤ	Рукопись
ਅਫ਼ਰੀਕੀ ਮਹਾਨ ਝੀਲਾਂ	Великие Африканские озёра
ਖ਼ਪਤ ਸੱਭਿਆਚਾਰ	Потребительство
ਸ਼ਟੈਫ਼ਾਨ ਹੈੱਲ	Хелль, Штефан
ਚਾਂਗਚੁਨ	Чанчунь
ਜਿਲਿਨ	Гирин (город)
ਫਰਮਾ:Cite book	Шаблон:Cite book
ਐਲਿਸਜ਼ ਅਡਵੈਂਚਰਜ ਇਨ ਵੰਡਰਲੈਂਡ	Алиса в Стране чудес
ਸੁਭਾਸ਼ ਕਾਕ	Как, Субхаш
ਮਿਲਾਨ ਕੁੰਦਰਾ	Кундера, Милан
ਗਾਇਆ (ਮਿਥਹਾਸ)	Гея
ਸਲੋਕੀ ਸਲਤਨਤ	Государство Селевкидов
ਲੂਈ ਬਰੇਲ	Брайль, Луи
ਆਂਡਾ	Яйцо (пищевой продукт)
ਤਲਾਕ	Развод
ਬਾਲੀਵੁੱਡ	Болливуд
ਗੁਲ ਲਾਲਾ	Тюльпан
ਰਾਵਲਪਿੰਡੀ	Равалпинди
ਗਜਿਆਂਤੇਪ	Газиантеп
ਪਰਸੀ ਬਿਸ਼ ਸ਼ੈਲੇ	Шелли, Перси Биши
ਸੇਮਸ ਜਸਟਿਨ ਹੇਨੀ	Хини, Шеймас
ਕ੍ਰਿਸਟੋਫ਼ਰ ਪਾਓਲਿਨੀ	Паолини, Кристофер
ਨਗੌਰਨੋ-ਕਾਰਾਬਾਖ ਦਰਾਮ	Карабахский драм
ਭਾਰਤੀ ਖੇਤਰੀ ਜਹਾਜ਼ਰਾਨੀ ਉੱਪਗ੍ਰਹਿ ਪ੍ਰਬੰਧ	IRNSS
ਤੀਆਨਾਨਮੇਨ ਚੌਕ ਹੱਤਿਆਕਾਂਡ	События на площади Тяньаньмэнь (1989)
ਸੁਖੈਨ ਮੌਤ	Эвтаназия
ਪਰਿਭਾਸ਼ਾ	Определение (логика)
ਪ੍ਰੋਟੋਜ਼ੋਆ	Простейшие
ਰਾਸਤਾਫਾਰੀ ਲਹਿਰ	Растафарианство
ਐਸਟਰ	Сложные эфиры
ਐਲਡੀਹਾਈਡ	Альдегиды
ਮਰਾਕਿਸ਼	Марракеш
ਮੇਰੀ ਵੁਲਸਟਨਕਰਾਫ਼ਟ	Уолстонкрафт, Мэри
ਨਦੀਨ	Сорные растения
ਪਾਵੋ ਨੂਰਮੀ	Нурми, Пааво
ਬੌਖ਼ੂਸੀਆ ਮੋਨਛੇਨਗਲਾਡਬਾਛ	Боруссия (футбольный клуб, Мёнхенгладбах)
ਅਪਾਚੀ	Апачи
ਨਿਊਕਲੀਆਨ	Нуклон
ਵਗਣਹਾਰ	Флюид (физика)
ਅਬਾਜ਼ਾ	Абаза (город)
ਰਸਾਇਣਕ ਸੰਕੇਤ	Символы химических элементов
ਹੈਰੀਅਟ ਬੀਚਰ ਸਟੋ	Бичер-Стоу, Гарриет
ਆਡੀਗੇਸਕ	Адыгейск
ਅਲੇਸਕ	Алейск
ਦੋ-ਅੱਖੀ ਦੂਰਬੀਨ	Бинокль
ਅਬਦੂਲੀਨੋ	Абдулино
ਹੈਰਤਾ ਬਰਲਿਨ	Герта (футбольный клуб, Берлин)
ਆਗੀਡੇਲ	Агидель
ਆਗ੍ਰੀਜ਼	Агрыз
ਰੱਸਾਕਸ਼ੀ	Перетягивание каната
ਮਧੂ ਮੱਖੀ	Медоносные пчёлы
ਐਵਾਂ ਗਾਰਦ	Авангард (искусство)
ਮੀਸ਼ੇਲ ਵੇਲਬੇਕ	Уэльбек, Мишель
ਅਕ-ਡੋਵੂਰਾਕ	Ак-Довурак
ਅਕਸੈ	Аксай (Ростовская область)
ਸਾਰਸ (ਰੋਗ)	Тяжёлый острый респираторный синдром
ਅਲਾਗਿਰ	Алагир
ਅਲਾਪਾਏਵਸਕ	Алапаевск
ਈਥਰ	Простые эфиры
ਅਲਾਟਿਰ	Алатырь
ਅਲਦਾਨ	Алдан (город)
ਖ਼ੋਸੇ ਮਾਰਤੀ	Марти, Хосе
ਜੈਨੀਫ਼ਰ ਕੌਨਲੀ	Коннелли, Дженнифер
ਭੌਂ-ਗੁਲਾਮੀ	Крепостное право
ਅਲੈਗਜ਼ੈਂਡਰੋਵ	Александров (город)
ਐਲੈਗਜ਼ੈਂਡ੍ਰੋਵਸਕ	Александровск (Пермский край)
ਐਲੈਗਜ਼ੈਂਡ੍ਰੋਵਸਕ-ਸਾਖਾਲਿੰਸਕੀ	Александровск-Сахалинский
ਅਲੈਗਜ਼ੈਵਕਾ, ਬੈਲਗੋਰੋਡ	Алексеевка (город, Белгородская область)
ਅਲੇਕਸਿਨ	Алексин (город)
ਅਲਜ਼ਾਮੇ	Алзамай
2001: ਅ ਸਪੇਸ ਓਡੀਸੀ (ਫ਼ਿਲਮ)	Космическая одиссея 2001 года
ਅਲੇਮੇਤਯੇਵਸਕ	Альметьевск
ਅਮੁਰਸਕ	Амурск
ਅੰਗਾਰਸਕ	Ангарск
ਐਂਡ੍ਰੀਪੋਲ	Андреаполь
ਪੰਡਿਤ ਰਵੀ ਸ਼ੰਕਰ	Шанкар, Рави
ਮੂਲ ਨਿਵਾਸੀ	Коренные народы
ਅਖਤੂਬਿੰਸਕ	Ахтубинск
ਅਕਿੰਸਕ	Ачинск
ਯੂਕੋਨ ਦਰਿਆ	Юкон (река)
ਪੂਰਨਮਾਸ਼ੀ	Полнолуние
ਬਾਈਆ ਲੇਵਾਕੂਜ਼ਨ	Байер 04 (футбольный клуб)
੧. ਫੁੱਟਬਾਲ ਕਲੱਬ ਕਲਨ	Кёльн (футбольный клуб)
ਪ੍ਰਕਾਸ਼ ਤੀਬਰਤਾ	Сила света
ਮੁੱਢਲਾ ਮੇਲ-ਜੋਲ	Фундаментальные взаимодействия
ਬਿਹਤਰੀਨ ਵਿਦੇਸ਼ੀ ਭਾਸ਼ਾ ਫ਼ਿਲਮ ਲਈ ਅਕਾਦਮੀ ਇਨਾਮ	Премия «Оскар» за лучший фильм на иностранном языке
ਹੁੱਕਾ	Кальян
ਬਾਇਰ ਨਾਮ	Обозначения Байера
ਲੇਡੀ ਗੌਡੀਵਾ	Леди Годива
ਉੱਤਰੀ ਕੋਰੀਆਈ ਵੌਨ	Северокорейская вона
ਮਾਂਗਨਸ ਕਾਸਨ	Карлсен, Магнус
ਵੀਰ-ਜ਼ਾਰਾ	Вир и Зара
ਯੂਰੇਨੀਅਮ-ਪਾਰ ਤੱਤ	Трансурановые элементы
ਮਿਰਜ਼ਾ ਗ਼ਾਲਿਬ	Галиб, Мирза Асадулла-хан
ਰਾਜੇਸ਼ ਖੰਨਾ	Кханна, Раджеш
ਪਟਸਨ	Джут (волокно)
ਅਧਰੰਗ	Паралич
ਸੂਬਾ	Штат
ਹਰਗੋਬਿੰਦ ਖੁਰਾਣਾ	Корана, Хар Гобинд
ਭੌਤਿਕ ਮਾਤਰਾ	Физическая величина
ਵਾਲਮੀਰਾ	Валмиера
ਕੁੰਦੂਜ਼	Кундуз (город)
ਸਪਾਰਟਾਕਸ (ਫ਼ਿਲਮ)	Спартак (фильм, 1960)
ਤੀਰਅੰਦਾਜ਼ੀ	Стрельба из лука
ਏ. ਆਰ. ਰਹਿਮਾਨ	Рахман, Алла Ракха
ਦ ਗ੍ਰੇਟ ਡਿਕਟੇਟਰ	Великий диктатор
ਦੋਗਾਣਾ	Дуэт
ਟਾਪੂ ਦੇਸ਼	Островное государство
ਹੁਸੈਨ	Хусейн ибн Али
ਮੈਕਸੀਕੋ ਦੇ ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ	Административное деление Мексики
ਕਾਮਦੇਵ	Кама (бог)
ਰਾਧਾ	Радха
ਵਿੱਤੀ ਸੰਕਟ	Финансовый кризис
ਇੰਸਟੀਟਿਊਟ ਡੇ ਡ੍ਰੌਇਟ ਇੰਟਰਨੈਸ਼ਨਲ	Институт международного права
ਹਜ਼ਾਰਾ ਲੋਕ	Хазарейцы
ਸਿਲੀਕਾਨ ਡਾਈਆਕਸਾਈਡ	Диоксид кремния
ਦਾ ਟਵਾਈਲਾਈਟ ਸਾਗਾ: ਨਿਊ ਮੂਨ (ਫ਼ਿਲਮ)	Сумерки. Сага. Новолуние
ਹੋਪੀ	Хопи (народ)
ਨਾਥ	Натха
ਸਿੱਕਰੀ	Перхоть
ਮਾਦੀਰਾ ਦਰਿਆ	Мадейра (река)
ਮੌਤ ਦੀ ਘਾਟੀ	Долина Смерти
ਆਰਕਾਈਵ	ArXiv.org
ਕਾਲਾ ਦਰਿਆ (ਐਮਾਜ਼ਾਨ)	Риу-Негру (река)
ਹਾਵਰਡ ਜਿਨ	Зинн, Говард
ਪੀਐਰੇ ਫ਼ਲੋਟ	Флоте, Пьер
ਸੂਰਜੀ ਭਾਂਬੜ	Солнечная вспышка
ਪੁਸ਼ਯਮਿਤਰ ਸ਼ੁੰਗ	Пушьямитра Шунга
ਗੈਸਟ੍ਰੋਐਂਟਰਾਲੋਜੀ	Гастроэнтерология
ਪੇਰਮੇਤ ਜਿਲਾ	Пермети
ਬਲਖ਼ ਸੂਬਾ	Балх (провинция)
ਮਸ਼ਹਦ	Мешхед
ਨਰਸਿੰਗ	Сестринское дело
ਪਾਕਪਤਨ ਜ਼ਿਲਾ	Пакпаттан (округ)
ਕ੍ਰਿਸ਼ਨ ਦੇਵ ਰਾਏ	Кришнадеварайя Тулува
ਬੁਨਿਆਦੀ ਢਾਂਚਾ	Инфраструктура
ਜੇਹਲਮ	Джелам (город)
ਪ੍ਰੋਫੈਸਰ	Профессор
ਸਹਿਜੀਵਨ	Симбиоз
ਫ਼ਰਾਂਸੀਸੀ ਲੋਕ	Французы
ਈਰੋਸ	Эрот
ਖੁਲੀਓ ਈਗਲੇਸੀਆਸ	Иглесиас, Хулио
ਏਲੀ ਡੂਕੌਮੁਨ	Дюкоммен, Эли
ਰੋਬਿਨ ਹੁੱਡ	Робин Гуд
ਜ਼ਾਈਲਮ	Ксилема
ਸਵੀਡਨੀ ਕਰੋਨਾ	Шведская крона
ਕੈਰੋ ਰੋਡ	Карроу Роуд
ਫ਼ੈਲਿਕਸ ਬਲੋਕ	Блох, Феликс
ਹੁਲਦਰਿਚ ਜ਼ਵਿੰਗਲੀ	Цвингли, Ульрих
ਮੁਹੰਮਦ ਮੁਸੱਦਕ	Мосаддык, Мохаммед
ਜੌਂ ਪੀਆਜੇ	Пиаже, Жан
ਪੋਲੈਂਡੀ ਜ਼ਵੋਤੀ	Польский злотый
ਫਰਾਂਸਿਸ ਕ੍ਰਿਕ	Крик, Фрэнсис
ਕੂਕੇਸ ਜ਼ਿਲਾ	Кукес (округ)
ਰਿਪਬਲਿਕ (ਪਲੈਟੋ)	Государство (Платон)
ਕੁਲੀਨਰਾਜ	Аристократия
ਕਾਢ	Изобретение (право)
ਕੂਰਬਿਨ ਜ਼ਿਲਾ	Курбин (округ)
ਤਰੋਪੋਜੇ ਜ਼ਿਲਾ	Тропоя (округ)
ਐਮੀ ਇਨਾਮ	Эмми
ਮੁਗਲਾ ਸੂਬਾ	Мугла (ил)
ਸਟੈੱਪ	Степь
ਜ਼ਕਾਤ	Закят
ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼ ਦੇ ਜ਼ਿਲੇ	Список округов Химачал-Прадеш
ਸਾਪੇਖ ਕਾਂਤੀਮਾਨ	Видимая звёздная величина
ਗੰਡੋਇਆ ਖਾਦ	Земляные черви
ਧਰਤੀ ਦਿਵਸ	День Земли
ਹਿੰਸਾ	Насилие
ਤੀਖ਼ਵਾਨਾ	Тихуана
ਸਲੰਮਡਾਗ ਮਿਲਿਓਨੀਅਰ	Миллионер из трущоб
ਵਿਕਤੋਰ ਖਾਰਾ	Хара, Виктор
ਐਡਵਰਡ ਝੀਲ	Эдуард (озеро)
ਪੁਐਬਲਾ, ਪੁਐਬਲਾ	Пуэбла-де-Сарагоса
ਇਗਦੀਰ ਸੂਬਾ	Ыгдыр (ил)
ਗਿੱਦੜ	Шакалы
ਐਲਬਰਟ ਝੀਲ (ਅਫ਼ਰੀਕਾ)	Альберт (озеро)
ਕੀਵੂ ਝੀਲ	Киву (озеро)
ਪੌਣਪਾਣੀ ਤਬਦੀਲੀ	Изменение климата
ਅਲਬਾਨੀਆਈ ਲੇਕ	Албанский лек
ਪੈਂਡਾ	Расстояние
ਇਰਾਨੀ ਇਨਕਲਾਬ	Исламская революция в Иране
ਵੁਲਵਰਹੈਂਪਟਨ	Вулвергемптон
ਕੋਬਾਨੀ	Айн-эль-Араб
ਥਾਮਸ ਪੇਨ	Пейн, Томас
ਵਿਸ਼ਵ ਬੈਡਮਿੰਟਨ ਫੈਡਰੇਸ਼ਨ	Всемирная федерация бадминтона
ਪਾਸਾਰਰਹਿਤ ਮਾਤਰਾ	Безразмерная величина
ਕਾਨੂੰਨ ਦਾ ਦਰਸ਼ਨ	Философия права
ਮਿਨਰਵਾ	Минерва
ਕਾਰਸ	Карс
ਕੈ	Рвота
ਲੋਲਿਤਾ	Лолита (роман)
ਫ਼ਰੈਂਕ ਜ਼ਾਪਾ	Заппа, Фрэнк
ਸ਼ਾਰਲਟ ਬਰੌਂਟੇ	Бронте, Шарлотта
ਬਹਾਦੁਰ ਸ਼ਾਹ ਜ਼ਫ਼ਰ	Бахадур Шах II
ਆਲੀਆਂਜ਼ ਖ਼ੀਵੀਏਖ਼ਾ	Альянц Ривьера
ਸਿਆਹੀ	Чернила
ਆਲੀਆਂਸ ਆਰੇਨਾ	Альянц Арена
ਵੈਕਿਊਲ	Вакуоль
ਮੋਤੀਆਬਿੰਦ	Катаракта
ਅਮਰੀਕਾ ਦੀ ਆਜ਼ਾਦੀ ਦੀ ਘੋਸ਼ਣਾ	Декларация независимости США
ਸਹਿਯੋਜਕੀ ਜੋੜ	Ковалентная связь
ਆਤਿਸ਼ਬਾਜ਼ੀ	Фейерверк
ਸੂਖਮ ਛੱਲ	Микроволновое излучение
ਜਿਓਰਜਿਓ ਵਾਸਾਰੀ	Вазари, Джорджо
ਅਮੂਰਤ ਕਲਾ	Абстракционизм
ਲੇਵੀ ਸਤਰੋਸ	Леви-Стросс, Клод
ਸਰਬ ਅਧਿਕਾਰਵਾਦ	Тоталитаризм
ਕਿਊਬਾਈ ਮਿਜ਼ਾਈਲ ਸੰਕਟ	Карибский кризис
ਅਗਾਮੈਮਨੌਨ	Агамемнон
ਮੁਹੰਮਦ ਰਜ਼ਾ ਪਹਿਲਵੀ	Мохаммед Реза Пехлеви
ਐੱਫ਼. ਸੀ. ਪੋਰਤੋ	Порту (футбольный клуб)
ਛਾਰਲ ਪੇਰੋ	Перро, Шарль
ਵੈਂਬਲੀ ਸਟੇਡੀਅਮ	Уэмбли (стадион)
ਗ੍ਰਾਹਮ ਗ੍ਰੀਨ	Грин, Грэм
ਛਾਤੀ ਦਾ ਕੈਂਸਰ	Рак молочной железы
ਲੇਸ	Вязкость
ਵਿਅੰਗ	Сатира
ਸਟਾਨਿਸਲਾਓ ਕੈਨਿਜਾਰੋ	Канниццаро, Станислао
ਅਰਾਫ਼ੁਰਾ ਸਮੁੰਦਰ	Арафурское море
ਦੇਲੀ ਬਲਿੰਦ	Блинд, Дейли
ਬਾਇਓ ਬਾਲਣ	Биотопливо
ਭੁਪਾਲ ਗੈਸ ਕਾਂਡ	Бхопальская катастрофа
ਭਾਰਤ ਦੀ ਵੰਡ	Раздел Британской Индии
ਮਿਥੁਨ	Близнецы (знак зодиака)
ਲਾਰਵਾ	Личинка
ਬਰਤਾਨਵੀ ਰਾਜ	Британская Индия
ਹੀਊ ਜੈਕਮੈਨ	Джекман, Хью
ਹਰਟ ਆਫ਼ ਡਾਰਕਨੈਸ	Сердце тьмы
ਕੌਮੀ ਜਮਹੂਰੀ ਗਠਜੋੜ	Национально-демократический альянс (Индия)
ਭਾਰਤ ਦਾ ਪਹਿਲਾ ਆਜ਼ਾਦੀ ਸੰਗਰਾਮ	Восстание сипаев
ਅਤਲਸ ਪਹਾੜ	Атлас (горы)
ਲੰਡਨ ਬ੍ਰਿਜ	Лондонский мост
ਮੈਕਬਥ	Макбет (пьеса)
ਬਾਰਟੋਲੋਮੀਉ ਡਿਆਸ	Диаш, Бартоломеу
ਮਜ਼ਾਰ-ਏ-ਸ਼ਰੀਫ਼	Мазари-Шариф
ਅਰਮੀਨੀਆਈ ਦਰਾਮ	Армянский драм
ਲਕਸਰ	Луксор
ਹੀਅਰੋਨੀਮਸ ਬੌਸ਼	Босх, Иероним
ਜਾਕ ਦੇਰੀਦਾ	Деррида, Жак
ਜਿਬਰਾਲਟਰ ਕਰਾਨਿਕਲ	Gibraltar Chronicle
ਜਿਬਰਾਲਟਰ ਅਜਾਇਬ-ਘਰ	Гибралтарский музей
ਬੀਂਡਾ	Певчие цикады
ਡੀਜੇ	Диджей
ਮਾਨਾਕੇਮ ਬੇਗਿਨ	Бегин, Менахем
ਈਡੀਪਸ	Эдип
ਗਲਫ਼ ਸਟ੍ਰੀਮ	Гольфстрим
ਡੇਲੀਆ	Георгина
ਓਕੈਮ ਦਾ ਪਤੱਰਾ	Бритва Оккама
ਪ੍ਰਤੱਖਵਾਦ	Позитивизм
ਚੈੱਕ ਕੋਰੂਨਾ	Чешская крона
ਪਾਲ ਕਰੂਗਮੈਨ	Кругман, Пол
ਐਨਾ ਕੋਰਨੀਕੋਵਾ	Курникова, Анна Сергеевна
ਹੈਨਰੀ ਡੇਵਿਡ ਥੋਰੋ	Торо, Генри Дэвид
ਵੈਲਡਿੰਗ	Сварка
ਕੈਬਰੇ	Кабаре
ਪ੍ਰੋਪੇਨ	Пропан
ਹਰਡ ਟਾਪੂ ਅਤੇ ਮੈਕਡਾਨਲਡ ਟਾਪੂ	Остров Херд и острова Макдональд
ਪਾਏਦਾਰ ਵਿਕਾਸ	Устойчивое развитие
ਥਾਈਲੈਂਡ ਦੀ ਖਾੜੀ	Сиамский залив
ਦੱਖਣੀ ਤਰਾਵਾ	Южная Тарава
ਕਾਰਲ ਲੂਈਸ	Льюис, Карл
ਸ਼ਿਕਾਗੋ ਯੂਨੀਵਰਸਿਟੀ	Чикагский университет
ਬੌਧਿਕ ਸੰਪਤੀ	Интеллектуальная собственность
ਬੋਫ਼ੋਰ ਸਮੁੰਦਰ	Море Бофорта
ਰਵਾਂਡਾਈ ਨਸਲਕੁਸ਼ੀ	Геноцид в Руанде
ਹਿਮਸ	Хомс
ਇਜ਼ਰਾਇਲੀ ਨਵਾਂ ਸ਼ੇਕਲ	Новый израильский шекель
ਜਾਰਜ ਐਲੀਅਟ	Элиот, Джордж
ਪੰਡੋਰਾ	Пандора
ਨਿਸ਼ਾਪੁਰ	Нишапур
ਜ਼ੁਲਫਿਕਾਰ ਅਲੀ ਭੁੱਟੋ	Бхутто, Зульфикар Али
ਨਮੀਬ ਮਾਰੂਥਲ	Намиб
ਮੁਸ ਪ੍ਰਾਂਤ	Муш (ил)
ਸੰਵਾਦ	Диалог
ਖ਼ਿਲਾਫ਼ਤ	Халифат
ਤਿਮੋਰ ਸਮੁੰਦਰ	Тиморское море
ਲਕਸ਼ਮੀ	Лакшми
ਆਈਸਲੈਂਡੀ ਕਰੋਨਾ	Исландская крона
ਸਿਰਨਾਕ	Ширнак
ਐੱਸ. ਐੱਲ. ਬੇਨਫ਼ੀਕਾ	Бенфика (футбольный клуб, Лиссабон)
ਕਿਸਾਨ	Фермер
ਬਾਲ ਸਾਹਿਤ	Детская литература
ਭਾਰਤੀ ਸੂਬੇ ਅਤੇ ਕੇਂਦਰੀ ਸ਼ਾਸ਼ਤ ਪ੍ਰਦੇਸ	Штаты и территории Индии
ਸੁਲ੍ਹਾਨਾਮਾ	Международный договор
ਪੋਸਤ	Мак опийный
ਰੋਮਾਨੀਆਈ ਲਿਊ	Румынский лей
ਧਨਾਢਰਾਜ	Плутократия
ਦ ਪ੍ਰਿੰਸ	Государь (Макиавелли)
ਬਿਟਕੌਇਨ	Биткойн
ਹੈਪਾਟਾਈਟਸ	Гепатит
