Afrik	Африка
Joan Fuster	Фусте, Жуан
Julii Khariton	Харитон, Юлий Борисович
Richard Hunt	Хант, Ричард
Jorgen Leth	Лет, Йорген
Martial Celestin	Селестен, Мартиаль
108 (menm non)	108 (значения)
311 (menm non)	311 (значения)
125 (menm non)	125 (значения)
Annandale, Minnesota	Аннандейл (город, Миннесота)
977 (menm non)	977 (значения)
Albolote (Grenad)	Альболоте
Anoka, Minnesota	Анока (город, Миннесота)
Clear Lake, Minnesota	Клир-Лейк (город, Миннесота)
Sam Treiman	Трейман, Сэм
Bozeman, Montana	Бозмен (Монтана)
Springfield, New York	Спрингфилд (Нью-Йорк)
Plenn abisal	Абиссальная равнина
Nikolai Chebotaryov	Чеботарёв, Николай Григорьевич
Lakewood, Ohio	Лейквуд (Огайо)
Pierre Girard	Жирар, Пьер Симон
249 (nonm)	249 (число)
627 (nonm)	627 (число)
Antequera (Málaga)	Антекера
Lamar, Missouri	Ламар (Миссури)
218 (nonm)	218 (число)
Jakow Trachtenberg	Трахтенберг, Яков
318 (nonm)	318 (число)
Desert Hot Springs, Kalifòni	Дезерт-Хот-Спрингс
Greenville, Kawolin disid	Гринвилл (Южная Каролина)
Gor (Grenad)	Гор (Гранада)
Yves Meyer	Мейер, Ив (математик)
Paul-Andre Meyer	Мейер, Поль Андре
Gury Marchuk	Марчук, Гурий Иванович
Allenbach	Алленбах
New Braunfels, Texas	Нью-Браунфелс
Felice Casorati	Казорати, Феличе
Don Zagier	Цагир, Дон
Ernest Esclangon	Эклангон, Эрнест
Pierre Cartier	Картье, Пьер
Winnebago, Minnesota	Уиннебейго (город, Миннесота)
Marengo, Ilinwa	Маренго (Иллинойс)
Henry, Ilinwa	Генри (Иллинойс)
Madison, Ilinwa	Мэдисон (Иллинойс)
Normal, Ilinwa	Нормал (Иллинойс)
Huéscar (Grenad)	Уэскар
Quincy, Ilinwa	Куинси (Иллинойс)
Nauvoo, Ilinwa	Нову (Иллинойс)
Ottawa, Ilinwa	Оттава (Иллинойс)
Harrisburg, Ilinwa	Гаррисберг (Иллинойс)
Park Ridge, Ilinwa	Парк-Ридж (Иллинойс)
Highland Park, Ilinwa	Хайленд-Парк (Иллинойс)
Vélez-Blanco (Almería)	Велес-Бланко
Browerville, Minnesota	Броуэрвилл (город, Миннесота)
Brookport, Ilinwa	Брукпорт
Flora, Ilinwa	Флора (Иллинойс)
Danville, Ilinwa	Данвилл (Иллинойс)
Carbondale, Ilinwa	Карбондейл (Иллинойс)
Trévago	Треваго
Ponm zikak	Икако
Bloomington, Ilinwa	Блумингтон (Иллинойс)
Rock Island, Ilinwa	Рок-Айленд (Иллинойс)
East Saint Louis, Ilinwa	Ист-Сент-Луис
Elmdale, Minnesota	Элмдейл (город, Миннесота)
Berwyn, Ilinwa	Беруин (Иллинойс)
Molvízar (Grenad)	Мольвисар
889 (nonm)	889 (число)
Waukegan, Ilinwa	Уокиган (Иллинойс)
Nwazèt	Лесной орех
Kankakee, Ilinwa	Канкаки (Иллинойс)
190 (nonm)	190 (число)
Fort Bragg, Kalifòni	Форт-Брэгг (Калифорния)
Keewatin, Minnesota	Киватин (Миннесота)
Zòn fotik	Эвфотическая зона
Abingdon, Ilinwa	Абингдон (Иллинойс)
Moline, Ilinwa	Молин (Иллинойс)
Thornton, Kolorado	Торнтон (Колорадо)
540 (nonm)	540 (число)
560 (nonm)	560 (число)
548 (nonm)	548 (число)
550 (nonm)	550 (число)
570 (nonm)	570 (число)
564 (nonm)	564 (число)
580 (nonm)	580 (число)
520 (nonm)	520 (число)
546 (nonm)	546 (число)
567 (nonm)	567 (число)
636 (nonm)	636 (число)
558 (nonm)	558 (число)
612 (nonm)	612 (число)
Burlington, Iowa	Берлингтон (Айова)
761 (nonm)	761 (число)
Madison, Georgie	Мэдисон (Джорджия)
DeKalb, Ilinwa	Де-Калб (Иллинойс)
888 (nonm)	888 (число)
Marchal (Grenad)	Марчаль
Belgrade, Minnesota	Белград (город, Миннесота)
Franklin, Minnesota	Франклин (город, Миннесота)
Bradenton, Florid	Брейдентон
Cedar Falls, Iowa	Сидар-Фолс
542 (nonm)	542 (число)
Kwasans eksponansyèl	Экспоненциальный рост
Lentejí (Grenad)	Лентехи (Испания)
Alhama de Almería (Almería)	Алама-де-Альмерия
La Malahá (Grenad)	Ла-Малаа
Maracena (Grenad)	Марасена
Louisburg, Minnesota	Луисберг (город, Миннесота)
Robert Axelrod	Аксельрод, Роберт
Leyogàn (komin)	Леоган
Stewartville, Minnesota	Стьюартвилл (город, Миннесота)
Kissimmee, Florid	Киссимми
71 (nonm)	71 (число)
Antoine Parent	Паран, Антуан
Haileyville, Oklahoma	Хейливилл
28 (nonm)	28 (число)
Baños de la Encina (Jaén)	Баньос-де-ла-Энсина
986 (nonm)	986 (число)
Union City, New Jersey	Юнион-Сити (Нью-Джерси)
Tybee Island, Georgie	Тайби-Айленд (Джорджия)
Livingston, New Jersey	Ливингстон (Нью-Джерси)
Findlay, Ohio	Финдли (Огайо)
Browns Valley, Minnesota	Браунс-Валли (город, Миннесота)
152 (nonm)	152 (число)
Arvada, Kolorado	Арвада (Колорадо)
Akeley, Minnesota	Эйкли (город, Миннесота)
Wou nan aks	Ворот
Boris Yakovych Bukreyev	Букреев, Борис Яковлевич
59 (nonm)	59 (число)
Montejícar (Grenad)	Монтехикар
Montefrío (Grenad)	Монтефрио
Morelábor (Grenad)	Морелабор
62 (nonm)	62 (число)
La Vega	Ла-Вега (провинция)
Kwomozòm seksyèl	Определение пола
Washington, Pennsilvani	Вашингтон (Пенсильвания)
95 (nonm)	95 (число)
Georges Sagnac	Саньяк, Жорж
Round Lake, Minnesota	Раунд-Лейк (город, Миннесота)
Alcudia de Monteagud (Almería)	Алькудия-де-Монтеагуд
Louis Nirenberg	Ниренберг, Луис
645 (nonm)	645 (число)
Simetri bilateral	Симметрия (биология)
Madison, Connecticut	Мэдисон (Коннектикут)
Dévanos	Деванос
Boonton, New Jersey	Бунтон
Troy, New York	Трой (Нью-Йорк)
38 (nonm)	38 (число)
Negòs	Торговля
75 (nonm)	75 (число)
Ambler (Alaska)	Амблер (Аляска)
Pequot Lakes, Minnesota	Пеквот-Лейкс (город, Миннесота)
Riverton, Wyoming	Ривертон (Вайоминг)
802 (nonm)	802 (число)
Francesco Faà di Bruno	Фаа-ди-Бруно, Франческо
109 (nonm)	109 (число)
Pampaneira (Grenad)	Пампанейра
Nevada (Grenad)	Невада (Гранада)
Otívar (Grenad)	Отивар
Orce (Grenad)	Орсе
Otura (Grenad)	Отура
San Ramon, Kalifòni	Сан-Рамон (Калифорния)
Nigüelas (Grenad)	Нигуэлас
103 (nonm)	103 (число)
465 (nonm)	465 (число)
Nòdwès	Северо-Западный департамент Гаити
Morón de la Frontera (Seville)	Морон-де-ла-Фронтера
Lorain, Ohio	Лорейн
199 (nonm)	199 (число)
Pedro-Martínez (Grenad)	Педро-Мартинес
Polícar (Grenad)	Поликар
201 (nonm)	201 (число)
Wabasha, Minnesota	Уабаша (город, Миннесота)
793 (nonm)	793 (число)
758 (nonm)	758 (число)
Bédar (Almería)	Бедар
989 (nonm)	989 (число)
Santa Cruz del Comercio (Grenad)	Санта-Крус-дель-Комерсио
Sorvilán (Grenad)	Сорвилан
Soportújar (Grenad)	Сопортухар
Salar (Grenad)	Салар (Гранада)
Puebla de Don Fadrique (Grenad)	Пуэбла-де-Дон-Фадрике
Skagway (Alaska)	Скагуэй
Dumont, Minnesota	Думонт (город, Миннесота)
911 (nonm)	911 (число)
Grygla, Minnesota	Григла (город, Миннесота)
883 (nonm)	883 (число)
Palestine, Texas	Палестин (Техас)
Valle del Zalabí (Grenad)	Валье-дель-Салаби
262 (nonm)	262 (число)
Torvizcón (Grenad)	Торвискон
Turón (Grenad)	Турон
Vegas del Genil (Grenad)	Вегас-дель-Хениль
Trevélez (Grenad)	Тревелес
La Tahá (Grenad)	Ла-Таа
Válor (Grenad)	Валор
Torre-Cardela (Grenad)	Торре-Кардела
Zòn afotik	Афотическая зона
Villanueva de las Torres (Grenad)	Вильянуэва-де-лас-Торрес
Villanueva Mesía (Grenad)	Вильянуэва-Месия
Vélez de Benaudalla (Grenad)	Велес-де-Бенаудалья
Aleksandr Korkin	Коркин, Александр Николаевич
Alexander Esenin-Volpin	Есенин-Вольпин, Александр Сергеевич
Apple Valley, Minnesota	Эпл-Вэлли (Миннесота)
Inglewood, Kalifòni	Инглвуд (Калифорния)
Palos de la Frontera (Huelva)	Палос-де-ла-Фронтера
Nampa, Idaho	Нампа
Powozite	Пористость
Kalkilasyon	Вычисление
Ólvega	Ольвега
Anprent	Запечатление
Aracena (Huelva)	Арасена
Pannèm	Арракача
Hardwick, Minnesota	Хардвик (город, Миннесота)
45 (nonm)	45 (число)
807 (nonm)	807 (число)
Calabasas, Kalifòni	Калабасас
Lake Park, Florid	Лейк-Парк (Флорида)
Manzanilla (Huelva)	Мансанилья
Lubrín (Almería)	Лубрин
869 (nonm)	869 (число)
Elkton, Minnesota	Элктон (город, Миннесота)
533 (nonm)	533 (число)
760 (nonm)	760 (число)
Lè (jewoloji)	Геологическая эра
Hayward, Minnesota	Хейвард (город, Миннесота)
Norwich, Connecticut	Норидж (Коннектикут)
San Rafael, Kalifòni	Сан-Рафел (Калифорния)
245 (nonm)	245 (число)
Francesco Severi	Севери, Франческо
Claude Chevalley	Шевалле, Клод
Ominide	Гоминиды
Orono, Minnesota	Ороно (город, Миннесота)
Thief River Falls, Minnesota	Тиф-Ривер-Фолс (город, Миннесота)
Rene de Possel	Рене де Поссель
821 (nonm)	821 (число)
Rosenberg, Texas	Розенберг (Техас)
292 (nonm)	292 (число)
Alcalá la Real (Jaén)	Алькала-ла-Реаль
Lakeland, Florid	Лейкленд (Флорида)
Simenkontra	Dysphania ambrosioides
617 (nonm)	617 (число)
West Concord, Minnesota	Уэст-Конкорд (город, Миннесота)
599 (nonm)	599 (число)
468 (nonm)	468 (число)
Bellevue, Nebraska	Белвью (Небраска)
Westport, Minnesota	Уэстпорт (город, Миннесота)
Depatman	Департамент (административно-территориальная единица)
Villanueva del Rosario (Málaga)	Вильянуэва-дель-Росарио
Yuri Valentinovich Nesterenko	Нестеренко, Юрий Валентинович
150 (nonm)	150 (число)
Malcolm Williamson	Уильямсон, Малколм
65 (nonm)	65 (число)
174 (nonm)	174 (число)
210 (nonm)	210 (число)
Dodge City, Kansas	Додж-Сити
518 (nonm)	518 (число)
541 (nonm)	541 (число)
Shanksville, Pennsilvani	Шанксвилл (Пенсильвания)
532 (nonm)	532 (число)
Hendrum, Minnesota	Хендрум (город, Миннесота)
720 (nonm)	720 (число)
180 (nonm)	180 (число)
La Carolina (Jaén)	Ла-Каролина
Ѵ	Ѵ
Goumen	Бой
Gainesville, Georgie	Гейнсвилл (Джорджия)
904 (nonm)	904 (число)
119 (nonm)	119 (число)
Prosper Avril	Авриль, Проспер
Fremont, Nebraska	Фримонт (Небраска)
Magaña	Маганья
Espèk	Спектр
969 (nonm)	969 (число)
South Orange Village, New Jersey	Саут-Оранж
Westfield, Ilinwa	Уэстфилд (Иллинойс)
York, Nebraska	Йорк (Небраска)
677 (nonm)	677 (число)
459 (nonm)	459 (число)
603 (nonm)	603 (число)
759 (nonm)	759 (число)
Richard Lewontin	Левонтин, Ричард Чарлз
Alpine, Texas	Алпайн (Техас)
68 (nonm)	68 (число)
Motley, Minnesota	Мотли (город, Миннесота)
Filon	Дайка
934 (nonm)	934 (число)
Pelican Rapids, Minnesota	Пеликан-Рапидс (город, Миннесота)
Ogallala, Nebraska	Огаллала (Небраска)
Montebello, Kalifòni	Монтебелло (Калифорния)
Karayib	Вест-Индия
Henderson, Texas	Хендерсон (Техас)
406 (nonm)	406 (число)
785 (nonm)	785 (число)
John Leslie	Лесли, Джон (порноактёр)
Kòl matris	Шейка матки
659 (nonm)	659 (число)
Samuel Karlin	Карлин, Самуэль
587 (nonm)	587 (число)
Lake Powell, Arizona	Пауэлл (водохранилище)
San Bruno, Kalifòni	Сан-Бруно
Junior Murvin	Джуниор Марвин
156 (nonm)	156 (число)
583 (nonm)	583 (число)
Juno Beach, Florid	Джуно-Бич (Флорида)
Perry, Georgie	Перри (Джорджия)
Davis, Kalifòni	Дейвис (Калифорния)
Fines (Almería)	Финес
Nivo enèjetik	Энергетический уровень
282 (nonm)	282 (число)
Winthrop, Minnesota	Уинтроп (город, Миннесота)
Bend, Oregon	Бенд (Орегон)
Jean-Joseph Rabearivelo	Рабеаривелу, Жан Жозеф
