非洲	Африка
A-la-pak Liên-mên	Лига арабских государств
Mìn-tsú Tsú-ngi	Демократия
Chhîn-chhèu (秦朝)	Цинь (династия)
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	Организация Североатлантического договора
Chhìn Sṳ Fòng	Цинь Шихуанди
Hon-chhèu	Хань (династия)
Hon Vú-ti Liù Chha̍t	У-ди
Sâng-vu̍t	Организм
Kiûn-chú-chṳ	Монархия
Khiung-fò-koet	Республика
Yí-mô-khiù	Бадминтон
Ngièn-chhèu	Юань (династия)
Nazi Tet-koet	Третий рейх
Yù-thai-ngìn	Евреи
Chang Fò	Чжэн Хэ
Chìn-chhèu	Цзинь (265—420)
Ngí	Ухо
Phi	Нос
Ngién	Глаз
Mûn-é	Комары
Mièn-yòng	Овца
Lo̍k-thò	Верблюды
Phú-nen thung-vu̍t	Млекопитающие
Siong	Слон
Ngie-kûng	Муравьи
Phûng-é	Пчёлы
Hò-làn-ngî	Нидерландский язык
Fà-thi̍t Thit-sṳ-nì Kûng-sṳ̂	The Walt Disney Company
Thot-yong Fu̍t-thông Fu̍t-son	Дезоксирибонуклеиновая кислота
Khiô	Баклажан
Siet	Снег
