Afraga	Африка
Achadh Ghobhair	Ахагауэр
Michiel Huisman	Хёйсман, Михиль
Lutjegast	Лютьегаст
Dún an Rí	Кингскорт
Bealaidh	Дроковые
Abhainn Shelburne	Шелберн (река)
Rúscaigh	Руски (Литрим / Роскоммон)
Ocaña	Оканья (Колумбия)
Còbra	Кобра
Ceisteachar	Вопросительные местоимения
Taigh-solais Bell Rock	Белл-Рок
Domhnach Bat	Донабейт
Fàsach Accona	Аккона (пустыня)
Am Bogotazo	Боготасо
Miguel Abadía Méndez	Абадиа Мендес, Мигель
Cluain Tarbh	Клонтарф
Gall-Ghaidhealaibh	Галлоуэй
Raghnallach	Ренела
Chirik	Хирик, Марк
Fartairchill	Фортингэл
Dasht-e Margoh	Дашти-Марго
Comhairle Cathair Dhùn Dè	Данди (область)
San Andreas, Calafòrnia	Сан-Андреас (Калифорния)
Baile Steafain	Стивенстон
Comhairle Cathair Dhùn Èideann	Эдинбург (область)
Bochotnica	Бохотница
Taupo	Таупо (город)
Cathair Cheann Tulaich	Керкинтиллох
Taggart	Таггерт (телесериал)
Comhairle Cathair Obar Dheathain	Абердин (область)
Alexander Naumovich Frumkin	Фрумкин, Александр Наумович
Baile na Lobhar	Лепардстаун
León de Greiff	Грейфф, Леон де
Bryn Celli Ddu	Брин-Келли-Ди
Ráth Garbh	Ратгар
Llanandras	Престин
Abhainn Nid	Нит (река, впадает в Ирландское море)
Sandaigh (Na h-Eileanan Tarsainn)	Сандей (Внутренние Гебриды)
Siorrachd Chumberland	Камберленд (графство, Новая Шотландия)
Baile Munna	Баллимун
Teach Giúise	Фёрхаус
An Baile Bocht	Баллибох
An Baile Nua	Ньютаунканнингем
Carraig Thuathail	Карригтохилл
Baile an Mhuilinn (Baile Átha Cliath)	Милтаун (Дублин)
Cluain Sceach	Клонски
An Port Thoir	Ист-Уолл
Camaigh	Киммидж
Sam Smalaidh	Пожарный Сэм
De Valls Bluff, Arkansas	Де-Валлс-Блафф (Арканзас)
José Hilario López	Лопес, Хосе Иларио
José María Melo	Мело, Хосе Мария
Llanfyllin	Лланвиллин
Aberafan	Аберавон
Baile Phib	Филсборо
Hami	Хами (пустыня)
Cionn Sáile	Кинсили
Eilean Chramoin	Крамонд (остров)
Ceann a' Bhàirr	Баррхед
Purt le Moirrey	Порт-Сент-Мэри
Conachag (Ceòl)	Конх (музыкальный инструмент)
Innis nam Bhiocaire	Инчмикери
Innis Cheith	Инчкит
Innis Garbhach	Инчгарви
Fernanda Rodrigues	Родригес, Фернанда
Siorrachd Hants	Хантс (графство)
Siorrachd Digby	Дигби (графство)
Siorrachd Halafacs	Галифакс (графство)
Siorrachd Inbhir Nis, Alba Nuadh	Инвернесс (графство, Новая Шотландия)
Veshenskaya	Вёшенская
Àthfort	Алфорд
Teach Sagard	Саггарт
Siorrachd Cheap Bhreatainn	Кейп-Бретон (графство)
Siorrachd Richmond	Ричмонд (графство, Новая Шотландия)
Bargod	Баргойд
Port Adhair Steòrnabhagh	Сторноуэй (аэропорт)
Teach Mealóg	Темплоуг
Baile Phámar	Палмерстаун
An Obair	Ноббер
An Eachlèim	Ахлим
Ráth Maonais	Ратмайнс
Teampall Kodaiji	Кодай-дзи
Cnò-mheannt	Мускатник душистый
Conrad Bain	Бэйн, Конрад
Tania Khalill	Халилл, Таня
José María Rojas Garrido	Рохас Гарридо, Хосе Мария
Ursainn	Наличник
Colbhasa Beag	Литл-Колонсей
Gòmastra	Гометра
's-Hertogenbosch	Хертогенбос
Abergele	Абергеле
Bradan	Лососёвые (подсемейство)
Mariano Ospina Rodríguez	Оспина, Мариано
Unnlagh	Штраф
Breac	Кумжа
Bartolomé Calvo	Кальво, Бартоломе
Blàr Inbhir Cèitein	Битва при Инверкитинге
Bruthach	Берег
An Oitir	Сэндбанк
Papa Little	Папа-Литл
Roinn-seòrsa:Bun	Категория:Незавершённые статьи
Roinn-seòrsa:Planaidean	Категория:Планеты
Roinn-seòrsa:Cultar	Категория:Культура
Roinn-seòrsa:Mòr-roinnean	Категория:Континенты
Roinn-seòrsa:Eòlas-talmhainn	Категория:Геология
Roinn-seòrsa:Liostaichean	Категория:Списки
Waunfawr	Уайнваур
Crevichon	Кревишон
Les Houmets	Уме
Alice in Wonderland (film 1985)	Алиса в Стране чудес (фильм, 1985)
Sabir Yunusov	Юнусов, Сабир Юнусович
Manuel Murillo Toro	Мурильо, Мануэль
Eustorgio Salgar	Сальгар Морено, Эусторгио
Cogadh nan Àrdanach	Война Высших
10an	10-е годы
Santos Acosta Castillo	Акоста, Сантос
Hascosay	Хаскосей
Pran	Пран
Tomás Cipriano de Mosquera	Москера, Томас Сиприано де
Santos Gutiérrez Prieto	Гутьеррес Прието, Сантос
José de Obaldía	Обальдиа, Хосе де
Manuel María Mallarino	Мальярино, Мануэль Мария
Sandaigh	Санда (остров)
Passamaquoddy (cànan)	Малесит-пассамакводди
Joshua Fishman	Фишман, Джошуа
Vementry	Вементри
Goilear	Отопительный котёл
Bian	Шкура
Merthyr Tudful	Мертир-Тидвил (графство)
Pàrras	Рай
Dùthaich nam Basgach (ceàrn fèin-riaghlaidh)	Страна басков (значения)
Sark	Сарк
Abhainn Annapolis	Аннаполис (река)
Joaquín Riascos	Риаскос, Хоакин
Roinn-seòrsa:Wikipedia bots	Категория:Участники:Боты
Conchobhar	Конхобар
Mòr-roinnean Chanada	Административное деление Канады
An Naigín	Саллиноггин
Darndál	Дарндейл
Ongar	Онгар
An Carnán (Baile Átha Cliath)	Долфинс-Барн
An Chéim	Степасайд
Glas Tuathail	Гластул
An Trá Thuaidh	Норт-Странд
Cill Mhic Oda	Килмакод
Baile Uí Lachnáin	Лохлинстаун
Na Glasáin	Уинди-Арбор
Port Thuaidh	Норт-Уолл
Baile an Teampaill (Baile Átha Cliath)	Чёрчтаун (Дун-Лэаре-Ратдаун)
Baile Uí Ruáin	Баллирон (Дублин)
Na Glaschnoic	Гринхилс
Baile Éamainn	Эдмондстаун
Baile Ghrífín	Балгриффин
Cnoc Mhuirfean	Маунт-Меррион
Domhnach Broc	Доннибрук
Margadh na Feirme	Смитфилд (Дублин)
An Clochán Leathan	Бродстон
Cill Bharróg	Килбаррак
Cúirt an Choirnéil	Корнельскорт
Cnoc Lín	Ноклайн
An Muileann Iarainn	Суонлинбар
Muiríne	Марино (Ирландия)
Na Saoirsí	Те-Либертис
An Cloigín Gorm	Блюбелл
Cnocán Doirinne	Доллимаунт
Achadh nan Càrn	Ошенкерн
Seantrabh	Сантри
Bóthar na gCloch	Стонибаттер
Cois Bá	Бейсайд (Дублин)
Domhnach Míde	Донамид
Coill an Phrióra	Прайорсвуд
Beaumont, Baile Átha Cliath	Бомонт (Ирландия)
Cill Easra	Киллестер
Páirc an Iarthair	Парк-Уэст
Ráth Miontáin	Джобстаун
Baile Adaim	Адамстаун (Южный Дублин)
An Chorr Dhubh	Кордафф
Roinn-seòrsa:Cleasaichean nam film	Категория:Актёры
Roinn-seòrsa:LCDT	Категория:ЛГБТ
Teamplaid:Userbox	Шаблон:Userbox
Saturn	Сатурн (значения)
Baile nan Gall	Голстон
Bòcan	Эттин
Dail M'Fhaolain	Далмеллингтон
Carlos Lemos Simmonds	Симмондс, Карлос Лемос
Roinn-seòrsa:Lagh	Категория:Право
Roinn-seòrsa:Dùthchannan	Категория:Страны
Roinn-seòrsa:Eaconomachd	Категория:Экономика
Uicipeid:Administrators	Википедия:Администраторы
Uicipeid:Bot policy	Википедия:Бот
Roinn-seòrsa:Eadar-lìon	Категория:Интернет
Uicipeid:WikiProject Check Wikipedia	Википедия:Страницы с ошибками в викитексте
An Baile Breac	Баллибрак
Roinn-seòrsa:Poileataigs	Категория:Политика
Roinn-seòrsa:Foghlam	Категория:Образование
Roinn-seòrsa:Ealain	Категория:Искусство
Kaunas	Каунас
Cunntasachd	Бухгалтерский учёт
Königsberg	Кёнигсберг
An Èipheit	Египет
Baile GhilleMhoire	Гилмертон
La Guajira	Гуахира
Iain Frangan Caimbeul	Кэмпбелл, Джон Фрэнсис
Roinn-seòrsa:Feallsanaiche	Категория:Философы
Donnchadh Gobha	Маккай, Дункан
Iain MacGilleEathain (Bàrd Thighearna Cholla)	Маклин, Йан
Lachlan Mac a’ Phearsain	Макферсон, Лахлан
Maol Rubha	Маэль Рува
Teamplaid:Bot	Шаблон:Bot
Trafaig	Дорожное движение
Canada	Канада
Roinn-seòrsa:An Ungair	Категория:Венгрия
Roinn-seòrsa:A' Bheilg	Категория:Бельгия
Roinn-seòrsa:An t-Seic	Категория:Чехия
Roinn-seòrsa:An Danmhairg	Категория:Дания
Roinn-seòrsa:Eastòinia	Категория:Эстония
Roinn-seòrsa:Suòmaidh	Категория:Финляндия
Roinn-seòrsa:A' Ghrèig	Категория:Греция
Roinn-seòrsa:Innis Tìle	Категория:Исландия
Roinn-seòrsa:Lucsamburg	Категория:Люксембург
Roinn-seòrsa:Liotuàinia	Категория:Литва
Roinn-seòrsa:An t-Suain	Категория:Швеция
Roinn-seòrsa:An t-Slòbhac	Категория:Словакия
Roinn-seòrsa:Sloibhìnia	Категория:Словения
Roinn-seòrsa:Poblachd na h-Èireann	Категория:Ирландская Республика
Sruth na gCloch	Рокбрук
An Tobar Shalainn	Солт-Спрингс (Новая Шотландия)
Nèamh	Небеса
Teamplaid:Flagicon	Шаблон:Флаг
Roinn-seòrsa:An Roinn-Eòrpa	Категория:Европа
Teamplaid:Documentation	Шаблон:Doc
Ball-gineamhainn	Репродуктивная система человека
Uicipeid:Doras na coimhearsnachd	Википедия:Портал сообщества
Roinn-seòrsa:Cànain an luchd-cleachdaidh	Категория:Википедия:Участники по языкам
Sung Jae-gi	Сон Джэги
Arieh Warshel	Варшель, Арье
Gnothachas	Предпринимательство
Teamplaid:Softredirect	Шаблон:Soft redirect
Teamplaid:Delete	Шаблон:К быстрому удалению
Rìghrean Breatainn Mhòr agus an Rìoghachd Aonaichte	Список монархов Британских островов
Roinn-seòrsa:Teicneòlas	Категория:Технология
Better Together (iomairt)	Лучше вместе
Breug	Ложь
Roinn-seòrsa:Cànain	Категория:Языки
Uicipeid:General disclaimer	Википедия:Отказ от ответственности
Saighdear	Солдат
Roinn-seòrsa:Bailtean anns an t-Seic	Категория:Города Чехии
Teamplaid:-	Шаблон:-
Teamplaid:Navbox	Шаблон:Navbox
Teamplaid:Shortcut	Шаблон:Shortcut
Saoidhean	Сайды
Don Keefer	Кифер, Дон
Teamplaid:Fact	Шаблон:Нет источника
Pana	Пан
Teamplaid:!-	Шаблон:!-
Teamplaid:=	Шаблон:=
Teamplaid:Navbar	Шаблон:Tnavbar
Teamplaid:Code	Шаблон:Code
Teamplaid:Unicode	Шаблон:Unicode
Teamplaid:Clear	Шаблон:Clear
Teamplaid:Col-begin	Шаблон:Столбцы
Teamplaid:Col-end	Шаблон:Столбцы/конец
Roinn-seòrsa:Afraga	Категория:Африка
Roinn-seòrsa:Bìoball	Категория:Библия
Teamplaid:Babel	Шаблон:Babel
Teamplaid:Commons	Шаблон:Commons
Teamplaid:Reflist	Шаблон:Примечания
Teamplaid:Bun	Шаблон:Заготовка
Teamplaid:User af-1	Шаблон:User af-1
Teamplaid:User als-1	Шаблон:User als-1
Teamplaid:User ar-1	Шаблон:User ar-1
Teamplaid:User az	Шаблон:User az
Teamplaid:User eo-1	Шаблон:User eo-1
Teamplaid:See also	Шаблон:См. также
Teamplaid:User da-2	Шаблон:User da-2
Teamplaid:User da	Шаблон:User da
Teamplaid:User be-2	Шаблон:User be-2
Teamplaid:User da-1	Шаблон:User da-1
Teamplaid:User eo-3	Шаблон:User eo-3
Teamplaid:User de	Шаблон:User de
Teamplaid:User de-1	Шаблон:User de-1
Teamplaid:User et-1	Шаблон:User et-1
Teamplaid:User el	Шаблон:User el
Teamplaid:User es	Шаблон:User es
Teamplaid:User de-3	Шаблон:User de-3
Teamplaid:User en-3	Шаблон:User en-3
Teamplaid:User en-1	Шаблон:User en-1
Teamplaid:User en-2	Шаблон:User en-2
Teamplaid:User fa-1	Шаблон:User fa-1
Teamplaid:User eo-2	Шаблон:User eo-2
Teamplaid:User en-4	Шаблон:User en-4
Teamplaid:User fi	Шаблон:User fi
Teamplaid:User en	Шаблон:User en
Teamplaid:User de-2	Шаблон:User de-2
Teamplaid:User es-1	Шаблон:User es-1
Teamplaid:User fr-1	Шаблон:User fr-1
Teamplaid:User he-2	Шаблон:User he-2
Teamplaid:User id-3	Шаблон:User id-3
Teamplaid:User io-3	Шаблон:User io-3
Teamplaid:User it-3	Шаблон:User it-3
Teamplaid:User grc-1	Шаблон:User grc-1
Teamplaid:User ja-4	Шаблон:User ja-4
Teamplaid:User tr-2	Шаблон:User tr-2
Teamplaid:User fr-2	Шаблон:User fr-2
Teamplaid:User tr	Шаблон:User tr
Teamplaid:User ja	Шаблон:User ja
Teamplaid:User ja-1	Шаблон:User ja-1
Teamplaid:User it-1	Шаблон:User it-1
Teamplaid:User hr-1	Шаблон:User hr-1
Teamplaid:User fr	Шаблон:User fr
Roinn-seòrsa:Moldàibhia	Категория:Молдавия
Roinn-seòrsa:Àisia	Категория:Азия
Roinn-seòrsa:An t-Sile	Категория:Чили
Roinn-seòrsa:21mh linn	Категория:XXI век
Roinn-seòrsa:User uk	Категория:User uk
Roinn-seòrsa:Aimearaga a Deas	Категория:Южная Америка
Roinn-seòrsa:Castilla y León	Категория:Кастилия и Леон
Roinn-seòrsa:User uk-N	Категория:User uk-N
Teamplaid:Intricate template	Шаблон:Эзотерика
Roinn-seòrsa:Malaysia	Категория:Малайзия
Roinn-seòrsa:Ball-coise	Категория:Футбол
Teamplaid:Mod	Шаблон:Mod
Teamplaid:User sv	Шаблон:User sv
Teamplaid:User it	Шаблон:User it
Teamplaid:User uk	Шаблон:User uk
Teamplaid:User es-2	Шаблон:User es-2
Roinn-seòrsa:Cànanachas	Категория:Лингвистика
Teamplaid:Dàta brataich A' Phòlainn	Шаблон:Флагификация/Польша
Teamplaid:CC-by-sa-3.0	Шаблон:CC-BY-SA-3.0
Teamplaid:Userbox-2	Участник:Box/Таблица3
Roinn-seòrsa:User fr-1	Категория:User fr-1
Teamplaid:Infobox musical artist	Шаблон:Музыкант
Teamplaid:Ambox	Шаблон:Ambox
Teamplaid:Dùthaich	Шаблон:Государство
Teamplaid:Column-count	Шаблон:Column-count
Teamplaid:Cogadh	Шаблон:Вооружённый конфликт
Teamplaid:Str left	Шаблон:Str left
Teamplaid:Str sub long	Шаблон:Str sub
Teamplaid:Tmbox	Шаблон:Tmbox
Teamplaid:Cleanup	Шаблон:Чистить
Teamplaid:Dablink	Шаблон:Другое значение
Teamplaid:Exzellent	Шаблон:Избранная статья
Roinn-seòrsa:User en-4	Категория:User en-4
Roinn-seòrsa:User en	Категория:User en
Roinn-seòrsa:User zh	Категория:User zh
Roinn-seòrsa:Croàisia	Категория:Хорватия
Roinn-seòrsa:User zh-N	Категория:User zh-N
Roinn-seòrsa:User en-2	Категория:User en-2
Teamplaid:Infobox	Шаблон:Карточка
Teamplaid:TOCright	Шаблон:TOC right
Teamplaid:Ns0	Шаблон:Main other
Teamplaid:User zh	Шаблон:User zh
Roinn-seòrsa:Aibidil	Категория:Алфавиты
Teamplaid:Template other	Шаблон:Template other
Roinn-seòrsa:Sgrìobhadairean Breatannach	Категория:Писатели Великобритании
Teamplaid:Cite web	Шаблон:Cite web
Teamplaid:AZ	Шаблон:Латиница
Teamplaid:Ombox	Шаблон:Ombox
Teamplaid:Loch ann an Alba	Шаблон:Море
Teamplaid:User ru-4	Шаблон:User ru-4
Teamplaid:Pp-template	MediaWiki:Protectedpagetext
Teamplaid:User nl-1	Шаблон:User nl-1
Teamplaid:Wiktionary	Шаблон:Викисловарь
Teamplaid:User nl-2	Шаблон:User nl-2
Roinn-seòrsa:Àiteachas	Категория:Сельское хозяйство
Teamplaid:Babel-4	Шаблон:Babel-4
Teamplaid:Baile	Шаблон:НП
Teamplaid:Bun na Gearmailte	Шаблон:Germany-stub
Teamplaid:User ru	Шаблон:User ru
Roinn-seòrsa:20mh linn	Категория:XX век
Teamplaid:IPA	Шаблон:IPA1
Teamplaid:Cinn-suidhe nan Stàitean Aonaichte	Шаблон:Президенты США
Roinn-seòrsa:Teamplaid:Cànan	Категория:Шаблоны участников:По языкам
Roinn-seòrsa:Washington (stàit)	Категория:Вашингтон (штат)
Teamplaid:Beinn	Шаблон:Вершина
Teamplaid:Birth date and age	Шаблон:Родился
Teamplaid:MONTHNAME	Шаблон:MONTHNAME
Teamplaid:Neach-poileataigs	Шаблон:Государственный деятель
Teamplaid:Death date and age	Шаблон:Умер
Teamplaid:MONTH	Шаблон:MONTHNUMBER
Roinn-seòrsa:Teamplaidean dàta brataich	Категория:Шаблоны:Флагификация
Teamplaid:Fmbox	Шаблон:Fmbox
Roinn-seòrsa:19mh linn	Категория:XIX век
Roinn-seòrsa:Sgrìobhadairean	Категория:Писатели
Roinn-seòrsa:Oilthighean	Категория:Университеты
Teamplaid:Hidden begin	Шаблон:Начало скрытого блока
Teamplaid:Tlc	Шаблон:Tlc
Teamplaid:Booland	Шаблон:Both
Teamplaid:User pt-1	Шаблон:User pt-1
Roinn-seòrsa:Sgiobanan ball-coise Edailteach	Категория:Футбольные клубы Италии
Teamplaid:Hidden	Шаблон:Скрытый
Teamplaid:User pl	Шаблон:User pl
Teamplaid:User nl	Шаблон:User nl
Teamplaid:User no-2	Шаблон:User no-2
Teamplaid:Duais Nobel ann an Litreachas	Шаблон:Нобелевская премия по литературе
Teamplaid:Documentation subpage	Шаблон:Docpage
Teamplaid:Str len	Шаблон:Str len
Teamplaid:Purge	Шаблон:Очистить кэш
Teamplaid:Lorem	Шаблон:Lorem ipsum
Teamplaid:User pl-1	Шаблон:User pl-1
Teamplaid:User fr-3	Шаблон:User fr-3
Teamplaid:Allcaps	Шаблон:Uppercase
Teamplaid:Redirect	Шаблон:Перенаправление
Teamplaid:User nds-1	Шаблон:User nds-1
Teamplaid:Cc-by-sa-2.0	Шаблон:CC-BY-SA-2.0
Teamplaid:Coord/link	Шаблон:Coord/link
Teamplaid:Infobox UK place	Шаблон:НП-Великобритания
Teamplaid:User is-1	Шаблон:User is-1
Teamplaid:User en-5	Шаблон:User en-5
Teamplaid:Làithean na seachdain	Шаблон:Неделя
Roinn-seòrsa:Carolina a Tuath	Категория:Северная Каролина
Roinn-seòrsa:User ja-N	Категория:User ja-N
Teamplaid:User als	Шаблон:User als
Teamplaid:Dàta brataich A' Ghearmailt an Iar	Шаблон:Флагификация/ФРГ
Teamplaid:Dàta brataich A' Ghearmailt an Ear	Шаблон:Флагификация/ГДР
Teamplaid:URL	Шаблон:URL
Roinn-seòrsa:Buidseachd	Категория:Ведовство
Teamplaid:No	Шаблон:Не сделано
Roinn-seòrsa:Teamplaid:Infobox	Категория:Шаблоны:Карточки
Roinn-seòrsa:An Ear Mheadhanach	Категория:Средний Восток
Teamplaid:Dàta brataich A' Ghearmailt Nàsach	Шаблон:Флагификация/Третий рейх
Teamplaid:Dàta brataich Impireachd na Gearmailte	Шаблон:Флагификация/Германская империя
Teamplaid:Para	Шаблон:Para
Teamplaid:User no	Шаблон:User no
Roinn-seòrsa:Carolina a Deas	Категория:Южная Каролина
Teamplaid:Geobox	Шаблон:Географический объект
Teamplaid:Death date	Шаблон:Death date
Ailigeutair	Аллигаторовые
Teamplaid:Clearright	Шаблон:Clearright
Teamplaid:Resize	Шаблон:Resize
Roinn-seòrsa:Ailtireachd	Категория:Архитектура
Teamplaid:Further	Шаблон:Подробно
Teamplaid:User sv-2	Шаблон:User sv-2
Teamplaid:User it-2	Шаблон:User it-2
Teamplaid:Age	Шаблон:Возраст
Teamplaid:Details	Шаблон:Подробная статья
Teamplaid:Mòr-roinnean	Шаблон:Континенты
Teamplaid:Convert	Шаблон:Convert
Teamplaid:Aibidil Eabhra	Шаблон:Еврейский алфавит
Teamplaid:Coord	Шаблон:Coord
Roinn-seòrsa:Aibhnichean na h-Alba	Категория:Реки Шотландии
Teamplaid:User pt-2	Шаблон:User pt-2
Roinn-seòrsa:Wyoming	Категория:Вайоминг
Teamplaid:User fr-4	Шаблон:User fr-4
Roinn-seòrsa:Bailtean na h-Alba	Категория:Города Шотландии
Teamplaid:User la-1	Шаблон:User la-1
Roinn-seòrsa:User szl	Категория:User szl
Roinn-seòrsa:User az	Категория:User az
Roinn-seòrsa:User be	Категория:User be
Roinn-seòrsa:User hr	Категория:User hr
Roinn-seòrsa:User kw	Категория:User kw
Roinn-seòrsa:User sco	Категория:User sco
Roinn-seòrsa:User sk	Категория:User sk
Roinn-seòrsa:User sl	Категория:User sl
Roinn-seòrsa:User eo	Категория:User eo
Roinn-seòrsa:User et	Категория:User et
Roinn-seòrsa:User fr	Категория:User fr
Roinn-seòrsa:User gl	Категория:User gl
Roinn-seòrsa:User cy	Категория:User cy
Roinn-seòrsa:User gd	Категория:User gd
Roinn-seòrsa:User gv	Категория:User gv
Roinn-seòrsa:User id	Категория:User id
Roinn-seòrsa:User ga	Категория:User ga
Roinn-seòrsa:User ja	Категория:User ja
Roinn-seòrsa:User la	Категория:User la
Roinn-seòrsa:User nn	Категория:User nn
Roinn-seòrsa:User pt	Категория:User pt
Roinn-seòrsa:User ro	Категория:User ro
Roinn-seòrsa:User sv	Категория:User sv
Roinn-seòrsa:User cs-3	Категория:User cs-3
Roinn-seòrsa:User fr-3	Категория:User fr-3
Roinn-seòrsa:User gd-3	Категория:User gd-3
Roinn-seòrsa:User it-3	Категория:User it-3
Roinn-seòrsa:User ja-3	Категория:User ja-3
Roinn-seòrsa:User nl-3	Категория:User nl-3
Roinn-seòrsa:User kw-1	Категория:User kw-1
Roinn-seòrsa:User da-1	Категория:User da-1
Roinn-seòrsa:User et-1	Категория:User et-1
Roinn-seòrsa:User cy-1	Категория:User cy-1
Roinn-seòrsa:Cleachdaiche gd-1	Категория:User gd-1
Roinn-seòrsa:User ga-1	Категория:User ga-1
Roinn-seòrsa:User nl-1	Категория:User nl-1
Roinn-seòrsa:User pl-1	Категория:User pl-1
Roinn-seòrsa:User ro-1	Категория:User ro-1
Roinn-seòrsa:User tr-1	Категория:User tr-1
Roinn-seòrsa:User ar-1	Категория:User ar-1
Roinn-seòrsa:User szl-4	Категория:User szl-4
Roinn-seòrsa:User fr-4	Категория:User fr-4
Roinn-seòrsa:User be-2	Категория:User be-2
Roinn-seòrsa:User da-2	Категория:User da-2
Roinn-seòrsa:User sk-2	Категория:User sk-2
Roinn-seòrsa:User fr-2	Категория:User fr-2
Roinn-seòrsa:User it-2	Категория:User it-2
Roinn-seòrsa:User la-2	Категория:User la-2
Roinn-seòrsa:User nl-2	Категория:User nl-2
Roinn-seòrsa:User pl-2	Категория:User pl-2
Roinn-seòrsa:User sv-2	Категория:User sv-2
Roinn-seòrsa:User tr-2	Категория:User tr-2
Roinn-seòrsa:User cs-N	Категория:User cs-N
Roinn-seòrsa:User sl-N	Категория:User sl-N
Roinn-seòrsa:User fr-N	Категория:User fr-N
Roinn-seòrsa:User it-N	Категория:User it-N
Roinn-seòrsa:User nl-N	Категория:User nl-N
Roinn-seòrsa:User no-N	Категория:User no-N
Roinn-seòrsa:User nn-N	Категория:User nn-N
Roinn-seòrsa:User ru-N	Категория:User ru-N
Roinn-seòrsa:Prìomh-bhailtean ann an Roinn a' Chuain Shèimh	Категория:Столицы Океании
Roinn-seòrsa:Gàidhlig	Категория:Шотландский (гэльский) язык
Roinn-seòrsa:2070an	Категория:2070-е
Roinn-seòrsa:User af	Категория:User af
Roinn-seòrsa:User af-1	Категория:User af-1
Roinn-seòrsa:User af-2	Категория:User af-2
Roinn-seòrsa:User als	Категория:User als
Roinn-seòrsa:User als-1	Категория:User als-1
Roinn-seòrsa:User ar	Категория:User ar
Roinn-seòrsa:User az-N	Категория:User az-N
Roinn-seòrsa:User cs	Категория:User cs
Roinn-seòrsa:User da	Категория:User da
Roinn-seòrsa:User de	Категория:User de
Roinn-seòrsa:User de-2	Категория:User de-2
Roinn-seòrsa:User de-3	Категория:User de-3
Roinn-seòrsa:User de-4	Категория:User de-4
Roinn-seòrsa:User de-N	Категория:User de-N
Roinn-seòrsa:User el	Категория:User el
Roinn-seòrsa:User el-N	Категория:User el-N
Roinn-seòrsa:User en-3	Категория:User en-3
Roinn-seòrsa:User en-5	Категория:User en-5
Roinn-seòrsa:User en-N	Категория:User en-N
Roinn-seòrsa:User eo-1	Категория:User eo-1
Roinn-seòrsa:User eo-2	Категория:User eo-2
Roinn-seòrsa:User eo-3	Категория:User eo-3
Roinn-seòrsa:User es	Категория:User es
Roinn-seòrsa:User es-1	Категория:User es-1
Roinn-seòrsa:User es-2	Категория:User es-2
Roinn-seòrsa:User es-3	Категория:User es-3
Roinn-seòrsa:User es-N	Категория:User es-N
Roinn-seòrsa:User fa	Категория:User fa
Roinn-seòrsa:User fa-1	Категория:User fa-1
Roinn-seòrsa:User fi	Категория:User fi
Roinn-seòrsa:User fi-N	Категория:User fi-N
Roinn-seòrsa:User ga-3	Категория:User ga-3
Roinn-seòrsa:1680an	Категория:1680-е
Roinn-seòrsa:User he	Категория:User he
Roinn-seòrsa:User he-2	Категория:User he-2
Teamplaid:N/a	Шаблон:N/a
Roinn-seòrsa:User hr-1	Категория:User hr-1
Roinn-seòrsa:User hu	Категория:User hu
Roinn-seòrsa:User hu-1	Категория:User hu-1
Roinn-seòrsa:User id-3	Категория:User id-3
Roinn-seòrsa:User io	Категория:User io
Roinn-seòrsa:User is	Категория:User is
Roinn-seòrsa:User is-1	Категория:User is-1
Roinn-seòrsa:User als-N	Категория:User als-N
Teamplaid:User la-3	Шаблон:User la-3
Roinn-seòrsa:Aibidil Eabhra	Категория:Еврейский алфавит
Easbaigeachas	Англиканство
Roinn-seòrsa:User pl-N	Категория:User pl-N
Roinn-seòrsa:User pt-1	Категория:User pt-1
Teamplaid:Dàta brataich A' Ghearmailt	Шаблон:Флагификация/Германия
Roinn-seòrsa:Sgrìobhadairean Portagaileach	Категория:Писатели Португалии
Roinn-seòrsa:Geoimeatras	Категория:Геометрия
Roinn-seòrsa:Na h-Eileanan Canàrach	Категория:Канарские острова
Teamplaid:Dàta brataich Alba	Шаблон:Флагификация/Шотландия
Roinn-seòrsa:User it	Категория:User it
Roinn-seòrsa:User it-1	Категория:User it-1
Roinn-seòrsa:User ja-1	Категория:User ja-1
Roinn-seòrsa:User la-1	Категория:User la-1
Roinn-seòrsa:User la-3	Категория:User la-3
Leòdhas	Остров Льюис (регион)
Roinn-seòrsa:1510an	Категория:1510-е
Teamplaid:Information	Шаблон:Изображение
Roinn-seòrsa:14mh linn RC	Категория:XIV век до н. э.
Teamplaid:Cànain Cheilteach	Шаблон:Кельтские языки
Breac-òtraich	Простой герпес
Roinn-seòrsa:User ru-1	Категория:User ru-1
Teamplaid:Siorrachdan na Cuimrigh	Шаблон:Области Уэльса
Teamplaid:Expand list	Шаблон:List-stub
Teamplaid:Tdeprecated	Шаблон:Устаревший шаблон
Mial	Пухоеды и вши
Teamplaid:User sv-1	Шаблон:User sv-1
Roinn-seòrsa:1970an	Категория:1970-е
Roinn-seòrsa:1890an	Категория:1890-е
Roinn-seòrsa:Strìopachas	Категория:Проституция
Roinn-seòrsa:Caistealan	Категория:Замки
Roinn-seòrsa:Criogaid	Категория:Крикет
Roinn-seòrsa:Sasainn	Категория:Англия
Roinn-seòrsa:Cànain Bhrittonach	Категория:Бриттские языки
Teamplaid:Str ≥ len	Шаблон:Str ≥ len
Roinn-seòrsa:User nds	Категория:User nds
Roinn-seòrsa:User nds-1	Категория:User nds-1
Roinn-seòrsa:User nds-N	Категория:User nds-N
Teamplaid:Coord/dms2dec	Шаблон:Coord/dms2dec
Roinn-seòrsa:Sgrìobhadairean Sasannach	Категория:Писатели Англии
