Hui-chiu	Африка
Thâi-thâu	Обезглавливание
Amis-cho̍k	Ами (народ)
Lú-sèng chham-chèng-koân	Женское избирательное право
Dalarna	Даларна (провинция)
Amazonas Hô hái-ti	Амазонский дельфин
Cojedes	Кохедес
Yamagata-chhī	Ямагата (Ямагата)
Siā-hoē kui-hoān	Социальная норма
Scooby-Doo	Скуби-Ду
Monagas	Монагас (штат Венесуэлы)
Lara	Лара
Vargas	Варгас (штат Венесуэлы)
Pat-kòa (tōng-bu̍t)	Пальмовый вор
Abigail Adams	Адамс, Эбигейл
Mori Sigehumi	Мори, Сигэфуми
Hông-siâⁿ Seng-liông	Ханойская цитадель
Hälsingland	Хельсингланд
Tháu-pa̍k sîn-ha̍k	Теология освобождения
Sîn-keng-kho-ha̍k	Нейробиология
Chonburi Hú	Чонбури (провинция)
Tokusima-chhī	Токусима (город)
Suzuka-chhī	Судзука (город)
Matue-chhī	Мацуэ
Tuxtla Gutiérrez	Тустла-Гутьеррес
Härjedalen	Херьедален
Liân-só lu̍t	Дифференцирование сложной функции
500	500 (число)
Ian Curtis	Кёртис, Иэн
Casa Milà	Дом Мила
Mary Elizabeth Winstead	Уинстэд, Мэри Элизабет
Yamaguti-chhī	Ямагути (город)
Itihara-chhī	Итихара
S/2003 J 18	S/2003 J 18
Guinea	Гвинея (регион)
2009 nî L'Aquila tē-tāng	Землетрясение в Л’Акуиле (2009)
Tang-chì	Зимнее солнцестояние
Chilpancingo	Чильпансинго-де-лос-Браво
Tiong-iong Tiān-sī-tâi	Центральное телевидение Китая
Owl City	Owl City
Alexander McQueen	Маккуин, Александр
Serranidae	Каменные окуни
Sani Abacha	Абача, Сани
Amazonas	Амазонас (значения)
Ralph Vaughan Williams	Воан-Уильямс, Ральф
O͘-pà	Чёрная пантера
Tepic	Тепик
Monsanto	Monsanto Company
Kim Seong-soo	Ким Сонсу
Andô Tadao	Андо, Тадао
Claude Bernard	Бернар, Клод
Thian-hông	Император Японии
Michael Atiyah	Атья, Майкл Фрэнсис
Sin-tâi-phiò	Новый тайваньский доллар
Pablo Casals	Казальс, Пау
Rupert Everett	Эверетт, Руперт
Hutyû-chhī (Tang-kiaⁿ)	Футю (Токио)
Hatiôzi-chhī	Хатиодзи
Toluca	Толука-де-Лердо
Columba	Голуби
Bohuslän	Бохуслен
Pa-lí 2 khu	II округ Парижа
Lucille Ball	Болл, Люсиль
Tokoname-chhī	Токонамэ
Saga-chhī	Сага (город)
Sagamihara-chhī	Сагамихара
Itikawa-chhī	Итикава (город)
Himezi-chhī	Химедзи (город)
Ångermanland	Онгерманланд
Biâu-cho̍k	Мяо
Kevin Jonas	Джонас, Кевин
Ka-liông Hông-tè	Зя Лонг
Matida-chhī	Матида
Musasino-chhī	Мусасино
Tyôhu-chhī	Тёфу
Medelpad	Медельпад
Pa-lí 20 khu	XX округ Парижа
Ìn-tō͘ Hô hái-ti	Гангский дельфин
Villahermosa	Вильяэрмоса (Табаско)
Kim-chheⁿ Khoài-chhia	Венера-экспресс
James Lovelock	Лавлок, Джеймс
Edward Osborne Wilson	Уилсон, Эдвард Осборн
Chiàn-lio̍k Hông-gū Chhiòng-siat	Стратегическая оборонная инициатива
Île Saint-Louis	Остров Сен-Луи
Sèng-hùn-che	Психостимуляторы
Jeppe Aakjær	Окьер, Йеппе
Atle Selberg	Сельберг, Атле
Iâm-hoà chúi-sò͘	Хлороводород
Gîn-chhoan-chhī	Иньчуань
Bob Hoskins	Хоскинс, Боб
Dogme 95	Догма 95
Iûⁿ-mûi-khu	Янмэй
Oseltamivir	Осельтамивир
Ambrogio Lorenzetti	Лоренцетти, Амброджо
Santa Clara, Cuba	Санта-Клара (Куба)
Värmland	Вермланд (провинция)
Lars Ahlfors	Альфорс, Ларс
Norrbotten	Норрботтен (провинция)
Västerbotten	Вестерботтен (провинция)
Jämtland	Емтланд (провинция)
Iceni	Ицены
Culiacán	Кульякан
Newton ê iô-kô	Колыбель Ньютона
2012	2012 (значения)
Marx-Lenin-chú-gī	Марксизм-ленинизм
Jean-Pierre Serre	Серр, Жан-Пьер
Laurent Schwartz	Шварц, Лоран
Ji̍t-pún Hòng-sàng Hia̍p-hoē	NHK
Roger Ebert	Эберт, Роджер
Ak-pûi	Компосты
Robert Venturi	Вентури, Роберт
Lāi-hīⁿ	Внутреннее ухо
Akisima-chhī	Акисима
Natasha Richardson	Ричардсон, Наташа
WLAN	Wireless LAN
Lappland	Лаппланд (провинция)
Tyûô-khu (Tang-kiaⁿ-to͘)	Тюо (специальный район)
Bunkyô-khu	Бункё
Lūi-kut	Слёзная кость
Kó͘-tián chè-iok	Условные рефлексы
Sî-khok-á	Будильник
B. F. Skinner	Скиннер, Беррес Фредерик
Tama-chhī	Тама (город)
Kodaira-chhī	Кодайра
Amagasaki-chhī	Амагасаки
Matumoto-chhī	Мацумото (город)
Rapid City, South Dakota	Рапид-Сити (Южная Дакота)
Hô-bé-kho	Бегемотовые
New York Yankees	Нью-Йорк Янкиз
Adati-khu	Адати
Perlis	Перлис (штат)
Bill Cosby	Косби, Билл
Västergötland	Вестергётланд
K-pop	K-pop
La Tchadienne	Гимн Чада
Charlotte's Web (2006 nî tiān-iáⁿ)	Паутина Шарлотты (фильм)
Babe Ruth	Рут, Бейб
Negeri Sembilan	Негри-Сембилан
Pùn-kháu-thâng	Острицы
S/2003 J 10	S/2003 J 10
S/2003 J 9	S/2003 J 9
S/2003 J 5	S/2003 J 5
S/2003 J 2	S/2003 J 2
John Bauer	Бауэр, Йон
Tiyoda-khu	Тиёда (специальный район)
Edogawa-khu	Эдогава (специальный район)
La Paz, Baja California Sur	Ла-Пас (Южная Нижняя Калифорния)
Kim Kyu-sik	Ким Гюсик
S/2003 J 4	S/2003 J 4
Jean Nouvel	Нувель, Жан
Labuan	Лабуан
John Fowles	Фаулз, Джон
Dalsland	Дальсланд
Östergötland	Эстергётланд (провинция)
Kôtô-khu	Кото (специальный район)
Chheng-kho	Скумбриевые
Brother Bear	Братец медвежонок
Seng-lí-lâng	Купец
Kò-jîn	Личность
Rule, Britannia!	Правь, Британия, морями!
Warrington	Уоррингтон
Kim Gu	Ким Гу
Hugo Wolf	Вольф, Хуго
Hartlepool	Хартлпул
Siong-thâm-chhī	Сянтань
Hái-ti-kho	Дельфиновые
John Milnor	Милнор, Джон Уиллард
Tāi-liōng seng-sán	Поточное производство
Thé-hiān	Эмерджентность
Hank Aaron	Аарон, Хэнк
Albert O. Hirschman	Хиршман, Альберт
Le Figaro	Le Figaro
Haute couture	Высокая мода
Thài-san	Тайшань
Charlotte Corday	Корде, Шарлотта
S/2003 J 19	S/2003 J 19
Cần Thơ	Кантхо
Australia Lô-tōng Tóng	Австралийская лейбористская партия
S/2003 J 16	S/2003 J 16
Pah-hoè kong-si	Универсальный магазин
Hilo	Хило
Arche de la Défense	Большая арка Дефанс
Continental Airlines	Continental Airlines
Närke	Нерке
Ronald Fisher	Фишер, Рональд Эйлмер
S/2003 J 15	S/2003 J 15
Paul Cohen	Коэн, Пол Джозеф
Tâi-oân goân-chū-bîn	Аборигены Тайваня
S/2003 J 23	S/2003 J 23
Tek-jîn chhin-ông	Нарухито
Sok-siá	Кроки
George Washington hâng-khong bú-lām	USS George Washington (CVN-73)
Mir-Hossein Mousavi	Мусави, Мир-Хосейн
O͘-àm Sî-tāi	Тёмные века европейской истории
Goân-seng im-ga̍k	Саундтрек
Ôta-khu	Ота (специальный район)
David Letterman	Леттерман, Дэвид
Jaume Bartumeu	Бартумеу Кассани, Жауме
Vespa	Vespa (мотороллер)
RCA	RCA
Formosa (khu-pia̍t-ia̍h)	Формоза (значения)
François Jacob	Жакоб, Франсуа
Khè-tan-lâng	Кидани
Lia̍h-chóng-bé	Контрольная сумма
Alanin	Аланин
Zollikon	Цолликон
The Supremes	The Supremes
Ko-hiông-koān	Гаосюн (уезд)
Hmong-cho̍k	Хмонги
Monodontidae	Нарваловые
Hî-nn̄g	Икра (зоология)
Thoân-kàu-sū	Миссионерство
Fayetteville, Arkansas	Фейетвилл (Арканзас)
Thoân-kàu-sū-sek	Миссионерская позиция
Naucalpan de Juárez	Наукальпан
Bí-su̍t	Изящные искусства
Khóng-sek	Ультрамарин
Zonguldak (séng)	Зонгулдак (ил)
Anthony Giddens	Гидденс, Энтони
Timothy Gowers	Гауэрс, Уильям Тимоти
Kuching	Кучинг
Phi-hoat	Оптовая торговля
Yonaguni-tó	Йонагуни (остров)
Toā-pang-chiⁿ	Большое сжатие
Simone Martini	Симоне Мартини
Jackie Robinson	Робинсон, Джеки
Xalapa-Enríquez	Халапа-Энрикес
Bryde ê Hái-ang	Полосатик Брайда
DuPont	DuPont
Anggun	Анггун
Gilberto Gil	Жил, Жилберту
Kathleen Turner	Тёрнер, Кэтлин
Ū gûi-ki ê Sè-kài Ûi-sán lia̍t-toaⁿ	Список всемирного наследия, находящегося под угрозой
Koan Ú	Гуань Юй
Benigno Aquino, Jr.	Акино, Бенигно (младший)
Eartha Kitt	Китт, Эрта
Ku	Черепахи
Pa-lí 3 khu	III округ Парижа
Casper, Wyoming	Каспер (Вайоминг)
Tong-hong Bêng-chu Kóng-pò͘ Tiān-sī-thah	Восточная жемчужина (телебашня)
Kure-chhī	Куре (Япония)
Tiryū-chhī	Тирю
Tē 3 hō Kau-hiáng-khek (Brahms)	Симфония № 3 (Брамс)
Pó-tāi	Бао Дай
Henrik Pontoppidan	Понтоппидан, Хенрик
Chauvin-chú-gī	Шовинизм
Hutyû-chhī	Футю
Carl Spitteler	Шпиттелер, Карл
Bô-siaⁿ tiān-iáⁿ	Немое кино
Nô-hì	Но
Ō͘-á	Таро (растение)
Sakai	Сакаи
Niau-sio̍k	Кошки (род)
Kau-phòe	Спаривание
Chêng-phok	Предплечье
Emma Roberts	Робертс, Эмма
Apaxco	Апаско
Julie Kavner	Кавнер, Джулия
Anne Baxter	Бакстер, Энн
Siā-hiuⁿ-lo̍k	Кабарговые
Chhoà Lûn	Цай Лунь
Georges-Louis Leclerc de Buffon	Бюффон, Жорж-Луи Леклерк де
Chúi-lo̍k	Индийский замбар
Tāu-iû	Соевый соус
Pa-lí 4 khu	IV округ Парижа
Í-sek-lia̍t Ông-kok	Северно-Израильское царство
Phyllis Diller	Диллер, Филлис
Thôan-hôe Iâ-lō͘-sat-léng ūn-tōng	Назад в Иерусалим!
Yamagata	Ямагата
Labrador (khu-pia̍t-ia̍h)	Лабрадор
Saga	Сага (значения)
XP	XP
Tiba	Тиба
Yamaguti	Ямагути
Hukusima	Фукусима
Miyazaki	Миядзаки
Kúi-tō	Orbit
Nara	Нара
Zusi-chhī	Дзуси
Lōa-hō͘ lāi-hái	Внутреннее Японское море
Johor Bahru	Джохор-Бару
Jacques Monod	Моно, Жак
O͘-liông-tê	Улун
Setagaya-khu	Сэтагая
Ài-kok-koa (Tiâu-sián Bîn-chú-chú-gī Jîn-bîn Kiōng-hô-kok)	Гимн Корейской Народно-Демократической Республики
Sofía Vergara	Вергара, София
Mary Astor	Мэри Астор
M lí-lūn	М-теория
Rem Koolhaas	Колхас, Рем
2007 nî 6 goe̍h	Июнь 2007 года
Chū-iû Bîn-chú Tóng	Либерально-демократическая партия (Япония)
Mûi Iām-hong	Муи, Анита
Arakawa-khu	Аракава (специальный район)
Katusika-khu	Кацусика
Suginami-khu	Сугинами
Itabasi-khu	Итабаси
Taitô-khu	Тайто (специальный район)
Nerima-khu	Нэрима
Balaenopteridae	Полосатиковые
Chhài-koe	Люффа
Chiàn-kut	Крестец
Matteo Ricci	Риччи, Маттео
Sinagawa-khu	Синагава
Mori Yosirô	Мори, Ёсиро
Chiang Mai Hú	Чиангмай (провинция)
Kiōng-sán Tóng	Коммунистическая партия
2006 nî 7 goe̍h	Июль 2006 года
2007 nî 7 goe̍h	Июль 2007 года
2007 nî 2 goe̍h	Февраль 2007 года
2009 nî 3 goe̍h	Март 2009 года
Rockford, Illinois	Рокфорд (Иллинойс)
Meguro-khu	Мэгуро
John Pople	Попл, Джон
Chhoà Eng-bûn	Цай Инвэнь
Carlos Filipe Ximenes Belo	Белу, Карлуш
O͘-á-hî	Лобан
Rhea Perlman	Перлман, Реа
Pam Ferris	Феррис, Пэм
Nakano-khu	Накано (специальный район)
Í-sek-lia̍t (khu-pia̍t-ia̍h)	Израиль (значения)
Ìn-tō͘ Kiōng-sán Tóng (Marx-chú-gī Phài)	Коммунистическая партия Индии (марксистская)
Pêng-sêng	Период Хэйсэй
Harriet Martineau	Мартино, Гарриет
Elizabeth Blackwell	Блэкуэлл, Элизабет
Hirosue Ryôko	Хиросуэ, Рёко
Asada Mao	Асада, Мао
Flannery O'Connor	О’Коннор, Фланнери
Mélanie Laurent	Лоран, Мелани
Lynn Margulis	Маргулис, Линн
Dakota Blue Richards	Ричардс, Дакота Блю
Millvina Dean	Дин, Миллвина
Christian de Duve	Дюв, Кристиан де
Siina Ringo	Сиина, Ринго
Ueto Aya	Уэто, Ая
Utada Hikaru	Утада, Хикару
Vera Ignatyevna Mukhina	Мухина, Вера Игнатьевна
2007 nî 3 goe̍h	Март 2007 года
Betty Friedan	Фридан, Бетти
Martha Stewart	Стюарт, Марта
Diane Arbus	Арбус, Диана
Anne Heche	Хеч, Энн
Gemma Ward	Уорд, Джемма
Theda Bara	Теда Бара
Paz Vega	Вега, Пас
Chiam Éng-jiân	Чжань Юнжань
Mélissa Theuriau	Тёрьо, Мелисса
Clara Bow	Боу, Клара
2007 nî 8 goe̍h	Август 2007 года
2008 nî 10 goe̍h	Октябрь 2008 года
2009 nî 4 goe̍h	Апрель 2009 года
Sòaⁿ Kûn-tó	Острова Лайн
Chng Ka-iông	Чжуан Цзяжун
Lé-pài	Намаз
Yo-Yo Ma	Йо-Йо Ма
Tiong-soàⁿ (kí-hô-ha̍k)	Медиана треугольника
Broadway im-ga̍k-kio̍k	Бродвейский театр
Kita-khu (Tang-kiaⁿ-to͘)	Кита (специальный район)
Sumida-khu	Сумида
Miso	Мисо
2007 nî 11 goe̍h	Ноябрь 2007 года
Ethelfleda	Этельфледа Мерсийская
Michelle Kwan	Кван, Мишель
Doraemon	Дораэмон
Jennifer Saunders	Сондерс, Дженнифер
2006 nî 11 goe̍h	Ноябрь 2006 года
2008 nî 5 goe̍h	Май 2008 года
Songkhla Hú	Сонгкхла (провинция)
2009 nî 6 goe̍h	Июнь 2009 года
2007 nî 4 goe̍h	Апрель 2007 года
Kesennuma-chhī	Кесеннума
2007 nî 5 goe̍h	Май 2007 года
Nikkô-chhī	Никко
Thoân-thóng im-ga̍k	Народная музыка
Chloë Sevigny	Севиньи, Хлоя
Hino-chhī	Хино (Токио)
O-bí-tô-hu̍t	Амитабха
Satun Hú	Сатун (провинция)
2010 nî 2 goe̍h	Февраль 2010 года
2008 nî 4 goe̍h	Апрель 2008 года
Thài-kok-jī	Тайское письмо
Chiang Rai Hú	Чианграй (провинция)
Michael Welch	Уэлш, Майкл
2010 nî 1 goe̍h	Январь 2010 года
Lí Eng-ài	Ли Ён Э
Tosima-khu	Тосима (специальный район)
Joanna Cassidy	Кэссиди, Джоанна
Aberdeen, South Dakota	Абердин (Южная Дакота)
Khàm-téng ê Ponyo	Рыбка Поньо на утёсе
2007 nî 10 goe̍h	Октябрь 2007 года
2009 nî 7 goe̍h	Июль 2009 года
2009 nî 5 goe̍h	Май 2009 года
Krabi Hú	Краби (провинция)
Pattani Hú	Паттани (провинция)
2009 nî 11 goe̍h	Ноябрь 2009 года
2008 nî 11 goe̍h	Ноябрь 2008 года
Ranong Hú	Ранонг (провинция)
2006 nî 6 goe̍h	Июнь 2006 года
Hái-chháu	Морские водоросли
Julie Newmar	Джули Ньюмар
2009 nî 1 goe̍h	Январь 2009 года
Gî-lân-koān	Илань (Тайвань)
Carol Channing	Чэннинг, Кэрол
Richard Rogers	Роджерс, Ричард Джордж
2010 nî 6 goe̍h	Июнь 2010 года
Edith Cavell	Кэвелл, Эдит
Chhùi-koà-kut	Нёбная кость
Ôme-chhī	Оме (город)
Aizuwakamatu-chhī	Аидзувакамацу
Phichit Hú	Пхичит (провинция)
Jeanne Crain	Крейн, Джинн
Pài chó͘-sian	Культ предков
Pa-lí 5 khu	V округ Парижа
Chiu Kia̍t-lûn	Чоу, Джей
Kitagawa Kêko	Китагава, Кэйко
Kiú-liông	Коулун
Tông-hêng-hō	Омоглиф
2010 nî 5 goe̍h	Май 2010 года
Octavia Butler	Батлер, Октавия
Nakhon Sawan Hú	Накхонсаван (провинция)
Columbus, Georgia	Колумбус (Джорджия)
Dixie Carter	Картер, Дикси
Hirosima	Хиросима (значения)
Surat Thani Hú	Сураттани (провинция)
Akiruno-chhī	Акируно
Higasimurayama-chhī	Хигасимураяма (город)
Lampang Hú	Лампанг (провинция)
Phetchabun Hú	Пхетчабун (провинция)
Lamphun Hú	Лампхун (провинция)
Jîn-pún goân-lí	Антропный принцип
Higasiômi-chhī	Хигасиоми
Joan Rivers	Риверз, Джоан
Numazu-chhī	Нумадзу
Orhan Pamuk	Памук, Орхан
2000	2000 (число)
58	58 (число)
Noah Webster	Уэбстер, Ноа
Huntington, West Virginia	Хантингтон (Западная Виргиния)
Trat Hú	Трат (провинция)
2008 nî 12 goe̍h	Декабрь 2008 года
2008 nî 8 goe̍h	Август 2008 года
Sverre Fehn	Фен, Сверре
Otaru-chhī	Отару
2010 nî 10 goe̍h	Октябрь 2010 года
2010 nî 8 goe̍h	Август 2010 года
2010 nî 9 goe̍h	Сентябрь 2010 года
2010 nî 3 goe̍h	Март 2010 года
2010 nî 7 goe̍h	Июль 2010 года
2008 nî 9 goe̍h	Сентябрь 2008 года
Okazaki-chhī	Окадзаки
Koganei-chhī	Коганеи
Nisitôkyô-chhī	Ниситокё
Mitaka-chhī	Митака
2010 nî 4 goe̍h	Апрель 2010 года
Nonthaburi Hú	Нонтхабури (провинция)
Yala Hú	Яла (провинция)
Lí Óan-tiat	Ли Юаньчжэ
2009 nî 10 goe̍h	Октябрь 2009 года
2009 nî 8 goe̍h	Август 2009 года
Luis Barragán	Барраган, Луис
2008 nî 7 goe̍h	Июль 2008 года
2011 nî 1 goe̍h	Январь 2011 года
Tùi-hoán-pêng lâ-sng	Транс-жиры
Chek-soh	Хорда (зоология)
Jascha Heifetz	Хейфец, Яша
Ketamin	Кетамин
Amnat Charoen Hú	Амнатчарен (провинция)
Ang Thong Hú	Ангтхонг (провинция)
Trang Hú	Транг (провинция)
Phatthalung Hú	Пхаттхалунг (провинция)
Nisinomiya-chhī	Нисиномия
Abiko-chhī	Абико
Higasiôsaka-chhī	Хигасиосака
Holguín	Ольгин (город)
Iâm-tiâⁿ	Соляной пруд
Lâm Chiàⁿ Hái-ang	Южный гладкий кит
Zwettl	Цветль
Phayao Hú	Пхаяу (провинция)
Prachuap Khiri Khan Hú	Прачуапкхирикхан (провинция)
Uthai Thani Hú	Утхайтхани (провинция)
Phrae Hú	Пхрэ (провинция)
Nakhon Si Thammarat Hú	Накхонситхаммарат (провинция)
Chumphon Hú	Чумпхон (провинция)
Peso	Песо
Nan Hú	Нан (провинция)
Phetchaburi Hú	Пхетчабури (провинция)
Sin-pak-chhī	Синьбэй
Jī-jī-pat Sū-kiāⁿ	Инцидент 228
Tâi-tiong-chhī	Тайчжун
Hiān-tāi kiàn-tio̍k	Архитектурный модернизм
2011 nî 3 goe̍h	Март 2011 года
Lâu Pī	Лю Бэй
2010 nî 11 goe̍h	Ноябрь 2010 года
2011 nî 2 goe̍h	Февраль 2011 года
Tiān-kong liap-iáⁿ	Рентгенография
Chù-siā	Инъекция
Kok-chè I-su Ī-hông Hu̍t-chú Chiàn-cheng Hoē	Врачи мира за предотвращение ядерной войны
Pa-lí 6 khu	VI округ Парижа
Amphicyonidae	Амфиционовые
Kôsyû-chhī	Косю
Tiong-kok Jîn-bîn Gîn-hâng	Народный банк Китая
Hoa-liân-koān	Хуалянь (уезд)
Kim-mn̂g-koān	Цзиньмэнь
Tâi-tang-koān	Тайдун (уезд)
Sin-tek-chhī	Синьчжу
Ka-gī-chhī	Цзяи
Ke-lâng-chhī	Цзилун
Hù-séng-kip siâⁿ-chhī	Город субпровинциального значения (КНР)
Bad Ischl	Бад-Ишль
Sankt Johann im Pongau	Санкт-Иоганн-им-Понгау
Amstetten	Амштеттен
Vöcklabruck	Фёклабрук
Álvaro Siza Vieira	Сиза Виейра, Алвару
Liberté, Égalité, Fraternité	Свобода, равенство, братство
Pak-tâu-khu	Бэйтоу
Tāi-an-khu (Tâi-pak-chhī)	Даань (Тайбэй)
Eng-lí	Миля
Sezima Kazuyo	Сэдзима, Кадзуё
FIFA	ФИФА
Evgenyya Olegovna Kanaeva	Канаева, Евгения Олеговна
Ganna Volodymyrivna Bezsonova	Бессонова, Анна Владимировна
Chn̂g Tì-hiân	Чун, Джианна
Wörgl	Вёргль
Iûⁿ Sêng-lîm	Рейни Ян
Ibaraki	Ибараки (значения)
Lí Hiang-lân	Ли Сянлань
Miyazaki Aoi	Миядзаки, Аой
Krym Chiàn-cheng	Крымская война
Fernando Sor	Сор, Фернандо
Bischofshofen	Бишофсхофен
Sū-lîm-khu	Шилинь
Le̍k-khóng-chhiok	Зелёный павлин
Hallein	Халлайн
Bertrand Delanoë	Деланоэ, Бертран
Ansfelden	Ансфельден
600	600 (число)
Tiâu-sián Ko-chong	Коджон
Il Postino	Почтальон (фильм, 1994)
Oliver Sacks	Сакс, Оливер
Motorola	Motorola
Hō͘ (jîn-kháu-ha̍k)	Домохозяйство
Tai-á-bí	Пшено
Pa-lí 7 khu	VII округ Парижа
Khiò	Колдовство
Bruck an der Mur	Брукк-ан-дер-Мур
Enns	Энс (город)
Traun	Траун (город)
OpenType	OpenType
Steyr	Штайр
Liân-pang-chiu	Федеральная земля
Jean Bourgain	Бургейн, Жан
Hiān-si̍t-chú-gī	Реализм
Les Paul	Лес Пол
Mephedrone	Мефедрон
Edie McClurg	Макклёрг, Эди
Bô chheng-khì ê tōng-bu̍t	Нечистые животные
Sèng-tek Thài-chú	Сётоку (принц)
Kôriyama-chhī	Корияма
Indra Nooyi	Нуйи, Индра
Kitami-chhī	Китами (город)
Kut	Кость
Neunkirchen, Niederösterreich	Нойнкирхен (Австрия)
Amuro Namie	Амуро, Намиэ
Odawara-chhī	Одавара
Ried im Innkreis	Рид (Инкрайс)
Wakkanai-chhī	Вакканай
Atom	Atom
Isparta (séng)	Ыспарта (ил)
Gotô Midori	Гото, Мидори
Tutuila Tó	Тутуила
Mae Hong Son Hú	Мэхонгсон (провинция)
Tatikawa-chhī	Татикава
Aisai-chhī	Айсай
Rheinfelden	Райнфельден
Kok-chè Sai-á-hoē	Lions Clubs International
Sím Koat	Шэнь Ко
Pa-lí 8 khu	VIII округ Парижа
2008 nî 3 goe̍h	Март 2008 года
2008 nî 6 goe̍h	Июнь 2008 года
2007 nî 12 goe̍h	Декабрь 2007 года
Rikuzentakata-chhī	Рикудзентаката
Hamura-chhī	Хамура
Nakasima Mika	Накасима, Мика
2006 nî 8 goe̍h	Август 2006 года
Anzyô-chhī	Андзё
Itinomiya-chhī	Итиномия
Isinomaki-chhī	Исиномаки
Hirakata-chhī	Хираката
Tāi-tông-khu	Датун (Тайбэй)
Lāi-ô͘-khu	Нэйху
Hunabasi-chhī	Фунабаси
Narathiwat Hú	Наратхиват (провинция)
Tugaru Hái-kiap	Сангарский пролив
Samut Prakan Hú	Самутпракан (провинция)
John E. Sulston	Салстон, Джон
Choân-sèng-loân	Пансексуальность
Itoku Thian-hông	Император Итоку
Ipoh	Ипох
Michel-Eugène Chevreul	Шеврёль, Мишель Эжен
Nakhon Ratchasima Hú	Накхонратчасима (провинция)
Lô͘-sái	Шлак
Kusiro-chhī	Кусиро
Chún-khak kah cheng-bi̍t	Точность
Suphanburi Hú	Супханбури (провинция)
2006 nî 4 goe̍h	Апрель 2006 года
Matanzas	Матансас
Si̍t-giām-sek	Эмпирическая формула
Çankırı (séng)	Чанкыры (ил)
Èng-chhài	Ипомея водяная
Rosie O'Donnell	О’Доннелл, Рози
Çorum (séng)	Чорум (ил)
Le̍k-sek êng-kng nn̄g-pe̍h-chit	Зелёный флуоресцентный белок
Tampico	Тампико
Roald Hoffmann	Хоффман, Роалд
Kià-seⁿ-á	Раки-отшельники
Phang Nga Hú	Пхангнга (провинция)
Chù-siā-tâng	Шприц
Mn̂g-khí	Резцы
Rapunzel	Рапунцель
Uttaradit Hú	Уттарадит (провинция)
Narita-chhī	Нарита
Kamphaeng Phet Hú	Кампхэнгпхет (провинция)
Tukuba-chhī	Цукуба
Beppu-chhī	Беппу
Iwaki-chhī	Иваки
Ngô͘ (Sam-kok)	У (Троецарствие)
Upolu Tó	Уполу
Hông-hú-che	Консерванты
Palm OS	Palm OS
Loē-koh Chóng-lí Tāi-sîn	Премьер-министр Японии
Pa-lí 9 khu	IX округ Парижа
Chaiyaphum Hú	Чайяпхум (провинция)
Loei Hú	Лей (провинция)
Keng-chhiu	Китовый ус
Peh-cho̍k	Бай (народ)
Chū-ōe-tūi	Силы самообороны Японии
Sek-khia	Сахарное яблоко
Kanchanaburi Hú	Канчанабури (провинция)
Tak Hú	Так (провинция)
Phitsanulok Hú	Пхитсанулок (провинция)
Xuxa	Шуша (певица)
2011 nî 11 goe̍h	Ноябрь 2011 года
2010 nî 12 goe̍h	Декабрь 2010 года
2011 nî 5 goe̍h	Май 2011 года
2011 nî 4 goe̍h	Апрель 2011 года
2009 nî 12 goe̍h	Декабрь 2009 года
Tâi-tiong Kong-hn̂g	Парк Тайчжун
92	92 (число)
Mödling	Мёдлинг
Tiong-gôan Tiong-iā	Накахара, Тюя
84	84 (число)
Anthony Horowitz	Горовиц, Энтони
Myoko-chhī	Мёко (Ниигата)
96	96 (число)
Carnassial	Хищные зубы
George 6-sè	Георг VI
Osmaniye (séng)	Османие (ил)
Ni-khí	Молочные зубы
Siōng Chin	Сё Син
Inabe-chhī	Инабе
43	43 (число)
Hái-iâm	Морская соль
Charles Fefferman	Фефферман, Чарльз Луис
Murakami-chhī	Мураками (Ниигата)
Jason Bateman	Бейтман, Джейсон
87	87 (число)
Imelda Marcos	Маркос, Имельда Ромуальдес
Ia̍p Bi̍t-hô	Эверсон, Майкл
Cephaloscyllium signourum	Cephaloscyllium signourum
Tek-chhoan Khèng-hí	Токугава Ёсинобу
Carl Reiner	Райнер, Карл
Marjorie Estiano	Маржори Эстиано
Kayano Sigeru	Каяно, Сигэру
Nirasaki-chhī	Нирасаки
54	54 (число)
Mariana Ximenes	Шименес, Мариана
Giovanna Antonelli	Антонелли, Джованна
George Clinton	Клинтон, Джордж
Nagasaki	Нагасаки (значения)
Martin Landau	Ландау, Мартин
Terry Fox	Фокс, Терри
Nagano	Нагано (значения)
George Herbert Mead	Мид, Джордж Герберт
Terence Tao	Тао, Теренс
Se-khu	Западный район
Hông Thài-ke̍k	Айсиньгиоро Абахай
Iû-chhái	Масляные краски
Rabiyä Qadir	Кадир, Рабия
Michael Gough	Гоф, Майкл
Kong-sū Hông-tè	Гуансюй
Ned Kelly	Келли, Нед
Tate Donovan	Донован, Тейт
Hall in Tirol	Халль-ин-Тироль
Audrey Tautou	Тоту, Одри
Sam-pan	Макропод
Tanabe-chhī	Танабе
Abasiri-chhī	Абасири (город)
Abbas 1-sè (Ai-ki̍p)	Аббас I Хильми
Tang-kok Tek-gí	Австрийский вариант немецкого языка
Tong Chiu	Восточная Чжоу (династия)
Herzog & de Meuron	Херцог и де Мёрон
Tang-kiaⁿ-to͘ ê te̍k-pia̍t-khu	Специальные районы Токио
Martin Freeman	Фримен, Мартин
Will Wright	Райт, Уилл
Michael Cera	Сера, Майкл
Lîm Su-hô	Лин, Джереми
Pietro Lorenzetti	Лоренцетти, Пьетро
Charles Ives	Айвз, Чарлз
