ཏཱལ་་ལིན།	Таллин
རི་ག	Рига
བ་ར་ཏིསི་ལ་བ།	Братислава
བུ་ད་ཕེ་སིད།	Будапешт
ལུ་སེམ་བའུརག (གྲོང་རྡལ།)	Люксембург (город)
བ་དུ་ཛི།	Вадуц
གསུང་རབ།	Библия
སན་མ་རི་ནོ། (གྲོང་རྡལ།)	Сан-Марино (город)
ཕོམ་ཕེན།	Пномпень
ཧོ་ཀྲི་མིན་གྲོང་ཁྱེར།	Хошимин
ཧེ་ནོ།	Ханой
སྟོན་པ་ཡེ་ཤུའི་ཆོས་ཚོགས།	Церковь истинного Иисуса
དབྱིན་ཇིའི་སྐད།	Английский язык
པན་ཀོག	Бангкок
ཨན་ཌོར་ར་གྲོང་ཁྱེར།	Андорра-ла-Велья
ཁལ་ལུང་ཕུ།	Куала-Лумпур
ཐའེ་པེ	Тайбэй
ཕྱི་འབྲིལ།	Дипломатия
ཀིབ།	Киев
ཨོ་ཏ་ཝ།	Оттава
ཡེ་རེ་ཝན།	Ереван
ཏ་རེ་སི་ས་ལམ།	Дар-эс-Салам
ཁར་ཏུམ།	Хартум
༢༠༠༩	2009 год
ཝེ་རོ་ན།	Верона
ཧྥུ་ལོ་རོན་ཟིའུ་ཡ།	Флоренция
ཨེ་ཏི་མོན་ཐོན།	Эдмонтон
སྦྲུལ།	Змеи
ཁ་ཐོག་གི་ཆགས་སྦྱོར།	Оральный секс
ཁོའོ་ལུ་ཧྲི།	Колюш
ལུའོ་མུའུ་ལུའོ་སི་དང་རུའེ་མོ་སི།	Ромул и Рем
ཞི་པི་ཨ་ཨ་ཧྥེ་རི་ཁ་ནུའོ་སི།	Публий Корнелий Сципион Африканский
མིན་སིཀ།	Минск
རྫས་འགྱུར་རིག་པ།	Химия
༡༩༨༩	1989 год
༡༩༨༡	1981 год
མོ་ག་དི་ཤུ།	Могадишо
ན་སའོ། (བ་ཧ་མཱ་སི།)	Нассау (Багамские Острова)
ས་ནཱ།	Сана
ཐ་ར་ཝ།	Тарава (атолл)
རྐང་རྩེད་སྤོ་ལོ།	Футбол
ཡཱ་ཁོ་དང་ཝེ་ལེམ་.ཀོ་ལིམ།	Братья Гримм
མ་ད་རིད།	Мадрид
ཁོལ་ཁོལ་ཁུ་ནག	Кока-кола
མའེ་ཁོའོ་ཅས་ཁ་ཤུན།	Джексон, Майкл
ཚད་རིམས།	Грипп
པོ་གོ་ཏ	Богота
པུ་རུ་ཟི་ལི་ཡ།	Бразилиа
ལི་མ།	Лима
སཱན་ཏི་ཡ་གོ (ཅི་ལི།)	Сантьяго
ཁེ་ཐོ།	Кито
སུ་ཁུ་རེ།	Сукре (город)
བ་ཕྱུགས་	Молочный скот
ཨ་སུན་སི་འན།	Асунсьон
ར་མ།	Коза домашняя
ཝེ་ཧི་ས་ཡེ་ཕོ་བྲང་།	Версаль
རང་དབང་།	Свобода
པེ་ར་མེ་རི་བོ།	Парамарибо
ཀ་ཏ་མན་ཏུ།	Катманду
པེར་མོ་ཕན།	Бельмопан
སན་ཇོ་སེ། (ཁོ་ས་ཏ་རི་ཁ།)	Сан-Хосе (Коста-Рика)
སན་སལ་ཝ་ཌོར།	Сан-Сальвадор
ཁན་པེ་ར།	Канберра
སིད་ནེ།	Сидней
ལྗང་ཁུ།	Зелёный цвет
མེར་བུན	Мельбурн
དམར་པོ།	Красный цвет
ཨ་ཝེ་རོང་།	Аверон
ཐེ་གུ་སི་གེ་པ།	Тегусигальпа
མ་ན་གུ་འ།	Манагуа
པ་ན་མ། (གྲོང་རྡལ།)	Панама (город)
ཁོང་ཀོ་གཙང་པོ།	Конго (река)
ར་བ་ཐེ།	Рабат
ཨཱལ་ཇི་ཡར་སི།	Алжир (город)
ཊུ་ནིསི།	Тунис (город)
ཐི་རི་ཕོ་ལི	Триполи
ཇི་བའོ་ཊི། (གྲོང་རྡལ།)	Джибути (город)
ཏེ་ཧི་རན།	Тегеран
ཨ་ཌི་སི་ཨ་བ་བ།	Аддис-Абеба
ཊ་ཁར་ཏ།	Джакарта
ཨན་ཁ་ར།	Анкара
ཨཱ་སི་མི་ར།	Асмэра
ཇ་མི་ན།	Нджамена
ནི་ཡ་མེ།	Ниамей
ནའུ་ཀ་ཅོ་ཊི།	Нуакшот
རིས་ཡག	Эр-Рияд
བ་མ་ཀོ།	Бамако
བེལ་གེ་རེ་ཌི།	Белград
ཌ་ཀར།	Дакар
བཱན་ཇཱུ་ལ།	Банжул
ཀོ་ནཀ་རི།	Конакри
བི་སའོ།	Бисау
Category:སྒྲོམ་གཞི།	Категория:Википедия:Шаблоны
མོང་རོ་ཝི་ཡ།	Монровия
ཕུ་ར་ཡ།	Прая
ཇ་ཝ།	Ява
ཨ་ཁ་ར།	Аккра
དྷ་མ་སི་ཁོ་སི།	Дамаск
ཡམ་སོ་ཁེ་རོ།	Ямусукро
ཨོ་འ་ག་དོའུ་གོའུ།	Уагадугу
ཕིརི་ཊའུན།	Фритаун
