अफ्रीका	Африка
इभ	Ева
लेखापरीक्षण प्रतिवेदन	Аудиторский отчёт
मझौला माटीकोरे	Большой голубой зимородок
लरवान	Снежная куропатка
एर्फर्ट कार्यक्रम	Эрфуртская программа
शिशु मृत्युदर	Младенческая смертность
भारत कम्युनिष्ट पार्टी	Коммунистическая партия Индии
धर्के मुसेफिस्टो	Пятнистый сверчок
मंगलको उपनिवेशन	Колонизация Марса
शेबेरघन	Шибарган
रोम सन्धि	Римский статут Международного уголовного суда
नास्पाती	Груша грушелистная
इरिटेबल बउल सिन्ड्रोम	Синдром раздражённого кишечника
कथकली	Катхакали
कोचलगाँडे लाटोकोसेरो	Браминский сыч
चिबे	Дронговые
चिलिमे (चरा)	Итагин
नादुन हाँस	Пестроносая кряква
कन्नड लिपी	Каннада (письмо)
राष्ट्रिय प्रजातान्त्रिक एकता	Национальное демократическое объединение
कालिज	Чёрная лофура
स्मृति	Смрити
हिमाली मलेवा	Белогрудый голубь
पुरुष प्रजनन प्रणाली	Мужская половая система
ग्लूकोमीटर	Глюкометр
भक्तपुर	Бхактапур
स्त्री प्रजनन प्रणाली	Женская половая система
मछलीपट्टनम	Мачилипатнам
लागर बाज	Лаггар
लामाऔंले जलरङ्क	Длиннопалый песочник
महाजनपद	Махаджанапады
अवर्धनात्मक रक्त अल्पता	Апластическая анемия
गुलाम वंश	Мамлюкская династия (Дели)
सहनाई	Шахнай
भेनेजुएला कम्युनिष्ट पार्टी	Коммунистическая партия Венесуэлы
मीमांसा	Миманса
महाशिवरात्री	Махашиваратри
श्रम दिवस	День труда (США)
कालीगण्डकी नदी	Гандак
चन्द्रगुप्त	Чандрагупта I
ज्याकेट	Куртка
दत्तात्रेय	Даттатрея
सादाकण्ठे मुसेफिस्टो	Сверчки (птицы)
पहाडी श्येनबाज	Мохноногий курганник
दह	Дахи (союз племён)
होली स्टिभन्स	Холли Стивенс
आमसञ्चार	Массовые коммуникации
घोवा	Тибетский дзерен
काल भैरव (काठमाडौं)	Бхайрава
भक्ति योग	Бхакти-йога
बेहुला	Жених
भट्टराई	Бхаттараи
गुर्जो	Луносемянниковые
नांदेड़	Нандед
पेपरोनी	Пепперони
विश्व जनसंख्या दिवस	Всемирный день народонаселения
विद्यूतीय प्रजातन्त्र	Электронная демократия
कुर्था सुरुवाल	Курта (одежда)
कालपेचक	Иглоногая сова
फुन्छोलिङ्ग	Пхунчолинг
भेडेकुरो	Дурнишник обыкновенный
ब्रह्मपुर	Берхампур
बक्सर	Буксар (город)
कुखुरा पालन	Птичник
घनमूल	Куб (алгебра)
ठूलो माटीकोरे	Аистоклювый гуриал
पूर्वोत्तर भारत	Северо-Восточная Индия
लामोठुँडे माकुरीचरी	Белогорлая нектарница-пауколовка
टि-ब्याग	Чайный пакетик
वालडेन	Уолден, или Жизнь в лесу
राजगीर	Раджгир
महिला कण्डम	Женский презерватив
जैतुन (रङ्ग)	Оливковый цвет
कल्प	Кальпа
रेसम खेती	Шелководство
जवाहरलाल नेहरू रंगशाला, दिल्ली	Джавахарлал Неру (стадион)
नोबेल पुरस्कार विजेता महिलाहरूको सूची	Список женщин — лауреатов Нобелевской премии
वीरेन्द्रनगर नगरपालिका	Бирендранагар
केदारनाथ मन्दिर	Храм Кедарнатха
ड	Мурдханья дакар
ट्वान्टी२०	Twenty20
एनडीएम-१	NDM-1
चैतन्य महाप्रभु	Чайтанья
फाहिता	Фахита
कैलकोखे चुइयाँ	Американский конёк
भगांकुर	Клитор
पाकेटमार	Вор-карманник
यौन दासत्व	Сексуальное рабство
समद्विबाहु त्रिभुज	Равнобедренный треугольник
इन्चिलाडा	Энчилада
संबलपुर	Самбалпур
इटावा	Этавах
मधुमक्षी भक्षका	Синебородая ночная щурка
बौद्धनाथ	Боднатх
द्रोणाचार्य	Дрона
काशीरामनगर जिल्ला	Канширамнагар
पब्लिक कम्पनी	Публичная компания
ब्रह्मचर्य	Брахмачарья
हिउँदे चुइयाँ	Степной конёк
राई जाति	Раи (народ)
कागती (रङ्ग)	Лайм (цвет)
टिष्टा नदी	Тиста
साल	Сал (растение)
२०११ क्रिकेट विश्वकप	Чемпионат мира по крикету 2011
नक्सलवादी आन्दोलन	Наксалиты
डुन्डुल	Джунглевый воробьиный сыч
वेस्ट इन्डिज राष्ट्रिय क्रिकेट टिम	Сборная Вест-Индии по крикету
लामठुँडे राजपुत्रिका	Уссурийский зуёк
टुइँसी सुगा	Красноголовый кольчатый попугай
क्लाउड स्टोरेज	Облачное хранилище данных
मद्दत:सहायता विषयसूचि	Википедия:Справка
विकिपीडिया:स्वशिक्षा	Википедия:Первые шаги
थान्का	Танка (живопись)
रायचूर	Райчур
वेदांग	Веданга
राज लोखर्के	Двухцветная белка
पापड	Пападам
लोहरदग्गा	Лохардага
हिमाली फ्याउमुसो	Гималайский сурок
महालङ्गुर हिमश्रृङ्खला	Махалангур-Химал
होमराई	Непальский калао
धृतराष्ट्र	Дхритараштра
हिउँ नृत्य	Спортивные танцы на льду
असुरो	Юстиция сосудистая
होशियारपुर	Хошиарпур
गणेश चतुर्थी	Ганеша-чатуртхи
भोजपत्र	Берёза полезная
घनश्याम पाण्डे	Сахаджананда Свами
कोदो	Дагусса
भासोलूक	Коромандельский филин
साधारण शल्यक्रिया	Общая хирургия
पद्मभूषण	Падма Бхушан
खयर	Акация катеху
ढोलक	Дхолак
अल्मोदोबार	Алмодовар
गंगटे न्याउरीमुसा	Мангуст-крабоед
उन्नाव	Уннао
सिरोही	Сирохи
कमल मंदिर	Храм Лотоса
कालासयवालहरू	Черносотенцы
मोहिनीअट्टम	Мохини-аттам
काँसी अमला	Антильский крыжовник
पलाँसको बोट	Бутея односемянная
लिन्ड्से मिडोस	Медоуз, Линдси
सनी देओल	Деол, Санни
सिलचर	Силчар
सवाई माधोपुर	Савай-Мадхопур
फेन्टम	Фантом (персонаж)
सरसफाइ	Санитария
कथक	Катхак
पालनपुर	Паланпур
इलाम नगरपालिका	Илам (Непал)
काउसो	Мукуна жгучая
बाणगंङ्गा	Капилавасту
चुवा (वनस्पति)	Плюмерия тупая
फोर्ब्स	Forbes
दुर्ग	Дург
खोले हुटिट्याउँ	Vanellus duvaucelii
तुलसी	Туласи
बाँसुरी	Бансури
पंतनगर	Пантнагар
गुगल कोड	Google Code
प्रजनन (फर्टिलिटी)	Фертильность
मिक्सोडेमा	Микседема
काठमाडौं उपत्यका	Долина Катманду
लेप्चा	Лепча (народ)
छोटोठुँडे चुइयाँ	Конёк Годлевского
गुगल स्काई	Google Sky
ब्रह्माण्ड पुराण	Брахманда-пурана
सूत्र	Математическая формула
शैलेन्द्रकुमार उपाध्याय	Упадхьяя, Шаилендра Кумар
ढाँचा:ज्ञानसन्दूक फिलिम	Братан Мунна 2
युधिष्ठिर	Юдхиштхира
सूर्यबहादुर थापा	Сурья Бахадур Тхапа
सेनानी	Майор
पॉण्डिचेरीका जिल्लाहरु	Пудучерри (округ)
रक्तनली	Кровеносные сосуды
मुद्रा सटही	Меняла
मेसेज इन अ बोट्ल	Послание в бутылке (значения)
रायबरेली	Рай-Барели
रीवा	Рева (Индия)
टोंक	Тонк
झुंझुनू	Джхунджхуну
जगदलपुर	Джагдалпур
बुरुली अल्सर	Язва Бурули
देवबंद	Девабанд
बल्ड्याङ्ग्रा	Цезальпиния бондук
चिकबलपुर	Чикбаллапур
सौराहा (चितवन)	Саураха
सर्पको मकै	Аризема извилистая
नेपालगञ्ज उपमहानगरपालिका	Непалгандж
मुक्तिनाथ	Муктинатх
जालौर	Джалор
जौनपुर	Джаунпур
प्रतापगढ जिल्ला	Пратапгарх (Уттар-Прадеш)
ढाँचा:Location map Sri Lanka	Шаблон:ПозКарта Шри-Ланка
बाल वेश्यावृति	Детская проституция
नेपाली (स्पष्टता)	Непали
विपरीत लैङ्गिकता	Гетеросексуальность
मदना सुगा	Гималайский кольчатый попугай
अल्ताई लेकचरी	Гималайская завирушка
शीताङ्ग	Гипотермия
झिङ्गे माछा	Омары
चार्ली हेब्डो	Charlie Hebdo
तेन्जिङ-हिलारी विमानस्थल	Аэропорт имени Тэнцинга и Хиллари
मोबाइल इन्टरनेट	Мобильный интернет
अग्नि-५	Агни-V
राजहुटिट्याउँ	Серый чибис
कालोटाउके माटीकोरे	Ошейниковая альциона
राक्षस	Ракшасы
वाट्सऐप	WhatsApp
कोज प्रमेय	Теорема Коуза
नारायणहिटी दरवार संग्रहालय	Дворец-музей Нараянхити
माछापुच्छ्रे हिमाल	Мачапучаре
पुरुष	Пуруша
केन्द्रीय अन्वेषण ब्यूरो	Центральное бюро расследований
संस्कृत साहित्य	Санскритская литература
साधारण भाषा दर्शन	Философия обыденного языка
द्रौपदी	Драупади
उत्तर भारत	Северная Индия
ई.पू. ५३३	533 год до н. э.
ई.पू. ५३०	530 год до н. э.
ई.पू. ५७४	574 год до н. э.
ई.पू. ५७७	577 год до н. э.
ई.पू. ५७९	579 год до н. э.
ई.पू. ५८४	584 год до н. э.
ई.पू. ५८५	585 год до н. э.
ई.पू. ५९६	596 год до н. э.
ई.पू. ५९४	594 год до н. э.
पाटागोनियन मरुभूमि	Патагонская пустыня
चामुण्डा	Чамунда
मधुमालती फूल	Квисквалис индийский
पेटिकोट	Нижняя юбка
शाक्य	Шакья
रणबीर कपुर	Капур, Ранбир
हिमाली पिउरा	Тибетская куропатка
हरित हिमसुधा	Огненнохвостая тимелия
सिरक	Стёганое полотно
PIA उड़ान 268	Катастрофа A300 под Катманду
कुमारी ( जीवित देवी)	Кумари
टीमभ्यूअर	TeamViewer
लघु महाचील	Индийский подорлик
सूचना प्रौद्योगिकी संस्थान LNM	Коммуникационная сеть
इन्द्रकमल	Гардения жасминовидная
ठूलो डुन्डुल	Кукушковый воробьиный сыч
बौद्ध धर्ममा पञ्चशील	Пять священных заповедей
चितवन राष्ट्रिय निकुञ्ज	Национальный парк Читван
चित्रक पिट्टा	Черноголовая питта
मिश्रको सशस्त्र बल	Египетские вооружённые силы
महाविद्या	Дашамахавидья
जैव-उद्विकास	Эволюционизм
मिथिला	Митхила
धर्मशास्त्र	Дхармашастры
घोल कस्दरी	Красноногий погоныш
सफ्टवेयर स्वतन्त्रता	Движение свободного программного обеспечения
साधारण सभा	Общее собрание акционеров
स्वास्थ्य	Велнес
टाटे सिमी	Лобия
नेपाल अधिराज्य	Королевство Непал
डाना वेसपोली	Дана Весполи
बाह्य भगोष्ठ	Большие половые губы
साधारण शेयर	Обыкновенная акция
सेतोकण्ठे कस्तुरी	Гималайская кабарга
नागेश्वर ज्योतिर्लिङ्ग मन्दिर	Нагешвара
छुर्पी	Чхурпи
भारतीय स्वतन्त्रता संग्राम	Индийское национально-освободительное движение
भीमाशंकर	Бхимашанкар
ॐकारेश्वर	Омкарешвар
द पिल्ग्रिमेज	Дневник мага
आषाढ	Ашадха
टी.एन.टी एक्सप्रेस	TNT Express
ललितपुर जिल्ला	Лалитпур (район)
ऐतरेय उपनिषद्	Айтарея-упанишада
कठोपनिषद्	Катха-упанишада
कटुसवदन माटीकोरे	Пламенная альциона
अरुण नदी	Арун (приток Коси)
मरिचमान सिंह श्रेष्ठ	Шрестха, Марич Ман Сингх
रतिरहस्य	Кокошастра
वास्तुशास्त्र	Васту-шастра
तुगलक वंश	Туглакиды
नक्षत्र	Накшатра
लिभरपुल फुटबल क्लब	Ливерпуль (футбольный клуб)
कोक्रो	Колыбель
टेस्ट क्रिकेट	Тестовый матч (крикет)
तराई	Тераи
रानी ऐश्वर्य राज्यलक्ष्मी शाह	Айшвария
दार्जीलिङ जिल्ला	Дарджилинг (округ)
सौर्य पानी हिटर	Солнечный водонагреватель
भेरोनिका डिसाइडस् टु डाइ	Вероника решает умереть
भारतमा गणतन्त्र दिवस	День республики (Индия)
नुप्त्से	Нупцзе
१९७५ क्रिकेट विश्वकप	Чемпионат мира по крикету 1975
मइमी यजिमा	Ядзима, Майми
धर्के मलसाँप्रो	Белополосая ласка
संयुक्त राष्ट्रसंघीय आर्थिक र सामाजिक आयोग एसिया र प्रशान्त	Экономическая и социальная комиссия для Азии и Тихого океана
जैर	Иаир из Галаада
भारत राष्ट्रिय क्रिकेट टिम	Сборная Индии по крикету
न्युजिल्यान्ड राष्ट्रिय क्रिकेट टिम	Сборная Новой Зеландии по крикету
नादिया जिल्ला	Надия
सोमनाथ मन्दिर	Сомнатх
मीर्जापुर जिल्ला	Мирзапур (округ)
गोरखपुर जिल्ला	Горакхпур (округ)
स्वयम्भूनाथ	Сваямбунатх
तामाङ जाति	Таманги
अन्तर्राष्ट्रिय नर्सिङ दिवस	Международный день медицинской сестры
गरम मसला	Карри (приправа)
सर्पगन्धा	Раувольфия змеиная
कलकत्ता विश्वविद्यालय	Калькуттский университет
हिमालचुली	Хималчули
दुर्गा पूजा	Дурга-пуджа
रात्रीकमिज	Ночная рубашка
जवाहरलाल नेहरू विश्वविद्यालय	Университет Джавахарлала Неру
धर्ना	Сидячая демонстрация
असारे फूल	Лагерстрёмия индийская
भुक्तानी	Платёж
भारतका जिल्लाहरु	Округа Индии
पश्चिमी भारत	Западная Индия
आगम बौद्ध	Агамы (буддизм)
दक्ष प्रजापति	Дакша
डमरू	Дамару
दान	Дана (индуистская этика)
महाराजा	Махараджа
मलयालम लिपि	Малаялам (письмо)
टाईटन तृतीय ई	Titan IIIE
नेपाली व्याकरण	Грамматика языка урду
ट्वाकेफूल	Беламканда китайская
डेहरी	Дехри
जुरे बगेडी	Хохлатый мелофус
ऐ	Айкар
देवघर	Деогхар
नेटवर्क	Сетевой компьютер
फेवा ताल	Пхева (озеро)
हिन्दू धर्मको इतिहास	История индуизма
नेपाली व्यञ्जन	Непальская кухня
एकादशी	Экадаши
दुधकोशी नदी	Дудх-Коси
विकिपीडिया:नेपाली दूतावास	Википедия:Посольство
अ स्क्यानर डार्क्ली	Помутнение
द फिफ्थ् माउन्टेन	Пятая гора
डेस्टिनेसन अननोअन (उपन्यास)	Место назначения неизвестно
पुस्तान्तर	Разрыв поколений
फेटावाल लंगुर	Semnopithecus hector
जनवरी २०१३	Январь 2013 года
ध्यान (बौद्ध)	Буддийская медитация
ढोल	Дхол (музыкальный инструмент)
राजघाट समाधि परिसर	Радж Гхат
महिलारोग शास्त्र	Гинекология
पौडी (स्पष्टता)	Плавание (значения)
डिम्बबाहिनी नली	Фаллопиевы трубы
दस्तावेज स्वतन्त्रता दिवस	День свободы форматов данных
रानी	Queen (значения)
परिमेय संख्या	Рациональное число
विमानस्थल	Аэропорт
चिन्तामणी नागेश रामचन्द्र राव	Рао, Чинтамани Нагеса Рамачандра
पञ्चशील	Пять принципов мирного сосуществования
दौड गाविस	Давуд
सतार जाति	Санталы
सिम तित्रा	Болотный турач
पहाडी शदलचील	Горный хохлатый орёл
सारौं	Бурая майна
बेसरा	Малый перепелятник
देवास	Девас
द्वारकाधिश मन्दिर	Храм Дваракадиши
विक्रमादित्य	Викрамадитья
कैलो मलाहा हुचील	Гималайский рыбный филин
पहेंलोखुट्टे गट्टेबट्टाई	Пятнистая трёхперстка
गुलाफीटाउके सुगा	Розовоголовый кольчатый попугай
चाकासूचक	Индийский медоуказчик
लौका	Лагенария обыкновенная
थारु जाति	Тхару
आलमआरा	Свет мира (фильм)
परिवार नियोजन	Планирование семьи
गन्धर्व	Гандхарвы
जमदग्नी ऋषि	Джамадагни
खुला सामग्री	Открытый контент
राष्ट्रिय स्वयंसेवक संघ	Раштрия сваямсевак сангх
शनि ग्रह (ज्योतिषशास्त्र)	Шани
रामकृष्ण मिसन	Общество Рамакришны
कैलो भँगेरा	Рыжий воробей
द अदर साइड अफ मिडनाइट	Оборотная сторона полуночи (роман)
इफ टुमारो कम्स्	Если наступит завтра (роман)
चाँदीठुँडे मुनियाँ	Малабарская амадина
नेपाल राष्ट्र बैंक	Непал Растра банк
वाराणसी जिल्ला	Варанаси (округ)
रायबरेली जिल्ला	Рай-Барели (округ)
इङ्गल्यान्ड राष्ट्रिय क्रिकेट टिम	Сборная Англии по крикету
चिचिण्डो	Трихозант змеевидный
सूरदास	Сурдас
पालन-पोषण	Воспитание
मजदुर इन्टरनेसनलका फ्रान्सेली भाग	Французская секция Рабочего интернационала
गोत्र	Готра
योनी (हिन्दु धर्म)	Йони
मातृ मृत्युदर	Материнская смертность
हाइब्रिड कम्प्युटर	Гибридный компьютер
गुरुङ जाति	Гурунги
सिलु बिरालो	Пятнистый линзанг
ज्योतिर्लिङ्ग	Джьотирлингам
मुरादाबाद जिल्ला	Морадабад (округ)
कैलोढाडे मुसेफिस्टो	Певчий сверчок
ल्होसार	Лосар
एरिक बेजिग	Бетциг, Эрик
अपरेसन सोलोमान	Операция «Соломон»
विप्रेषण	Римесса
विकी लभ्स मोन्युमेन्ट्स	Вики любит памятники
म्याकमहोन रेखा	Линия Макмагона
कुवेम्पु विश्वविद्यालय	Университет Кувемпу
जौनपुर जिल्ला	Джаунпур (округ)
इन्सास राइफल	INSAS
महाराजगंज जिल्ला	Махараджгандж (округ)
सुल्तानपुर जिल्ला	Султанпур (округ)
एज्नेज मो	Агнес Моника
कालोमुखे ठुटेखरायो	Черногубая пищуха
एफएम	УКВ CCIR
विश्व सिमसार दिवस	Всемирный день водно-болотных угодий
मेगान म्यालन	Мэлон, Меган
जगनाथ	Джаганнатха
विक्रम संवत	Викрам-самват
चार धाम	Чар-дхам
लव स्टोरी(उपन्यास)	История любви
रेखाचित्र	Рёберный граф
गढवाल अधिराज्य	Гархвал (государство)
विलियम मर्नर	Мёрнер, Уильям
मिखाइल इभानोभिच तुगान-बारानोभ्सकी	Туган-Барановский, Михаил Иванович
मोथे	Сыть круглая
इसाई प्रजातान्त्रिक दल (चिले)	Христианско-демократическая партия (Чили)
एनिमल फार्म	Скотный двор
मातृकाप्रसाद कोइराला	Коирала, Матрика Прасад
भीष्म	Бхишма
बर	Фикус бенгальский
दुर्योधन	Дурьодхана
श्रेणी:रुस	Категория:Россия
श्रेणी:जापान	Категория:Япония
श्रेणी:भारत	Категория:Индия
अन्तर्राष्ट्रिय अहिंसा दिवस	Международный день ненасилия
अलकनन्दा नदी	Алакнанда
कपासे	Соссюрея
दक्षिण अफ्रिका राष्ट्रिय क्रिकेट टिम	Сборная ЮАР по крикету
याज्ञवल्क्य	Яджнавалкья
मिनाक्षी अम्मन मन्दिर	Храм Минакши
मन्दोदरी	Мандодари
बाजीगर	Заклинание змей
कोलोरादो पार्टी	Партия Колорадо (Уругвай)
जोमसोम विमानस्थल	Джомсом (аэропорт)
पूर्व मेदिनीपुर जिल्ला	Восточный Миднапур
पोखरा विमानस्थल	Покхара (аэропорт)
रामेश्वरम शहर	Рамешварам
क्षत्री	Кшатрии
धनगढी नगरपालिका	Дхангадхи
महेन्द्रनगर, कञ्चनपुर	Бхимдатта
घोराही नगरपालिका	Гхорахи
फिरोजाबाद	Фирозабад
श्रेणी:पोल्याण्ड	Категория:Польша
श्रेणी:चरा	Категория:Птицы
श्रेणी:इतिहास	Категория:История
श्रेणी:भूगोल	Категория:География
श्रेणी:धर्म	Категория:Религия
त्रियुगा नगरपालिका	Триюга
दमक नगरपालिका	Дамак
श्रेणी:विज्ञान	Категория:Наука
श्रेणी:पृथ्वी	Категория:Земля
खैरो खरायो	Темношеий заяц
कालछिद्र सूचना विरोधाभास	Исчезновение информации в чёрной дыре
खुम्बु हिमनदी	Кхумбу (ледник)
१९३४ फिफा विश्वकप	Чемпионат мира по футболу 1934
हावडा जिल्ला	Хаура (округ)
यति एयरलाइन्स	Yeti Airlines
गौतम ऋषि	Гаутама (индуизм)
जनक	Джанака
स्वतन्त्र मजदुर पार्टी	Независимая рабочая партия (Великобритания)
ठुटे ढाडेमुसो	Пластинчатозубая крыса
कीर्तिपुर नगरपालिका	Киртипур
मऊ जिल्ला	Мау (округ)
हेलम्बू	Хеламбу
रेट्बा ताल	Ретба
एटा जिल्ला	Этах
आय	Доход
पहरी जाति	Пахари (народы)
धनकुटा नगरपालिका	Дханкута
सिद्धार्थनगर नगरपालिका	Сиддхартханагар (Непал)
उरुग्वे कम्युनिष्ट पार्टी	Коммунистическая партия Уругвая
प्रजनन अधिकार	Репродуктивные права
एसिड फ्याक्नु	Обливание кислотой
मुर्शिदाबाद जिल्ला	Муршидабад (округ)
राष्ट्रिय पार्टी (उरुग्वे)	Национальная партия (Уругвай)
ल्होत्साम्पा	Лхоцампа
सौर पानी कीटाणुशोधन	Дезинфекция с помощью солнечного света
गुरूकुल शिक्षा प्रणाली	Гурукула
गुम्बा	Гомпа
मसाजिरगोल	Масазыргёль
लघुपत्र	Подофилл щитовидный
टीका	Тилака
अजरबैजान (स्पष्टता)	Азербайджан (значения)
२०१२ दिल्ली सामुहिक बलात्कारको घटना	Дело о групповом изнасиловании в Дели (2012)
संहितापाठ	Самхита
भूटानी शरणार्थी	Бутанские беженцы
प्राइभेट कम्पनी	Частная компания
पहेंलोटाउके काष्ठकुट	Желтошапочный дятел
बैजनी फिस्टो	Расписная синичка
मधेशी	Мадхеси
राजसल्ला	Кипарис гималайский
बबुल	Акация нильская
हिन्दू संस्कार	Санскары
लाङटाङ	Лангтанг
विदिशा	Видиша
हिमाली छुचुन्द्रो	Азиатские бурозубки
सुँगुरे काँडा	Бодяк
राजमुंदरी	Раджамандри
फर्मियम	Формиум
कनिकेफूल	Бузина канадская
भारतको उपराष्ट्रपति	Вице-президент Индии
पठानकोट	Патханкот
रुद्राक्ष	Рудракша
नेपालको इतिहास	История Непала
राजकीय दूमा	Государственная дума Российской империи
परमवीर चक्र	Парам Вир Чакра
कारगिल	Каргил (округ)
सुषमा स्वराज	Сварадж, Сушма
धनगढी विमानस्थल	Дхангадхи (аэропорт)
बागलुङ नगरपालिका	Баглунг
भेजिनल फोर्निक्स	Влагалищные своды
टीकापुर नगरपालिका	Тикапур
बिचौलिया	Посредничество
आर्ट अफ लिभिङ फाउण्डेशन	Искусство Жизни
आन्तरिक नियन्त्रण प्रणाली	Внутренний контроль
मुख्यमंत्री	Главный министр
महा मृत्युंन्जय मन्त्र	Махамритьюмджая-мантра
इसामु आकासाकी	Акасаки, Исаму
इटहरी उपमहानगरपालिका	Итахари
जगन्नाथ मन्दिर,पुरी	Храм Джаганнатхи в Пури
जिरी	Джири
जोहन ओ केफे	О’Киф, Джон
जोमसोम	Джомсом
मोड़ी लिपि	Моди (письмо)
गोकुल	Гокул
गोधरा	Годхра
हरदोई	Хардой
हाथरस	Хатхрас
लेओनिदा बिस्सोलाती	Биссолати, Леонида
ढाँचा:Dts	Шаблон:Dts
रामानुजाचार्य	Рамануджа
वर्ग संघर्ष	Классовая борьба
केरलका जिल्लाहरु	Список округов Кералы
भद्रपुर नगरपालिका	Бхадрапур
बुलन्दशहर जिल्ला	Буландшахр (округ)
कत्युरी नरेश	Катьюри
मामानुका टापू	Острова Маманута
लखिमपुर खेरी जिल्ला	Лакхимпур-Кхери
राँझा विमानस्थल	Непалгандж (аэропорт)
लड्डु	Ладду
बनेपा नगरपालिका	Банепа
नीर बिरालो	Циветы
नेपालका प्रधानमन्त्रीहरू	Список премьер-министров Непала
मेरठ जिल्ला	Мератх (округ)
पाँचधर्के लोखर्के	Северная пальмовая белка
गुलरिया नगरपालिका	Гулария
तुलसीपुर नगरपालिका	Тулсипур
ठुलो ढाडेमुसा	Индийская бандикота
जिंक्स मेज	Джинкс Мейз
हिमाली सुँगुरेमुसो	Гималайский крот
राम नवमी	Рамнавами
पूर्णिया	Пурния
हरदोई जिल्ला	Хардой (округ)
पूर्व सिक्किम	Восточный Сикким
लखनऊ जिल्ला	Лакхнау (округ)
मथुरा जिल्ला	Матхура (округ)
इलाहाबाद जिल्ला	Аллахабад (округ)
गाजियाबाद जिल्ला	Газиабад (округ)
रोगनिरोधन	Профилактика
मोतिहारी	Мотихари
इभानिसिन्स	Evanescence
पंढरपुर	Пандхарпур
नोबेल फाउण्डेशन	Фонд Нобеля
दीनानाथ शर्मा	Динанат Шарма
उत्तरी सिक्किम	Северный Сикким
मुरैना	Морена (Индия)
गौतम बुद्ध नगर जिल्ला	Гаутамбудхнагар
सतिदेवी	Сати (индуизм)
सहारनपुर जिल्ला	Сахаранпур (округ)
बागपत जिल्ला	Багхпат (округ)
बरेली जिल्ला	Барели (округ)
थकाली जाति	Тхакали
राष्ट्रवादी पार्टी	Патриотическая партия (Гватемала)
दक्षिणी सिक्किम	Южный Сикким
यमुना नगर	Ямунанагар
औरैया जिल्ला	Аурайя (округ)
सीतापुर जिल्ला	Ситапур (округ)
बहराइच जिल्ला	Бахрайч (округ)
शाहजहाँपुर जिल्ला	Шахджаханпур (округ)
फैजाबाद जिल्ला	Файзабад (округ)
बदौन जिल्ला	Бадаун (округ)
बैतूल	Бетул (округ)
इटावा जिल्ला	Этавах (округ)
महोबा जिल्ला	Махоба (округ)
रामपुर जिल्ला	Рампур (округ)
सिद्धार्थनगर जिल्ला	Сиддхартханагар
गुड़गांव	Гургаон (округ)
मैनपुरी जिल्ला	Майнпури (округ)
श्रीहरिकोटा	Шрихарикота
निशान-ए–पाकिस्तान	Орден «Нишан-е-Пакистан»
कुशीनगर जिल्ला	Кушинагар (округ)
सिलौटो	Зернотёрка
अकलकरा	Слюногон лекарственный
पश्चिम मेदिनीपुर जिल्ला	Западный Миднапур
द नोटबुक	Дневник памяти (роман)
ज्योतिबा फुले नगर जिल्ला	Джьотибапхуленагар
फर्रुखाबाद जिल्ला	Фаррукхабад (округ)
नगरा	Гоша нагара
संविधान सभा	Учредительное собрание
महानगरीय क्षेत्र	Метрополитенский район
बारामुल्ला जिल्ला	Барамулла (округ)
शालिग्राम	Шалаграма-шила
खम्मम	Кхаммам
मेहसाना	Мехсана
समस्तीपुर	Самастипур
नवादा	Навада
लखीसराय	Лакхисарай
जोरहाट	Джорхат
रेग अफ एन्जेल्स	Ярость ангелов
गोंडा जिल्ला	Гонда (округ)
बिजनौर जिल्ला	Биджнор (округ)
उन्नाव जिल्ला	Уннао (округ)
झाँसी जिल्ला	Джханси (округ)
उधमपुर	Удхампур
संत कबीर नगर जिल्ला	Санткабирнагар
श्रावस्ती जिल्ला	Шравасти (округ)
फतेहपुर जिल्ला	Фатехпур (округ)
कौशम्बी जिल्ला	Каушамби
फिरोजाबाद जिल्ला	Фирозабад (округ)
ललितपुर जिल्ला (उत्तर प्रदेश)	Лалитпур (округ, Уттар-Прадеш)
बलरामपुर जिल्ला	Балрампур (округ)
ढेंकनाल	Дхенканал (округ)
पाटे घिरौंला	Люффа остроребристая
जलपाईगुडी	Джалпайгури
दौसा	Дауса
रेवाड़ी	Ревари
किशनगंज	Кишангандж
कैथल	Кайтхал
राजौरी	Раджаури
हाजीपुर	Хаджипур
सासाराम	Сасарам
सहरसा	Сахарса
मुहर्रम	Мухаррам
चाँगुनारायण गाविस	Чангу Нараян
तमोर नदी	Тамур (река)
सेन्जेन क्षेत्र	Шенгенская зона
सुपर्नखा	Шурпанакха
जनता प्रगतिशील पार्टी	Народная прогрессивная партия Гайаны
कारेङ्गी	Каранджа
इन्द्रप्रस्थ	Индрапрастха
घटोत्कच	Гхатоткача
नकुल	Накула
भरत (रामायण)	Бхарата (Рамаяна)
प्रिया राय	Рай, Прия
प्रजनन स्वास्थ्य	Сексуальное здоровье
सुभद्रा	Субхадра
बर्रो	Бибхитаки
श्रेणी:क्रिश्चियन धर्म	Категория:Христианство
सुरक्षा	Оборона
कुम्भकर्ण	Кумбхакарна
सुग्रिव (रामायण)	Сугрива
एकलव्य	Экалавья
अपरेसन ब्ल्यू स्टार	Операция «Голубая звезда»
काँगियो (वनस्पति)	Гревиллея крупная
भारतका शास्‍त्रीय नृत्‍य	Индийский классический танец
गोविन्दा	Говинда (актёр)
गुप्त लिपि	Гупта (письмо)
शकुनी	Шакуни
भारत छोड आन्दोलन	Августовское движение
