Afrihkká	Африка
Miessemánu 2.	2 мая
Miessemánu 3.	3 мая
Miessemánu 4.	4 мая
Miessemánu 5.	5 мая
Miessemánu 6.	6 мая
Miessemánu 7.	7 мая
Miessemánu 8.	8 мая
Miessemánu 9.	9 мая
Miessemánu 10.	10 мая
Miessemánu 11.	11 мая
Miessemánu 12.	12 мая
Miessemánu 13.	13 мая
Miessemánu 14.	14 мая
Miessemánu 15.	15 мая
Miessemánu 16.	16 мая
Miessemánu 17.	17 мая
Miessemánu 18.	18 мая
Miessemánu 19.	19 мая
Miessemánu 20.	20 мая
Miessemánu 21.	21 мая
Miessemánu 22.	22 мая
Miessemánu 23.	23 мая
Miessemánu 24.	24 мая
Miessemánu 25.	25 мая
Miessemánu 26.	26 мая
Miessemánu 27.	27 мая
Miessemánu 28.	28 мая
Miessemánu 29.	29 мая
Miessemánu 30.	30 мая
Miessemánu 31.	31 мая
Kostroma oblast	Костромская область
Juovlamánu 21.	21 декабря
Geassemánu 14.	14 июня
Geassemánu 15.	15 июня
Geassemánu 13.	13 июня
Geassemánu 10.	10 июня
Geassemánu 7.	7 июня
Geassemánu 11.	11 июня
Geassemánu 9.	9 июня
Geassemánu 12.	12 июня
Geassemánu 6.	6 июня
Geassemánu 8.	8 июня
Geassemánu 5.	5 июня
Geassemánu 3.	3 июня
Geassemánu 2.	2 июня
Geassemánu 1.	1 июня
Geassemánu 4.	4 июня
Juovlamánu 22.	22 декабря
1968	1968 год
1967	1967 год
1966	1966 год
1965	1965 год
1964	1964 год
Geassemánu 16.	16 июня
Ivanovo oblast	Ивановская область
Geassemánu 30.	30 июня
Geassemánu 29.	29 июня
Geassemánu 28.	28 июня
Geassemánu 26.	26 июня
Geassemánu 25.	25 июня
Geassemánu 22.	22 июня
Geassemánu 27.	27 июня
Geassemánu 24.	24 июня
Geassemánu 20.	20 июня
Geassemánu 23.	23 июня
Geassemánu 19.	19 июня
Geassemánu 18.	18 июня
Geassemánu 21.	21 июня
Geassemánu 17.	17 июня
Juovlamánu 23.	23 декабря
Suoidnemánu 15.	15 июля
Suoidnemánu 13.	13 июля
Suoidnemánu 12.	12 июля
Suoidnemánu 10.	10 июля
Suoidnemánu 9.	9 июля
Suoidnemánu 14.	14 июля
Suoidnemánu 8.	8 июля
Suoidnemánu 7.	7 июля
Suoidnemánu 6.	6 июля
Suoidnemánu 5.	5 июля
Suoidnemánu 2.	2 июля
Suoidnemánu 4.	4 июля
Suoidnemánu 3.	3 июля
Suoidnemánu 1.	1 июля
Suoidnemánu 11.	11 июля
Vladimir oblast	Владимирская область
Juovlamánu 24.	24 декабря
Suoidnemánu 31.	31 июля
Suoidnemánu 30.	30 июля
Suoidnemánu 29.	29 июля
Suoidnemánu 28.	28 июля
Suoidnemánu 27.	27 июля
Suoidnemánu 25.	25 июля
Suoidnemánu 24.	24 июля
Suoidnemánu 23.	23 июля
Suoidnemánu 26.	26 июля
Suoidnemánu 22.	22 июля
Suoidnemánu 19.	19 июля
Suoidnemánu 21.	21 июля
Suoidnemánu 20.	20 июля
Suoidnemánu 17.	17 июля
Suoidnemánu 18.	18 июля
Suoidnemánu 16.	16 июля
Spábbačiekčan	Футбол
Juovlamánu 25.	25 декабря
Rjazan oblast	Рязанская область
1963	1963 год
Lech Kaczyński	Качиньский, Лех
Juovlamánu 26.	26 декабря
1962	1962 год
Borgemánu 14.	14 августа
Borgemánu 15.	15 августа
Borgemánu 13.	13 августа
Borgemánu 12.	12 августа
Borgemánu 11.	11 августа
Borgemánu 10.	10 августа
Borgemánu 8.	8 августа
Borgemánu 7.	7 августа
Borgemánu 9.	9 августа
Borgemánu 5.	5 августа
Borgemánu 4.	4 августа
Borgemánu 2.	2 августа
Borgemánu 3.	3 августа
Borgemánu 6.	6 августа
Borgemánu 1.	1 августа
Tula oblast	Тульская область
Juovlamánu 27.	27 декабря
Madrid	Мадрид
Brjansk oblast	Брянская область
Borgemánu 16.	16 августа
Coca-Cola	Кока-кола
Borgemánu 29.	29 августа
Borgemánu 28.	28 августа
Borgemánu 30.	30 августа
Borgemánu 25.	25 августа
Borgemánu 26.	26 августа
Borgemánu 23.	23 августа
Borgemánu 27.	27 августа
Borgemánu 21.	21 августа
Borgemánu 20.	20 августа
Borgemánu 24.	24 августа
Borgemánu 18.	18 августа
Borgemánu 17.	17 августа
Borgemánu 22.	22 августа
Borgemánu 19.	19 августа
Borgemánu 31.	31 августа
Michael Jackson	Джексон, Майкл
Juovlamánu 28.	28 декабря
Kaluga oblast	Калужская область
Čakčamánu 15.	15 сентября
Čakčamánu 14.	14 сентября
Čakčamánu 13.	13 сентября
Čakčamánu 12.	12 сентября
Čakčamánu 8.	8 сентября
Čakčamánu 11.	11 сентября
Čakčamánu 7.	7 сентября
Čakčamánu 10.	10 сентября
Čakčamánu 5.	5 сентября
Čakčamánu 4.	4 сентября
Čakčamánu 9.	9 сентября
Čakčamánu 2.	2 сентября
Čakčamánu 6.	6 сентября
Čakčamánu 1.	1 сентября
Čakčamánu 3.	3 сентября
Juovlamánu 29.	29 декабря
Alexander Lukašenka	Лукашенко, Александр Григорьевич
Čakčamánu 30.	30 сентября
Čakčamánu 29.	29 сентября
Čakčamánu 28.	28 сентября
Čakčamánu 27.	27 сентября
Čakčamánu 26.	26 сентября
Čakčamánu 25.	25 сентября
Čakčamánu 23.	23 сентября
Čakčamánu 22.	22 сентября
Čakčamánu 24.	24 сентября
Čakčamánu 21.	21 сентября
Čakčamánu 20.	20 сентября
Čakčamánu 18.	18 сентября
Čakčamánu 17.	17 сентября
Čakčamánu 19.	19 сентября
Čakčamánu 16.	16 сентября
Quito	Кито
Juovlamánu 30.	30 декабря
Antoine de Saint-Exupéry	Сент-Экзюпери, Антуан де
Juovlamánu 31.	31 декабря
Golggotmánu 1.	1 октября
Golggotmánu 15.	15 октября
Golggotmánu 12.	12 октября
Golggotmánu 10.	10 октября
Golggotmánu 14.	14 октября
Golggotmánu 9.	9 октября
Golggotmánu 8.	8 октября
Golggotmánu 13.	13 октября
Golggotmánu 7.	7 октября
Golggotmánu 11.	11 октября
Golggotmánu 6.	6 октября
Golggotmánu 4.	4 октября
Golggotmánu 5.	5 октября
Golggotmánu 3.	3 октября
Golggotmánu 2.	2 октября
